ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0034116	positive regulation of heterotypic cell-cell adhesion	2/37	14/21351	0.000262442196269888	0.202298557748665	0.164310069646414	ENSMUSG00000059714/ENSMUSG00000005087	2
GO:0034114	regulation of heterotypic cell-cell adhesion	2/37	25/21351	0.000854866836437229	0.202298557748665	0.164310069646414	ENSMUSG00000059714/ENSMUSG00000005087	2
GO:0006882	cellular zinc ion homeostasis	2/37	28/21351	0.00107361297273706	0.202298557748665	0.164310069646414	ENSMUSG00000031765/ENSMUSG00000005802	2
GO:0055069	zinc ion homeostasis	2/37	29/21351	0.0011518828901093	0.202298557748665	0.164310069646414	ENSMUSG00000031765/ENSMUSG00000005802	2
GO:0043552	positive regulation of phosphatidylinositol 3-kinase activity	2/37	30/21351	0.00123281509326966	0.202298557748665	0.164310069646414	ENSMUSG00000006386/ENSMUSG00000029648	2
GO:0090218	positive regulation of lipid kinase activity	2/37	34/21351	0.00158298793526199	0.202298557748665	0.164310069646414	ENSMUSG00000006386/ENSMUSG00000029648	2
GO:0010043	response to zinc ion	2/37	35/21351	0.00167709763450151	0.202298557748665	0.164310069646414	ENSMUSG00000031765/ENSMUSG00000005802	2
GO:0001782	B cell homeostasis	2/37	37/21351	0.00187313479396912	0.202298557748665	0.164310069646414	ENSMUSG00000005087/ENSMUSG00000005057	2
GO:1902229	regulation of intrinsic apoptotic signaling pathway in response to DNA damage	2/37	37/21351	0.00187313479396912	0.202298557748665	0.164310069646414	ENSMUSG00000004934/ENSMUSG00000005087	2
GO:0043551	regulation of phosphatidylinositol 3-kinase activity	2/37	41/21351	0.00229623369957694	0.208630519317129	0.169452988399228	ENSMUSG00000006386/ENSMUSG00000029648	2
GO:0001569	branching involved in blood vessel morphogenesis	2/37	45/21351	0.00276023239165755	0.208630519317129	0.169452988399228	ENSMUSG00000006386/ENSMUSG00000029648	2
GO:0048010	vascular endothelial growth factor receptor signaling pathway	2/37	48/21351	0.0031347379049522	0.208630519317129	0.169452988399228	ENSMUSG00000006386/ENSMUSG00000029648	2
GO:0019221	cytokine-mediated signaling pathway	4/37	371/21351	0.00376749050133359	0.208630519317129	0.169452988399228	ENSMUSG00000050377/ENSMUSG00000059326/ENSMUSG00000004934/ENSMUSG00000005057	4
GO:0043550	regulation of lipid kinase activity	2/37	53/21351	0.00380871501739132	0.208630519317129	0.169452988399228	ENSMUSG00000006386/ENSMUSG00000029648	2
GO:0034113	heterotypic cell-cell adhesion	2/37	54/21351	0.00395090391515553	0.208630519317129	0.169452988399228	ENSMUSG00000059714/ENSMUSG00000005087	2
GO:0048754	branching morphogenesis of an epithelial tube	3/37	188/21351	0.00418893285459258	0.208630519317129	0.169452988399228	ENSMUSG00000006386/ENSMUSG00000029648/ENSMUSG00000005087	3
GO:0060562	epithelial tube morphogenesis	4/37	390/21351	0.00449792535328099	0.208630519317129	0.169452988399228	ENSMUSG00000006386/ENSMUSG00000029648/ENSMUSG00000032446/ENSMUSG00000005087	4
GO:0051090	regulation of DNA-binding transcription factor activity	4/37	415/21351	0.0055976537782159	0.208630519317129	0.169452988399228	ENSMUSG00000027104/ENSMUSG00000004934/ENSMUSG00000032446/ENSMUSG00000059714	4
GO:0000768	syncytium formation by plasma membrane fusion	2/37	65/21351	0.00567448889229825	0.208630519317129	0.169452988399228	ENSMUSG00000059714/ENSMUSG00000005087	2
GO:0140253	cell-cell fusion	2/37	65/21351	0.00567448889229825	0.208630519317129	0.169452988399228	ENSMUSG00000059714/ENSMUSG00000005087	2
GO:0006949	syncytium formation	2/37	67/21351	0.00601878106663454	0.208630519317129	0.169452988399228	ENSMUSG00000059714/ENSMUSG00000005087	2
GO:0046324	regulation of glucose import	2/37	69/21351	0.00637242010211714	0.208630519317129	0.169452988399228	ENSMUSG00000025220/ENSMUSG00000005057	2
