ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0017015	regulation of transforming growth factor beta receptor signaling pathway	8/261	115/21351	8.58297608230321e-05	0.0909807453698846	0.0839531216649433	ENSMUSG00000027660/ENSMUSG00000021096/ENSMUSG00000034612/ENSMUSG00000038400/ENSMUSG00000001507/ENSMUSG00000024563/ENSMUSG00000035011/ENSMUSG00000003068	8
BP	GO:0071559	response to transforming growth factor beta	11/261	223/21351	9.98906327633373e-05	0.0909807453698846	0.0839531216649433	ENSMUSG00000027660/ENSMUSG00000021096/ENSMUSG00000034612/ENSMUSG00000038400/ENSMUSG00000001507/ENSMUSG00000024563/ENSMUSG00000035011/ENSMUSG00000020580/ENSMUSG00000034161/ENSMUSG00000003068/ENSMUSG00000069255	11
BP	GO:1903844	regulation of cellular response to transforming growth factor beta stimulus	8/261	118/21351	0.000102867406172508	0.0909807453698846	0.0839531216649433	ENSMUSG00000027660/ENSMUSG00000021096/ENSMUSG00000034612/ENSMUSG00000038400/ENSMUSG00000001507/ENSMUSG00000024563/ENSMUSG00000035011/ENSMUSG00000003068	8
BP	GO:0045785	positive regulation of cell adhesion	16/261	442/21351	0.000117850706437674	0.0909807453698846	0.0839531216649433	ENSMUSG00000006386/ENSMUSG00000038855/ENSMUSG00000024789/ENSMUSG00000006574/ENSMUSG00000000791/ENSMUSG00000001507/ENSMUSG00000035000/ENSMUSG00000074570/ENSMUSG00000068220/ENSMUSG00000040690/ENSMUSG00000017009/ENSMUSG00000037992/ENSMUSG00000052085/ENSMUSG00000045038/ENSMUSG00000027111/ENSMUSG00000026494	16
BP	GO:2001269	positive regulation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway	3/261	10/21351	0.000203361232180282	0.0976495642506492	0.0901068211162079	ENSMUSG00000024789/ENSMUSG00000034686/ENSMUSG00000005718	3
BP	GO:0010811	positive regulation of cell-substrate adhesion	8/261	133/21351	0.000235507982868742	0.0976495642506492	0.0901068211162079	ENSMUSG00000006386/ENSMUSG00000024789/ENSMUSG00000001507/ENSMUSG00000074570/ENSMUSG00000040690/ENSMUSG00000017009/ENSMUSG00000045038/ENSMUSG00000027111	8
BP	GO:0090287	regulation of cellular response to growth factor stimulus	12/261	290/21351	0.000252973781628179	0.0976495642506492	0.0901068211162079	ENSMUSG00000006386/ENSMUSG00000027660/ENSMUSG00000021096/ENSMUSG00000034612/ENSMUSG00000059895/ENSMUSG00000037062/ENSMUSG00000038400/ENSMUSG00000030732/ENSMUSG00000001507/ENSMUSG00000024563/ENSMUSG00000035011/ENSMUSG00000003068	12
BP	GO:1902117	positive regulation of organelle assembly	6/261	74/21351	0.000291199495231724	0.0976495642506492	0.0901068211162079	ENSMUSG00000059248/ENSMUSG00000046985/ENSMUSG00000037062/ENSMUSG00000040412/ENSMUSG00000017009/ENSMUSG00000040860	6
BP	GO:0007050	cell cycle arrest	8/261	138/21351	0.00030267859701771	0.0976495642506492	0.0901068211162079	ENSMUSG00000027660/ENSMUSG00000024381/ENSMUSG00000005718/ENSMUSG00000029207/ENSMUSG00000003068/ENSMUSG00000009555/ENSMUSG00000030498/ENSMUSG00000048895	8
BP	GO:0007179	transforming growth factor beta receptor signaling pathway	9/261	179/21351	0.000370469237780936	0.0976495642506492	0.0901068211162079	ENSMUSG00000027660/ENSMUSG00000021096/ENSMUSG00000034612/ENSMUSG00000038400/ENSMUSG00000001507/ENSMUSG00000024563/ENSMUSG00000035011/ENSMUSG00000003068/ENSMUSG00000069255	9
BP	GO:0071560	cellular response to transforming growth factor beta stimulus	10/261	219/21351	0.000381707512804161	0.0976495642506492	0.0901068211162079	ENSMUSG00000027660/ENSMUSG00000021096/ENSMUSG00000034612/ENSMUSG00000038400/ENSMUSG00000001507/ENSMUSG00000024563/ENSMUSG00000035011/ENSMUSG00000034161/ENSMUSG00000003068/ENSMUSG00000069255	10
