ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0042113	B cell activation	23/342	358/21351	1.94874975242713e-08	7.10124409784446e-05	6.26676894069988e-05	ENSMUSG00000075370/ENSMUSG00000024807/ENSMUSG00000032053/ENSMUSG00000026288/ENSMUSG00000029082/ENSMUSG00000003379/ENSMUSG00000040592/ENSMUSG00000024673/ENSMUSG00000020167/ENSMUSG00000030724/ENSMUSG00000018168/ENSMUSG00000028217/ENSMUSG00000061132/ENSMUSG00000039936/ENSMUSG00000024353/ENSMUSG00000000732/ENSMUSG00000025314/ENSMUSG00000059456/ENSMUSG00000030577/ENSMUSG00000014453/ENSMUSG00000068105/ENSMUSG00000030067/ENSMUSG00000052889	23
GO:0030098	lymphocyte differentiation	24/342	420/21351	8.78099741979659e-08	0.000159989772988694	0.00014118919535515	ENSMUSG00000024807/ENSMUSG00000025373/ENSMUSG00000032053/ENSMUSG00000026288/ENSMUSG00000021356/ENSMUSG00000003379/ENSMUSG00000037944/ENSMUSG00000015314/ENSMUSG00000000782/ENSMUSG00000040592/ENSMUSG00000022471/ENSMUSG00000024673/ENSMUSG00000020167/ENSMUSG00000030724/ENSMUSG00000018168/ENSMUSG00000037104/ENSMUSG00000028217/ENSMUSG00000020605/ENSMUSG00000025314/ENSMUSG00000059456/ENSMUSG00000050350/ENSMUSG00000007817/ENSMUSG00000030067/ENSMUSG00000031451	24
GO:1903131	mononuclear cell differentiation	25/342	465/21351	1.50855403565089e-07	0.000183239030197062	0.000161706406277666	ENSMUSG00000024807/ENSMUSG00000025373/ENSMUSG00000032053/ENSMUSG00000026288/ENSMUSG00000021356/ENSMUSG00000003379/ENSMUSG00000037944/ENSMUSG00000015314/ENSMUSG00000000782/ENSMUSG00000040592/ENSMUSG00000022471/ENSMUSG00000024673/ENSMUSG00000020167/ENSMUSG00000030724/ENSMUSG00000018168/ENSMUSG00000037104/ENSMUSG00000028217/ENSMUSG00000020605/ENSMUSG00000025314/ENSMUSG00000059456/ENSMUSG00000050350/ENSMUSG00000007817/ENSMUSG00000014453/ENSMUSG00000030067/ENSMUSG00000031451	25
GO:0046651	lymphocyte proliferation	19/342	320/21351	1.12540984441412e-06	0.000829389027856453	0.000731926593131165	ENSMUSG00000017009/ENSMUSG00000029554/ENSMUSG00000026288/ENSMUSG00000029082/ENSMUSG00000003379/ENSMUSG00000037944/ENSMUSG00000015314/ENSMUSG00000020167/ENSMUSG00000030724/ENSMUSG00000018168/ENSMUSG00000090958/ENSMUSG00000006574/ENSMUSG00000024353/ENSMUSG00000000732/ENSMUSG00000034165/ENSMUSG00000074272/ENSMUSG00000030577/ENSMUSG00000014453/ENSMUSG00000068105	19
GO:0032943	mononuclear cell proliferation	19/342	323/21351	1.2932495525393e-06	0.000829389027856453	0.000731926593131165	ENSMUSG00000017009/ENSMUSG00000029554/ENSMUSG00000026288/ENSMUSG00000029082/ENSMUSG00000003379/ENSMUSG00000037944/ENSMUSG00000015314/ENSMUSG00000020167/ENSMUSG00000030724/ENSMUSG00000018168/ENSMUSG00000090958/ENSMUSG00000006574/ENSMUSG00000024353/ENSMUSG00000000732/ENSMUSG00000034165/ENSMUSG00000074272/ENSMUSG00000030577/ENSMUSG00000014453/ENSMUSG00000068105	19
GO:0050851	antigen receptor-mediated signaling pathway	16/342	235/21351	1.36562408538384e-06	0.000829389027856453	0.000731926593131165	ENSMUSG00000075370/ENSMUSG00000039316/ENSMUSG00000003379/ENSMUSG00000037944/ENSMUSG00000040592/ENSMUSG00000016933/ENSMUSG00000024673/ENSMUSG00000030724/ENSMUSG00000061132/ENSMUSG00000000732/ENSMUSG00000025314/ENSMUSG00000043008/ENSMUSG00000069255/ENSMUSG00000030577/ENSMUSG00000014453/ENSMUSG00000052889	16
GO:0030183	B cell differentiation	13/342	159/21351	1.79639574597471e-06	0.000935152299761691	0.000825261504353795	ENSMUSG00000024807/ENSMUSG00000032053/ENSMUSG00000026288/ENSMUSG00000003379/ENSMUSG00000040592/ENSMUSG00000024673/ENSMUSG00000020167/ENSMUSG00000030724/ENSMUSG00000018168/ENSMUSG00000028217/ENSMUSG00000025314/ENSMUSG00000059456/ENSMUSG00000030067	13
GO:0050853	B cell receptor signaling pathway	11/342	115/21351	2.44803007197115e-06	0.00111507769778286	0.000984043667088404	ENSMUSG00000075370/ENSMUSG00000039316/ENSMUSG00000003379/ENSMUSG00000040592/ENSMUSG00000024673/ENSMUSG00000030724/ENSMUSG00000061132/ENSMUSG00000043008/ENSMUSG00000030577/ENSMUSG00000014453/ENSMUSG00000052889	11
GO:0070661	leukocyte proliferation	19/342	348/21351	3.86175223054391e-06	0.00156358056978911	0.00137984246366218	ENSMUSG00000017009/ENSMUSG00000029554/ENSMUSG00000026288/ENSMUSG00000029082/ENSMUSG00000003379/ENSMUSG00000037944/ENSMUSG00000015314/ENSMUSG00000020167/ENSMUSG00000030724/ENSMUSG00000018168/ENSMUSG00000090958/ENSMUSG00000006574/ENSMUSG00000024353/ENSMUSG00000000732/ENSMUSG00000034165/ENSMUSG00000074272/ENSMUSG00000030577/ENSMUSG00000014453/ENSMUSG00000068105	19
GO:0050670	regulation of lymphocyte proliferation	15/342	232/21351	5.49817232322894e-06	0.00193319062429669	0.00170601922619054	ENSMUSG00000017009/ENSMUSG00000029554/ENSMUSG00000026288/ENSMUSG00000029082/ENSMUSG00000037944/ENSMUSG00000020167/ENSMUSG00000018168/ENSMUSG00000090958/ENSMUSG00000006574/ENSMUSG00000024353/ENSMUSG00000000732/ENSMUSG00000074272/ENSMUSG00000030577/ENSMUSG00000014453/ENSMUSG00000068105	15
