	Cluster_14 MPP3KO_Cl6,MPP4WT_Cl22	Cluster_3 MPP3KO_Cl21,MPP4KO_Cl2	Cluster_30 MPP3KO_Cl22,MPP3KO_Cl16,MPP3KO_Cl15	Cluster_13 MPP3KO_Cl9,MPP4KO_Cl7,MPP4WT_Cl6	MPP3KO_Cluster_18 MPP3KO_Cl18	Cluster_9 MPP3KO_Cl11,MPP4WT_Cl13	MPP3KO_Cluster_10 MPP3KO_Cl10	Cluster_25 MPP3KO_Cl8,MPP4WT_Cl9	Cluster_23 MPP3KO_Cl1,MPP4WT_Cl12	Cluster_33 MPP3KO_Cl13,MPP3WT_Cl13,MPP3WT_Cl12	Cluster_26 MPP3KO_Cl5,MPP3KO_Cl4,MPP4WT_Cl4	Cluster_39 MPP3KO_Cl20,MPP3WT_Cl9	MPP3KO_MA1536.1 MPP3KO_Cl17	MPP3KO_MA0506.1 MPP3KO_Cl14	Cluster_16 MPP3KO_Cl12,MPP4WT_Cl17	MPP3KO_MA0067.1 MPP3KO_Cl23	Cluster_12 MPP3KO_Cl7,MPP4WT_Cl21,MPP4WT_Cl20	MPP3KO_MA1616.1 MPP3KO_Cl3	Cluster_29 MPP3KO_Cl19,MPP4WT_Cl3	MPP3KO_Cluster_2 MPP3KO_Cl2	Cluster_4 MPP3WT_Cl14,MPP3WT_Cl3,MPP4KO_Cl1	Cluster_5 MPP3WT_Cl8,MPP4KO_Cl4	Cluster_22 MPP3WT_Cl1,MPP3WT_Cl2	MPP3WT_MA0739.1 MPP3WT_Cl7	Cluster_7 MPP3WT_Cl4,MPP4KO_Cl5,MPP4KO_Cl7(...)	MPP3WT_Cluster_5 MPP3WT_Cl5	MPP3WT_MA0513.1 MPP3WT_Cl6	MPP3WT_MA1581.1 MPP3WT_Cl10	MPP3WT_Cluster_11 MPP3WT_Cl11	Cluster_1 MPP4KO_Cl6,MPP4KO_Cl3	MPP4WT_Cluster_5 MPP4WT_Cl5	MPP4WT_MA0041.1 MPP4WT_Cl14	MPP4WT_MA0850.1 MPP4WT_Cl15	MPP4WT_MA0109.1 MPP4WT_Cl10	Cluster_18 MPP4WT_Cl19,MPP4WT_Cl18	MPP4WT_Cluster_11 MPP4WT_Cl11	MPP4WT_MA0676.1 MPP4WT_Cl8	MPP4WT_MA0687.1 MPP4WT_Cl1	MPP4WT_Cluster_16 MPP4WT_Cl16	MPP4WT_MA1585.1 MPP4WT_Cl2
Cluster_14 MPP3KO_Cl6,MPP4WT_Cl22	0.0	-0.022430516161696053	0.5227518738761062	-0.056014294103579235	-0.03221491421104962	-0.09179036059422421	-0.06875472186417983	-0.01588771104130071	-0.26804601673082007	0.5729335607062006	-0.0600038737482265	-0.08571140659791443	-0.03864139250604503	-0.03367475404340323	-0.11122324482578043	-0.030346708710297852	-0.08171094977617234	-0.10635595543276889	-0.08501137358793161	-0.09016694210477516	-0.13363950736890276	1.0813595230310928	0.6889468863838855	-0.06833002275220873	-0.22759845463170505	-0.10501851391085416	-0.12504475271790186	-0.08037594541843407	-0.13586293859944237	-0.1493492063259637	-0.062083764689921696	-0.15028248765793487	-0.05274017757785297	-0.014773594335351798	-0.12381167430952271	-0.2000218305971853	-0.06346648292574919	-0.26229364626179746	-0.05004355151635663	-0.041080276270471006
Cluster_3 MPP3KO_Cl21,MPP4KO_Cl2	-0.022430516161696053	0.0	-0.18419863806781367	-0.07105144175668268	-0.9350810043507914	-0.17532471980598938	0.1602166116588478	-0.1464507846293187	0.2260658991020112	1.8689004921053824	0.5244609182758547	-0.2213671614462203	-0.002865044271824289	-1.3654096837114937	-0.060078748242783885	-0.05376561813583715	-0.10524625938249735	-0.2903889379920266	-0.5671481897259325	0.20895524483736397	-0.07282257481633657	-0.9949051814302209	-0.367662303210597	-0.2724061232924917	-2.096682199756015	0.8418241545249102	0.6304746466648113	-0.7023528784954876	0.04601708132647941	-1.2956828668291742	-0.031900332548246535	-0.18453273592908165	-0.19793492517413408	1.1198604163963795	-0.24745744012260262	-0.011147640724988188	-0.16323461981505863	0.11782486557513495	0.20930677015175586	-0.24443950715072787
Cluster_30 MPP3KO_Cl22,MPP3KO_Cl16,MPP3KO_Cl15	0.5227518738761062	-0.18419863806781367	0.0	-0.0913020615130383	-0.2438604681116458	-0.18156613703112717	0.2684626549352501	-0.17451739096958996	0.8952789840825619	1.732107012177685	0.34813597213031433	-0.23646403798178423	-0.18925769802259523	-0.3503966668420994	-0.10714354319226861	-0.10025965311055751	-0.20415802395308602	-0.29484863907462816	0.20905559318656655	-0.29747191745523915	0.6105609616667793	0.37443408649806414	-1.046380873521811	-0.39654348933032174	-0.1024298375374074	-0.3591519576808451	-0.3892419717226681	0.16481128282603444	-0.1267732368136224	-0.618036318929692	-0.171695831689731	0.3807326277590263	0.5683005047767455	-0.14171908734132657	0.378702020110384	0.3840211508455876	-0.19608817856818345	-0.6603319606613373	-0.23686044924208957	0.4828261343153875
Cluster_13 MPP3KO_Cl9,MPP4KO_Cl7,MPP4WT_Cl6	-0.056014294103579235	-0.07105144175668268	-0.0913020615130383	0.0	-0.055049151442675553	0.6779414601453602	-0.06195932407992291	-0.05731868174052266	0.20750892644806923	-0.14525996009731484	-0.080357142857143	-0.08250566074492391	-0.0706267109248172	-0.048590721511724326	-0.06522654346837391	-0.03458788732575047	-0.15617324011817682	-0.10795878066416953	-0.13267401072009138	0.6335001236292668	1.1385546624304423	1.9080539234349696	0.036285097245135914	-0.11190885721209218	2.142249147859474	-0.16502170101951721	0.49892073706982537	1.2690627754397377	-0.20626197780637254	0.6568711115357768	0.089368093375029	-0.12094208912370366	-0.040751918062298234	-0.053336846871233315	0.258730178704697	0.3767664930928297	-0.10302526704550942	0.3622323545867197	-0.06239593919223672	0.7007748752610249
MPP3KO_Cluster_18 MPP3KO_Cl18	-0.03221491421104962	-0.9350810043507914	-0.2438604681116458	-0.055049151442675553	0.0	-0.15548411840970847	-0.2536981246374787	-0.127481999737835	-0.40757800315235876	-0.38466053508244535	-0.23359589842346043	-0.19367469035104654	-0.2630378521574486	-1.500977519010861	-0.04181719180066551	0.2578768391047435	1.4428919209603517	-0.4537720624513772	-0.5327471738712155	1.0095838045791388	0.1445563164472696	0.19959519546928642	-0.8347312078807952	-0.02521524118458987	-2.0416432531999913	-0.5062292981340842	-0.6123911633067901	-0.11552079923367381	-0.875597486078252	-1.8765521796969273	-0.015514067361730393	-0.17881109700540873	0.4346706347746853	-0.10797348100402404	-0.11118518517204662	-0.26202125826090344	0.5630779499802969	-0.46740766119723587	0.4315339530894978	-0.20040245091616896
Cluster_9 MPP3KO_Cl11,MPP4WT_Cl13	-0.09179036059422421	-0.17532471980598938	-0.18156613703112717	0.6779414601453602	-0.15548411840970847	0.0	0.4991679207252201	-0.07063073099286252	-0.3380513768342251	2.6904217745053045	-0.21041897380336486	-0.17610339831291463	0.4938609639255427	-0.3018318978846088	-0.12908137305818262	0.6302818393614689	0.4439721531849752	0.3803617778820397	1.5051306354197456	-0.20647485619803502	1.5600198125650684	0.006136773790604204	0.5366371382352693	-0.25850938550608904	0.7050391835677958	1.6714101842229412	0.4993817673521188	0.6730709652150376	1.440543441676291	1.1535490442589549	-0.13943795045141893	-0.5566841161739656	4.277635149224302	-0.11789977967846854	0.7778171701478059	0.17295310459306673	0.9210639485144415	0.3527834087090571	0.41636118587711296	-0.13129250936922612
MPP3KO_Cluster_10 MPP3KO_Cl10	-0.06875472186417983	0.1602166116588478	0.2684626549352501	-0.06195932407992291	-0.2536981246374787	0.4991679207252201	0.0	-0.10862317658624833	-0.34288532260770177	1.2491189982818713	0.24485530568308453	0.3170927310496803	0.38933794921746767	-0.4866487324103303	-0.17929343828152944	0.5421241694928862	-0.18907687220233232	0.2267786441840751	0.03976666487582034	0.2743649782130395	2.6499913443688508	-0.13115808957285213	0.18389106097548	0.15210798231153103	-0.4041589142394274	2.3005228134998563	0.9000882675216992	-0.02873148443590783	0.6926404172075974	-0.3868171371103112	-0.10197457472761014	-0.19159243867051298	0.48926486405735453	-0.14297673278591014	-0.31185314602593955	0.37356249732367475	0.4489014532844048	-0.17163971766913869	0.6770263159944653	-0.1910577407049984
Cluster_25 MPP3KO_Cl8,MPP4WT_Cl9	-0.01588771104130071	-0.1464507846293187	-0.17451739096958996	-0.05731868174052266	-0.127481999737835	-0.07063073099286252	-0.10862317658624833	0.0	0.28905037450210236	0.26867803097762455	-0.10341188338616293	-0.10184041043910393	0.536898351429253	-0.2450288704709395	-0.03560403775861239	-0.08045947170158883	-0.07853081952464054	-0.21557965660267814	-0.1460038675370227	-0.15508254170796662	0.5367180675763693	3.09010329303249	-0.29783801445847846	0.45002329569186295	-0.4130442665855128	-0.21613640948892085	0.6703067103340588	-0.3074071806147043	-0.3077711855603831	-0.4877710666256229	-0.052054498497201195	-0.11767251548160791	-0.05108587803307716	-0.08705561253316718	-0.1300295116904418	-0.28372650705839814	-0.09042198911071371	-0.3884505554377487	-0.1862622032949389	0.6096152020762341
Cluster_23 MPP3KO_Cl1,MPP4WT_Cl12	-0.26804601673082007	0.2260658991020112	0.8952789840825619	0.20750892644806923	-0.40757800315235876	-0.3380513768342251	-0.34288532260770177	0.28905037450210236	0.0	1.0425352415484295	0.9411466528446416	-0.35055935464933347	-0.01576486943099668	-0.3655928854926635	-0.5449276027181841	-0.34055358719168316	-0.5566145858111406	-0.3766316611491087	0.22043069987451666	-0.21847248325579827	1.8176447390242005	2.9025157630401357	-0.6423250156716864	-0.25158359628910437	-0.27692759254334	-0.08384825220837047	-0.1475301031616714	0.09403066728154434	-1.0353777313075292	-1.1079627301485095	0.1542354265649644	0.8675001094493232	-0.13638534335369432	0.30435313622639665	0.7463206163937335	-0.6710778883705356	0.2625451141372598	-1.1133258659097827	-0.31034811207195057	-0.1917701710861783
Cluster_33 MPP3KO_Cl13,MPP3WT_Cl13,MPP3WT_Cl12	0.5729335607062006	1.8689004921053824	1.732107012177685	-0.14525996009731484	-0.38466053508244535	2.6904217745053045	1.2491189982818713	0.26867803097762455	1.0425352415484295	0.0	0.1552676974342116	1.4447546427318978	0.8007722772676553	-0.31690032521069655	-0.1516792692399022	0.6059267629080721	-0.23879772058322915	1.166337896540172	0.4819363888994131	1.0245490273422244	8.616455819516668	12.810653779159273	3.7415895979824176	2.737565520798513	3.777757350468952	4.721513531323734	4.7469934051590705	6.450928877329549	5.900689316660784	0.6944164157591403	-0.13474666931300272	0.7037660032138032	4.133453506998706	1.4857796293425407	1.7885671880978575	0.4249482858401352	0.053943188980774937	0.18119683467002212	2.2235212279682934	1.0691846952067148
