	Cluster_14 MPP3KO_Cl6,MPP4WT_Cl22	Cluster_3 MPP3KO_Cl21,MPP4KO_Cl2	Cluster_30 MPP3KO_Cl22,MPP3KO_Cl16,MPP3KO_Cl15	Cluster_13 MPP3KO_Cl9,MPP4KO_Cl7,MPP4WT_Cl6	MPP3KO_Cluster_18 MPP3KO_Cl18	Cluster_9 MPP3KO_Cl11,MPP4WT_Cl13	MPP3KO_Cluster_10 MPP3KO_Cl10	Cluster_25 MPP3KO_Cl8,MPP4WT_Cl9	Cluster_23 MPP3KO_Cl1,MPP4WT_Cl12	Cluster_33 MPP3KO_Cl13,MPP3WT_Cl13,MPP3WT_Cl12	Cluster_26 MPP3KO_Cl5,MPP3KO_Cl4,MPP4WT_Cl4	Cluster_39 MPP3KO_Cl20,MPP3WT_Cl9	MPP3KO_MA1536.1 MPP3KO_Cl17	MPP3KO_MA0506.1 MPP3KO_Cl14	Cluster_16 MPP3KO_Cl12,MPP4WT_Cl17	MPP3KO_MA0067.1 MPP3KO_Cl23	Cluster_12 MPP3KO_Cl7,MPP4WT_Cl21,MPP4WT_Cl20	MPP3KO_MA1616.1 MPP3KO_Cl3	Cluster_29 MPP3KO_Cl19,MPP4WT_Cl3	MPP3KO_Cluster_2 MPP3KO_Cl2	Cluster_4 MPP3WT_Cl14,MPP3WT_Cl3,MPP4KO_Cl1	Cluster_5 MPP3WT_Cl8,MPP4KO_Cl4	Cluster_22 MPP3WT_Cl1,MPP3WT_Cl2	MPP3WT_MA0739.1 MPP3WT_Cl7	Cluster_7 MPP3WT_Cl4,MPP4KO_Cl5,MPP4KO_Cl7(...)	MPP3WT_Cluster_5 MPP3WT_Cl5	MPP3WT_MA0513.1 MPP3WT_Cl6	MPP3WT_MA1581.1 MPP3WT_Cl10	MPP3WT_Cluster_11 MPP3WT_Cl11	Cluster_1 MPP4KO_Cl6,MPP4KO_Cl3	MPP4WT_Cluster_5 MPP4WT_Cl5	MPP4WT_MA0041.1 MPP4WT_Cl14	MPP4WT_MA0850.1 MPP4WT_Cl15	MPP4WT_MA0109.1 MPP4WT_Cl10	Cluster_18 MPP4WT_Cl19,MPP4WT_Cl18	MPP4WT_Cluster_11 MPP4WT_Cl11	MPP4WT_MA0676.1 MPP4WT_Cl8	MPP4WT_MA0687.1 MPP4WT_Cl1	MPP4WT_Cluster_16 MPP4WT_Cl16	MPP4WT_MA1585.1 MPP4WT_Cl2
Cluster_14 MPP3KO_Cl6,MPP4WT_Cl22	0.0	-0.02580474113959372	-0.06833002275220877	-0.027621824378579303	-0.016515095467375857	-0.04315976528507492	-0.04432619570798094	-0.014954413352746844	-0.16177609731464646	-0.08115988135902961	-0.028169295955934984	-0.04169562250518579	-0.009961039252769763	-0.028612406138657433	-0.07634746007339255	-0.014216218591409313	-0.055186911061011146	-0.05350115866598189	-0.047099989622851106	-0.04360128007377599	-0.06254672827183909	-0.04709548731971998	-0.19621156888525837	-0.03302833994110106	-0.13939236320853274	-0.06328248681795978	-0.05546909338239057	-0.03638216334565065	-0.07397003372116333	-0.08209129061612266	-0.04765196486533628	-0.11060754053796439	-0.02288831341153087	-0.005455438967626989	-0.07328042863424318	-0.11172962165800217	-0.032434937572173736	-0.15711558410672635	-0.03557630114201397	-0.024842552150059538
Cluster_3 MPP3KO_Cl21,MPP4KO_Cl2	-0.02580474113959372	0.0	0.9624763715390204	-0.047829115141553094	4.977284058718854	-0.09069667192284546	-0.1656686996835161	-0.06599139651655071	0.6335189568136192	0.692265629286845	3.9273662698722167	-0.09910476606518322	1.9414342925313244	6.722570120950957	-0.051188712116669435	0.5025320385544306	-0.07432225016187041	0.07038436456599294	0.21010002460863345	-0.14504041976552745	4.733420907059907	1.7846699062315896	3.682927826302086	0.5552413037731394	16.90621341728726	0.25788287235045415	2.268339438338008	2.265336664787959	5.743234910681121	8.42745437710106	-0.023496481011873162	-0.09860660763362596	-0.08628138064649434	0.6184972949187343	-0.12554388354373755	0.12538786903880977	-0.09766313452745161	0.09825334895818545	-0.12399534605225582	-0.11790946120005637
Cluster_30 MPP3KO_Cl22,MPP3KO_Cl16,MPP3KO_Cl15	-0.06833002275220877	0.9624763715390204	0.0	-0.03849660600720293	-0.13421170969330803	-0.06469016813236253	-0.1095607250975327	-0.05708944671524598	-0.2911297299066066	-0.24453052420762583	-0.12537322446506355	-0.11350622358577926	-0.08403505075743781	0.8213208625445917	-0.04555465500744378	-0.04396940509190253	-0.11275478493338487	-0.13707412751036221	1.0789796393106412	0.5524528845370984	0.36948785218872676	-0.19419065792022316	0.3412136188590707	-0.20486471476504042	-0.18527579861910565	-0.19238626111883816	-0.19807230257560604	0.48405096669427233	-0.2750874533184166	3.2664132910570003	-0.09258857566806698	-0.09229866600374528	-0.03864139250604502	-0.047561146203578424	-0.09638118564066608	-0.2102126318897021	0.6335740416144543	0.1486575969820444	0.5877932012908277	-0.07114789774879399
Cluster_13 MPP3KO_Cl9,MPP4KO_Cl7,MPP4WT_Cl6	-0.027621824378579303	-0.047829115141553094	-0.03849660600720293	0.0	-0.025047230742027717	-0.030988609171701004	-0.033403226773026685	-0.03597271248664999	-0.1685529986053784	0.6682217035062449	-0.041289020154926234	-0.05104243660943228	-0.035604037758612386	-0.0416428300177551	-0.046493002560506	-0.014216218591409317	-0.06232027659858881	-0.044826426646494694	-0.06704654707660704	-0.05004355151635661	0.632229407106186	-0.05737036322501891	-0.24219143251675979	-0.05940977195832683	-0.2134598501363254	-0.08320314511312212	-0.07223090673056015	-0.055613677436825784	-0.09325367963133982	-0.12639236472289572	-0.16354069409217814	-0.0537515416722768	-0.030495602802776762	-0.02672404758697226	-0.1371321039679756	-0.19494913240650136	-0.0491647136706461	-0.11954457574196937	-0.029716867478804587	-0.033308715403015776
MPP3KO_Cluster_18 MPP3KO_Cl18	-0.016515095467375857	4.977284058718854	-0.13421170969330803	-0.025047230742027717	0.0	0.6684132083073088	-0.15316992165555468	-0.06749829018616472	-0.26681255651619823	-0.43750000000000006	0.5655350177487468	-0.07713924715379637	1.210296808917041	9.000518709478468	-0.03240107038206893	0.4959046503178454	-0.044037069147458585	0.34260460876605164	0.16200590640978899	-0.10622036921686803	1.2137905956682817	1.6916892265661367	1.8393712244327438	1.5244855019322372	4.308325488152512	-0.2752917393494065	0.7410529908702219	2.28399725799723	0.04098692933775336	8.263620579830349	-0.004670567674689837	-0.08589905059464645	0.621055380921296	-0.04358625857809206	-0.06767011378506411	-0.16998378217906943	-0.0707972885393993	-0.23521147902043943	-0.11120836277540425	-0.10406504677460032
Cluster_9 MPP3KO_Cl11,MPP4WT_Cl13	-0.04315976528507492	-0.09069667192284546	-0.06469016813236253	-0.030988609171701004	0.6684132083073088	0.0	-0.0919877088688834	-0.03925012644259603	-0.405623061485613	-0.21962210936357118	-0.11665249943314124	-0.0918135878854599	-0.09078944529752891	-0.17288460118558327	-0.08290632592068081	-0.05470867427123166	-0.11099429716092524	-0.13884947922116858	-0.15489678133516457	-0.09477958263372495	-0.22121456591563846	0.3714617864628284	-0.06000509576796033	-0.11151665162733847	-0.058697457467291644	-0.1690816814404846	-0.2163218400702648	-0.18782342998239998	-0.26258750802298697	-0.34436842569963555	-0.07519774053822904	-0.32186024439091737	-0.1678590871954085	-0.0716621046691388	-0.2114253490150134	-0.3132958126547492	0.5341356494578879	-0.311988860264169	-0.08983405557998712	-0.06854267966875055
MPP3KO_Cluster_10 MPP3KO_Cl10	-0.04432619570798094	-0.1656686996835161	-0.1095607250975327	-0.033403226773026685	-0.15316992165555468	-0.0919877088688834	0.0	-0.06469016813236252	-0.4032832806092381	1.2991911910754883	-0.17857814387930349	-0.15304212705941056	-0.11597288705103319	-0.2715476288271105	-0.09341847700964573	-0.07377216414694727	-0.11808920577827997	-0.21630147818258091	-0.23158314112398687	-0.17375278315835124	1.110115155640669	-0.3211825732295913	-0.6667651023133024	-0.24720939442427234	0.4697599053601862	-0.43376198878583827	-0.3258536578211468	-0.2961885587774251	-0.48981481394279663	-0.5294249317701372	-0.052383312200788776	-0.12589279235603382	-0.08273807393700593	-0.07634528012205821	-0.18362165823164048	-0.2907334332212842	-0.10719074759887255	-0.37345631748621866	-0.2236632542332781	-0.09940730734881278
Cluster_25 MPP3KO_Cl8,MPP4WT_Cl9	-0.014954413352746844	-0.06599139651655071	-0.05708944671524598	-0.03597271248664999	-0.06749829018616472	-0.03925012644259603	-0.06469016813236252	0.0	-0.26219064689326216	1.1556040177137867	-0.06327780757859035	-0.06010010985738961	0.7046453071138575	-0.11053121135255368	-0.02243051616169606	-0.04611215864647519	-0.05165253992633144	-0.0828792818948643	-0.07487732355600094	-0.07475859364303793	0.33822565623829903	-0.18256909352991194	-0.435197119371389	-0.11001903705075003	-0.41395777348643875	-0.14072958408909944	-0.2052175189092976	-0.1817676699733595	-0.14694837342549338	0.09788580326532703	-0.04289098617901705	-0.07974819667742149	-0.036366213008574885	-0.035955060283275206	-0.06680100608755982	-0.21253938260051827	-0.058677933539030794	-0.24069937510703587	-0.0921219963479647	-0.07339421361359032
Cluster_23 MPP3KO_Cl1,MPP4WT_Cl12	-0.16177609731464646	0.6335189568136192	-0.2911297299066066	-0.1685529986053784	-0.26681255651619823	-0.405623061485613	-0.4032832806092381	-0.26219064689326216	0.0	-0.002356562139804311	-0.42908910185232296	0.14836012768365692	0.9348430896390754	0.272176966244469	-0.36493840859203236	0.17620148588328932	-0.5486505389573023	-0.19823303345719956	0.4865977851317867	-0.5967821023859001	1.1831700276536559	-0.4023773543958492	-0.6188770245181712	-0.18060763686503709	1.2574903498483672	-0.509307866128246	-0.23012444915673422	0.16973813436086313	-0.6553530826394653	1.1078318005165773	-0.3016022271287917	0.4484359352828722	-0.3157229994520061	-0.29567315997048593	-0.12436999189777638	-0.9623240318000024	-0.21605328514200633	-0.19764745848541818	-0.551370142924413	-0.2889497533834335
Cluster_33 MPP3KO_Cl13,MPP3WT_Cl13,MPP3WT_Cl12	-0.08115988135902961	0.692265629286845	-0.24453052420762583	0.6682217035062449	-0.43750000000000006	-0.21962210936357118	1.2991911910754883	1.1556040177137867	-0.002356562139804311	0.0	0.17992915001792065	-0.22270884863664	0.24038665378692176	0.5761723641062195	-0.09499417429595806	1.0341021413341847	-0.16287026433611293	0.8273160857095788	0.03332103159827676	1.1332182465190552	2.56529060047883	1.5084884605463325	0.0883445723637815	-0.32226763316584506	2.211407354939555	2.6189832348275295	1.6936880831143961	0.3191945084841142	1.1677542689247344	1.4070419846109865	-0.08088039504562756	-0.223957149322671	-0.20192907180433192	1.5559266912891967	-0.1942050535765078	-0.38788728670376355	-0.26778595714227077	-0.4320026166293205	-0.2863622590908576	-0.2284453451628758
