	MPP3KO_MA0602.1 MPP3KO_Cl6	MPP3KO_Cluster_21 MPP3KO_Cl21	MPP3KO_Cluster_22 MPP3KO_Cl22	MPP3KO_Cluster_16 MPP3KO_Cl16	MPP3KO_Cluster_15 MPP3KO_Cl15	MPP3KO_Cluster_9 MPP3KO_Cl9	MPP3KO_Cluster_18 MPP3KO_Cl18	MPP3KO_MA0479.1 MPP3KO_Cl11	MPP3KO_Cluster_10 MPP3KO_Cl10	MPP3KO_Cluster_8 MPP3KO_Cl8	MPP3KO_Cluster_1 MPP3KO_Cl1	MPP3KO_Cluster_13 MPP3KO_Cl13	MPP3KO_Cluster_5 MPP3KO_Cl5	MPP3KO_Cluster_20 MPP3KO_Cl20	MPP3KO_MA1536.1 MPP3KO_Cl17	MPP3KO_MA0506.1 MPP3KO_Cl14	MPP3KO_MA0679.2 MPP3KO_Cl12	MPP3KO_MA0067.1 MPP3KO_Cl23	MPP3KO_MA0790.1 MPP3KO_Cl7	MPP3KO_MA1616.1 MPP3KO_Cl3	MPP3KO_MA0600.2 MPP3KO_Cl19	MPP3KO_Cluster_2 MPP3KO_Cl2	MPP3KO_Cluster_4 MPP3KO_Cl4	MPP3WT_Cluster_14 MPP3WT_Cl14	MPP3WT_Cluster_13 MPP3WT_Cl13	MPP3WT_Cluster_12 MPP3WT_Cl12	MPP3WT_Cluster_8 MPP3WT_Cl8	MPP3WT_Cluster_1 MPP3WT_Cl1	MPP3WT_MA0739.1 MPP3WT_Cl7	MPP3WT_MA0599.1 MPP3WT_Cl4	MPP3WT_MA0503.1 MPP3WT_Cl9	MPP3WT_Cluster_5 MPP3WT_Cl5	MPP3WT_MA0513.1 MPP3WT_Cl6	MPP3WT_Cluster_3 MPP3WT_Cl3	MPP3WT_MA1581.1 MPP3WT_Cl10	MPP3WT_Cluster_11 MPP3WT_Cl11	MPP3WT_MA1652.1 MPP3WT_Cl2	MPP4KO_Cluster_1 MPP4KO_Cl1	MPP4KO_Cluster_5 MPP4KO_Cl5	MPP4KO_Cluster_6 MPP4KO_Cl6	MPP4KO_Cluster_7 MPP4KO_Cl7	MPP4KO_MA0632.2 MPP4KO_Cl2	MPP4KO_Cluster_4 MPP4KO_Cl4	MPP4KO_MA1650.1 MPP4KO_Cl3	MPP4KO_MA0528.2 MPP4KO_Cl8	MPP4WT_Cluster_7 MPP4KO_Cl7	MPP4WT_Cluster_21 MPP4WT_Cl21	MPP4WT_MA0602.1 MPP4WT_Cl22	MPP4WT_Cluster_6 MPP4WT_Cl6	MPP4WT_Cluster_5 MPP4WT_Cl5	MPP4WT_Cluster_20 MPP4WT_Cl20	MPP4WT_Cluster_13 MPP4WT_Cl13	MPP4WT_MA0041.1 MPP4WT_Cl14	MPP4WT_MA0850.1 MPP4WT_Cl15	MPP4WT_MA0109.1 MPP4WT_Cl10	MPP4WT_MA0619.1 MPP4WT_Cl19	MPP4WT_Cluster_11 MPP4WT_Cl11	MPP4WT_Cluster_4 MPP4WT_Cl4	MPP4WT_MA0676.1 MPP4WT_Cl8	MPP4WT_Cluster_18 MPP4WT_Cl18	MPP4WT_Cluster_3 MPP4WT_Cl3	MPP4WT_MA0719.1 MPP4WT_Cl9	MPP4WT_Cluster_17 MPP4WT_Cl17	MPP4WT_MA0687.1 MPP4WT_Cl1	MPP4WT_MA1623.1 MPP4WT_Cl12	MPP4WT_Cluster_16 MPP4WT_Cl16	MPP4WT_MA1585.1 MPP4WT_Cl2
MPP3KO_MA0602.1 MPP3KO_Cl6	0.0	0.975	0.751	0.584	0.724	0.452	0.8	0.678	0.595	0.523	0.618	0.579	0.699	0.723	0.768	0.93	0.467	0.732	0.462	0.792	0.796	0.604	0.649	0.98	0.662	0.718	0.966	0.838	0.859	0.952	0.828	0.749	0.855	0.892	0.89	0.862	0.847	0.969	0.971	1.0	0.951	0.908	1.0	1.0	0.974	0.453	0.405	0.0	0.466	0.542	0.465	0.505	0.544	0.714	0.59	0.592	0.43	0.645	0.593	0.564	0.773	0.629	0.483	0.691	0.636	0.664	0.707
MPP3KO_Cluster_21 MPP3KO_Cl21	0.975	0.0	0.447	0.735	0.708	0.925	0.738	0.624	0.691	0.909	0.819	0.501	0.748	0.56	0.656	0.499	0.936	0.556	0.816	0.577	0.82	0.689	0.642	0.391	0.62	0.278	0.84	0.624	0.65	0.572	0.673	0.699	0.65	0.388	0.709	0.713	0.57	0.356	0.63	0.455	0.492	0.233	0.784	0.528	0.76	0.928	0.955	0.975	0.689	0.915	0.921	0.711	0.762	0.728	0.616	0.783	0.935	0.803	0.759	0.743	0.792	0.849	0.829	0.803	0.84	0.818	0.644
MPP3KO_Cluster_22 MPP3KO_Cl22	0.751	0.447	0.0	0.349	0.306	0.675	0.53	0.728	0.755	0.731	0.863	0.633	0.634	0.617	0.63	0.592	0.787	0.504	0.733	0.786	0.716	0.665	0.665	0.72	0.72	0.513	0.834	0.63	0.622	0.709	0.71	0.528	0.731	0.532	0.738	0.788	0.661	0.688	0.763	0.629	0.724	0.406	0.846	0.677	0.711	0.633	0.858	0.751	0.678	0.757	0.741	0.644	0.678	0.671	0.781	0.748	0.892	0.718	0.519	0.61	0.677	0.794	0.708	0.626	0.866	0.67	0.606
MPP3KO_Cluster_16 MPP3KO_Cl16	0.584	0.735	0.349	0.0	0.208	0.604	0.657	0.632	0.61	0.619	0.693	0.663	0.578	0.668	0.542	0.67	0.599	0.648	0.566	0.751	0.751	0.567	0.612	0.783	0.711	0.718	0.814	0.794	0.588	0.768	0.754	0.712	0.725	0.67	0.606	0.791	0.767	0.756	0.866	0.918	0.755	0.742	0.969	0.87	0.79	0.539	0.7	0.584	0.655	0.555	0.569	0.608	0.634	0.643	0.73	0.565	0.722	0.623	0.646	0.486	0.738	0.725	0.624	0.625	0.701	0.625	0.761
MPP3KO_Cluster_15 MPP3KO_Cl15	0.724	0.708	0.306	0.208	0.0	0.564	0.652	0.719	0.683	0.602	0.806	0.7	0.736	0.745	0.597	0.832	0.655	0.606	0.657	0.779	0.695	0.644	0.718	0.736	0.701	0.673	0.846	0.707	0.626	0.746	0.711	0.574	0.79	0.681	0.792	0.722	0.617	0.731	0.88	0.852	0.713	0.743	0.909	0.904	0.676	0.556	0.784	0.724	0.752	0.566	0.671	0.726	0.713	0.76	0.75	0.757	0.864	0.789	0.57	0.625	0.729	0.574	0.76	0.572	0.809	0.697	0.666
MPP3KO_Cluster_9 MPP3KO_Cl9	0.452	0.925	0.675	0.604	0.564	0.0	0.701	0.606	0.553	0.496	0.741	0.639	0.654	0.478	0.76	0.925	0.422	0.667	0.489	0.856	0.78	0.696	0.595	0.913	0.82	0.766	0.856	0.772	0.795	0.846	0.684	0.703	0.801	0.861	0.77	0.803	0.689	0.915	0.91	0.954	0.868	0.901	0.988	1.0	0.803	0.107	0.366	0.452	0.359	0.444	0.47	0.458	0.584	0.593	0.461	0.69	0.505	0.584	0.674	0.448	0.805	0.648	0.539	0.635	0.72	0.608	0.709
MPP3KO_Cluster_18 MPP3KO_Cl18	0.8	0.738	0.53	0.657	0.652	0.701	0.0	0.866	0.764	0.856	0.866	0.61	0.65	0.772	0.671	0.674	0.839	0.583	0.818	0.662	0.64	0.872	0.77	0.721	0.63	0.61	0.759	0.752	0.523	0.501	0.734	0.629	0.683	0.488	0.688	0.677	0.577	0.697	0.488	0.555	0.496	0.694	0.694	0.594	0.526	0.742	0.796	0.8	0.723	0.912	0.761	0.842	0.852	0.839	0.555	0.851	0.869	0.697	0.697	0.849	0.633	0.745	0.737	0.759	0.911	0.778	0.69
MPP3KO_MA0479.1 MPP3KO_Cl11	0.678	0.624	0.728	0.632	0.719	0.606	0.866	0.0	0.575	0.438	0.729	0.723	0.593	0.518	0.638	0.811	0.412	0.727	0.639	0.756	0.789	0.697	0.477	0.739	0.689	0.593	0.681	0.699	0.702	0.674	0.573	0.672	0.852	0.581	0.776	0.617	0.747	0.74	0.862	0.693	0.607	0.763	0.915	0.867	0.729	0.591	0.64	0.678	0.622	0.656	0.468	0.303	0.46	0.608	0.577	0.627	0.582	0.603	0.545	0.634	0.776	0.614	0.588	0.754	0.623	0.669	0.759
MPP3KO_Cluster_10 MPP3KO_Cl10	0.595	0.691	0.755	0.61	0.683	0.553	0.764	0.575	0.0	0.511	0.702	0.745	0.719	0.683	0.727	0.886	0.398	0.497	0.707	0.6	0.709	0.515	0.674	0.797	0.664	0.757	0.85	0.714	0.739	0.63	0.636	0.523	0.738	0.724	0.738	0.524	0.612	0.795	0.865	0.814	0.7	0.796	0.859	0.804	0.875	0.46	0.698	0.595	0.59	0.558	0.549	0.629	0.725	0.749	0.677	0.612	0.685	0.723	0.495	0.643	0.75	0.614	0.606	0.714	0.617	0.484	0.804
MPP3KO_Cluster_8 MPP3KO_Cl8	0.523	0.909	0.731	0.619	0.602	0.496	0.856	0.438	0.511	0.0	0.765	0.738	0.617	0.677	0.624	0.944	0.494	0.736	0.57	0.649	0.803	0.578	0.557	0.913	0.799	0.857	0.606	0.668	0.62	0.576	0.732	0.678	0.822	0.728	0.641	0.735	0.701	0.896	0.808	0.752	0.665	0.889	0.784	0.928	0.512	0.453	0.418	0.523	0.491	0.5	0.548	0.593	0.654	0.636	0.686	0.622	0.622	0.579	0.529	0.563	0.819	0.188	0.621	0.759	0.726	0.573	0.605
