Motif	GC content	Motif length
MPP3KO_MA0602.1 MPP3KO_Cl6	0.2764	14
MPP3KO_Cluster_21 MPP3KO_Cl21	0.658	8
MPP3KO_Cluster_22 MPP3KO_Cl22	0.4911	17
MPP3KO_Cluster_16 MPP3KO_Cl16	0.3665	15
MPP3KO_Cluster_15 MPP3KO_Cl15	0.4264	18
MPP3KO_Cluster_9 MPP3KO_Cl9	0.3151	11
MPP3KO_Cluster_18 MPP3KO_Cl18	0.5906	13
MPP3KO_MA0479.1 MPP3KO_Cl11	0.4011	11
MPP3KO_Cluster_10 MPP3KO_Cl10	0.4427	12
MPP3KO_Cluster_8 MPP3KO_Cl8	0.3894	12
MPP3KO_Cluster_1 MPP3KO_Cl1	0.3498	21
MPP3KO_Cluster_13 MPP3KO_Cl13	0.4427	12
MPP3KO_Cluster_5 MPP3KO_Cl5	0.3916	10
MPP3KO_Cluster_20 MPP3KO_Cl20	0.3979	13
MPP3KO_MA1536.1 MPP3KO_Cl17	0.541	8
MPP3KO_MA0506.1 MPP3KO_Cl14	0.8096	11
MPP3KO_MA0679.2 MPP3KO_Cl12	0.2388	16
MPP3KO_MA0067.1 MPP3KO_Cl23	0.5161	8
MPP3KO_MA0790.1 MPP3KO_Cl7	0.2148	14
MPP3KO_MA1616.1 MPP3KO_Cl3	0.4879	15
MPP3KO_MA0600.2 MPP3KO_Cl19	0.5077	16
MPP3KO_Cluster_2 MPP3KO_Cl2	0.4262	16
MPP3KO_Cluster_4 MPP3KO_Cl4	0.4555	13
MPP3WT_Cluster_14 MPP3WT_Cl14	0.6066	14
MPP3WT_Cluster_13 MPP3WT_Cl13	0.5052	14
MPP3WT_Cluster_12 MPP3WT_Cl12	0.5109	10
MPP3WT_Cluster_8 MPP3WT_Cl8	0.6238	15
MPP3WT_Cluster_1 MPP3WT_Cl1	0.5077	15
MPP3WT_MA0739.1 MPP3WT_Cl7	0.5962	9
MPP3WT_MA0599.1 MPP3WT_Cl4	0.7921	10
MPP3WT_MA0503.1 MPP3WT_Cl9	0.534	11
MPP3WT_Cluster_5 MPP3WT_Cl5	0.5039	17
MPP3WT_MA0513.1 MPP3WT_Cl6	0.5562	13
MPP3WT_Cluster_3 MPP3WT_Cl3	0.5464	10
MPP3WT_MA1581.1 MPP3WT_Cl10	0.6063	13
MPP3WT_Cluster_11 MPP3WT_Cl11	0.5565	15
MPP3WT_MA1652.1 MPP3WT_Cl2	0.5478	14
MPP4KO_Cluster_1 MPP4KO_Cl1	0.6125	14
MPP4KO_Cluster_5 MPP4KO_Cl5	0.7739	16
MPP4KO_Cluster_6 MPP4KO_Cl6	0.7454	14
MPP4KO_Cluster_7 MPP4KO_Cl7	0.7212	13
MPP4KO_MA0632.2 MPP4KO_Cl2	0.7497	10
MPP4KO_Cluster_4 MPP4KO_Cl4	0.7303	12
MPP4KO_MA1650.1 MPP4KO_Cl3	0.8078	12
MPP4KO_MA0528.2 MPP4KO_Cl8	0.6719	12
MPP4WT_Cluster_7 MPP4KO_Cl7	0.3052	11
MPP4WT_Cluster_21 MPP4WT_Cl21	0.3079	15
MPP4WT_MA0602.1 MPP4WT_Cl22	0.2764	14
MPP4WT_Cluster_6 MPP4WT_Cl6	0.3331	13
MPP4WT_Cluster_5 MPP4WT_Cl5	0.1918	18
MPP4WT_Cluster_20 MPP4WT_Cl20	0.2865	16
MPP4WT_Cluster_13 MPP4WT_Cl13	0.3488	18
MPP4WT_MA0041.1 MPP4WT_Cl14	0.2234	12
MPP4WT_MA0850.1 MPP4WT_Cl15	0.2932	7
MPP4WT_MA0109.1 MPP4WT_Cl10	0.3969	10
MPP4WT_MA0619.1 MPP4WT_Cl19	0.1885	9
MPP4WT_Cluster_11 MPP4WT_Cl11	0.233	16
MPP4WT_Cluster_4 MPP4WT_Cl4	0.3747	10
MPP4WT_MA0676.1 MPP4WT_Cl8	0.2996	9
MPP4WT_Cluster_18 MPP4WT_Cl18	0.2867	14
MPP4WT_Cluster_3 MPP4WT_Cl3	0.5014	17
MPP4WT_MA0719.1 MPP4WT_Cl9	0.4431	8
MPP4WT_Cluster_17 MPP4WT_Cl17	0.3624	11
MPP4WT_MA0687.1 MPP4WT_Cl1	0.4105	14
MPP4WT_MA1623.1 MPP4WT_Cl12	0.3284	13
MPP4WT_Cluster_16 MPP4WT_Cl16	0.3905	14
MPP4WT_MA1585.1 MPP4WT_Cl2	0.4647	10
