	MA1100.2 ASCL1	MA1631.1 ASCL1(var.2)	MA0816.1 Ascl2	MA1467.1 ATOH1(var.2)	MA1468.1 ATOH7	MA0607.1 Bhlha15	MA1472.1 BHLHA15(var.2)	MA1635.1 BHLHE22(var.2)	MA0154.4 EBF1	MA1604.1 Ebf2	MA1637.1 EBF3	MA0473.3 ELF1	MA0640.2 ELF3	MA0136.2 ELF5	MA0761.2 ETV1	MA0764.2 ETV4	MA0765.2 ETV5	MA0820.1 FIGLA	MA0062.3 GABPA	MA1638.1 HAND2	MA0739.1 Hic1	MA0599.1 KLF5	MA1108.2 MXI1	MA1641.1 MYF5	MA0499.2 MYOD1	MA0500.2 MYOG	MA1109.1 NEUROD1	MA1642.1 NEUROG2(var.2)	MA0048.2 NHLH1	MA0503.1 Nkx2-5(var.2)	MA1114.1 PBX3	MA0782.2 PKNOX1	MA1618.1 Ptf1a	MA1619.1 Ptf1a(var.2)	MA1620.1 Ptf1a(var.3)	MA1621.1 Rbpjl	MA0513.1 SMAD2::SMAD3::SMAD4	MA1558.1 SNAI1	MA0745.2 SNAI2	MA1559.1 SNAI3	MA0091.1 TAL1::TCF3	MA1566.1 TBX3	MA0807.1 TBX5	MA0521.1 Tcf12	MA1648.1 TCF12(var.2)	MA0522.3 TCF3	MA0830.2 TCF4	MA0691.1 TFAP4	MA1570.1 TFAP4(var.2)	MA1123.2 TWIST1	MA0698.1 ZBTB18	MA1581.1 ZBTB6	MA0103.3 ZEB1	MA1629.1 Zic2	MA1652.1 ZKSCAN5	MA1593.1 ZNF317	MA1655.1 ZNF341
MA1100.2 ASCL1	0.0	0.135	0.113	0.217	0.23	0.198	0.106	0.131	0.688	0.676	0.671	0.747	0.773	0.754	0.745	0.767	0.634	0.166	0.743	0.317	0.624	0.802	0.348	0.134	0.14	0.119	0.196	0.213	0.078	0.758	0.593	0.575	0.156	0.094	0.137	0.144	0.615	0.232	0.196	0.22	0.3	0.481	0.518	0.139	0.173	0.185	0.14	0.202	0.284	0.193	0.233	0.571	0.23	0.409	0.697	0.415	0.516
MA1631.1 ASCL1(var.2)	0.135	0.0	0.167	0.337	0.289	0.327	0.244	0.156	0.668	0.697	0.661	0.587	0.598	0.72	0.615	0.625	0.605	0.183	0.611	0.284	0.618	0.666	0.383	0.187	0.079	0.162	0.223	0.258	0.133	0.765	0.529	0.588	0.229	0.159	0.098	0.084	0.578	0.158	0.082	0.133	0.353	0.366	0.384	0.105	0.037	0.048	0.017	0.255	0.366	0.255	0.297	0.62	0.096	0.373	0.418	0.492	0.513
MA0816.1 Ascl2	0.113	0.167	0.0	0.12	0.291	0.205	0.096	0.139	0.846	0.851	0.851	0.692	0.694	0.655	0.673	0.68	0.602	0.246	0.652	0.339	0.594	0.782	0.527	0.084	0.157	0.097	0.179	0.211	0.141	0.718	0.585	0.576	0.155	0.12	0.15	0.172	0.617	0.264	0.219	0.252	0.253	0.508	0.548	0.135	0.251	0.267	0.196	0.205	0.397	0.214	0.233	0.626	0.333	0.365	0.653	0.349	0.427
MA1467.1 ATOH1(var.2)	0.217	0.337	0.12	0.0	0.216	0.19	0.125	0.248	0.802	0.817	0.815	0.74	0.752	0.653	0.686	0.751	0.565	0.41	0.675	0.334	0.63	0.822	0.554	0.161	0.271	0.189	0.201	0.209	0.229	0.742	0.579	0.545	0.172	0.197	0.283	0.299	0.627	0.476	0.398	0.433	0.199	0.618	0.685	0.201	0.422	0.436	0.371	0.237	0.323	0.234	0.311	0.684	0.485	0.455	0.761	0.367	0.44
MA1468.1 ATOH7	0.23	0.289	0.291	0.216	0.0	0.205	0.206	0.369	0.789	0.7	0.693	0.708	0.741	0.597	0.639	0.683	0.568	0.443	0.667	0.241	0.596	0.81	0.283	0.315	0.266	0.342	0.188	0.174	0.302	0.773	0.614	0.61	0.2	0.276	0.289	0.268	0.653	0.484	0.342	0.441	0.209	0.54	0.635	0.316	0.324	0.306	0.293	0.357	0.208	0.215	0.328	0.686	0.335	0.642	0.749	0.574	0.596
MA0607.1 Bhlha15	0.198	0.327	0.205	0.19	0.205	0.0	0.097	0.229	0.8	0.793	0.79	0.72	0.742	0.59	0.662	0.775	0.595	0.453	0.683	0.224	0.643	0.865	0.393	0.195	0.274	0.213	0.106	0.093	0.228	0.841	0.654	0.617	0.114	0.182	0.273	0.287	0.669	0.471	0.358	0.414	0.144	0.654	0.726	0.255	0.383	0.368	0.338	0.346	0.302	0.117	0.219	0.762	0.421	0.512	0.79	0.559	0.552
MA1472.1 BHLHA15(var.2)	0.106	0.244	0.096	0.125	0.206	0.097	0.0	0.16	0.754	0.772	0.773	0.658	0.678	0.556	0.594	0.688	0.521	0.286	0.605	0.277	0.606	0.793	0.419	0.108	0.213	0.133	0.115	0.131	0.154	0.72	0.573	0.536	0.102	0.11	0.18	0.202	0.624	0.376	0.307	0.356	0.161	0.491	0.6	0.18	0.31	0.316	0.263	0.209	0.255	0.132	0.211	0.592	0.353	0.374	0.757	0.353	0.416
MA1635.1 BHLHE22(var.2)	0.131	0.156	0.139	0.248	0.369	0.229	0.16	0.0	0.725	0.763	0.734	0.783	0.78	0.745	0.794	0.762	0.673	0.203	0.785	0.27	0.595	0.797	0.528	0.048	0.148	0.018	0.207	0.226	0.096	0.75	0.613	0.599	0.163	0.038	0.147	0.161	0.603	0.336	0.228	0.274	0.302	0.503	0.566	0.114	0.214	0.23	0.164	0.107	0.334	0.207	0.252	0.585	0.241	0.316	0.615	0.337	0.384
MA0154.4 EBF1	0.688	0.668	0.846	0.802	0.789	0.8	0.754	0.725	0.0	0.127	0.132	0.66	0.64	0.693	0.678	0.72	0.658	0.589	0.669	0.727	0.604	0.617	0.703	0.797	0.705	0.787	0.737	0.755	0.704	0.682	0.825	0.85	0.74	0.745	0.634	0.636	0.821	0.661	0.663	0.713	0.797	0.854	0.632	0.744	0.663	0.71	0.633	0.724	0.707	0.656	0.727	0.568	0.599	0.579	0.685	0.744	0.771
MA1604.1 Ebf2	0.676	0.697	0.851	0.817	0.7	0.793	0.772	0.763	0.127	0.0	0.005	0.607	0.562	0.622	0.624	0.605	0.598	0.636	0.616	0.779	0.597	0.591	0.646	0.821	0.697	0.843	0.718	0.701	0.722	0.579	0.765	0.78	0.775	0.762	0.637	0.638	0.792	0.663	0.677	0.727	0.82	0.802	0.646	0.744	0.707	0.74	0.658	0.726	0.658	0.7	0.771	0.447	0.631	0.591	0.676	0.714	0.788
