	MA1100.2 ASCL1	MA1631.1 ASCL1(var.2)	MA1102.2 CTCFL	MA0162.4 EGR1	MA0493.1 Klf1	MA1512.1 KLF11	MA1513.1 KLF15	MA0741.1 KLF16	MA1515.1 KLF2	MA0039.4 KLF4	MA0599.1 KLF5	MA0499.2 MYOD1	MA0048.2 NHLH1	MA1620.1 Ptf1a(var.3)	MA1621.1 Rbpjl	MA1558.1 SNAI1	MA0745.2 SNAI2	MA1559.1 SNAI3	MA1564.1 SP9	MA1648.1 TCF12(var.2)	MA0522.3 TCF3	MA0830.2 TCF4	MA0632.2 TCFL5	MA0810.1 TFAP2A(var.2)	MA0811.1 TFAP2B	MA0524.2 TFAP2C	MA1627.1 Wt1	MA1650.1 ZBTB14	MA0103.3 ZEB1	MA1653.1 ZNF148	MA0528.2 ZNF263
MA1100.2 ASCL1	0.0	0.135	0.479	0.667	0.771	0.741	0.705	0.768	0.605	0.712	0.802	0.14	0.078	0.137	0.144	0.232	0.196	0.22	0.812	0.173	0.185	0.14	0.49	0.652	0.687	0.665	0.734	0.591	0.23	0.629	0.744
MA1631.1 ASCL1(var.2)	0.135	0.0	0.357	0.521	0.611	0.505	0.514	0.576	0.458	0.498	0.666	0.079	0.133	0.098	0.084	0.158	0.082	0.133	0.563	0.037	0.048	0.017	0.436	0.639	0.677	0.686	0.586	0.549	0.096	0.434	0.512
MA1102.2 CTCFL	0.479	0.357	0.0	0.4	0.613	0.447	0.357	0.452	0.509	0.55	0.58	0.411	0.541	0.438	0.414	0.519	0.423	0.476	0.451	0.351	0.37	0.338	0.614	0.57	0.623	0.619	0.483	0.567	0.382	0.38	0.521
MA0162.4 EGR1	0.667	0.521	0.4	0.0	0.341	0.208	0.276	0.245	0.266	0.316	0.383	0.68	0.628	0.657	0.617	0.627	0.631	0.612	0.287	0.392	0.387	0.514	0.46	0.579	0.604	0.616	0.185	0.238	0.481	0.391	0.467
MA0493.1 Klf1	0.771	0.611	0.613	0.341	0.0	0.085	0.334	0.166	0.137	0.104	0.091	0.666	0.725	0.576	0.548	0.583	0.587	0.571	0.125	0.555	0.554	0.605	0.585	0.632	0.642	0.652	0.395	0.569	0.506	0.382	0.39
MA1512.1 KLF11	0.741	0.505	0.447	0.208	0.085	0.0	0.243	0.068	0.104	0.145	0.144	0.588	0.633	0.536	0.495	0.532	0.505	0.492	0.063	0.423	0.427	0.498	0.487	0.563	0.582	0.587	0.29	0.455	0.444	0.337	0.429
MA1513.1 KLF15	0.705	0.514	0.357	0.276	0.334	0.243	0.0	0.254	0.193	0.237	0.308	0.64	0.689	0.7	0.658	0.695	0.622	0.617	0.255	0.48	0.485	0.526	0.421	0.595	0.624	0.626	0.405	0.312	0.568	0.225	0.387
MA0741.1 KLF16	0.768	0.576	0.452	0.245	0.166	0.068	0.254	0.0	0.181	0.202	0.229	0.644	0.707	0.614	0.579	0.583	0.554	0.536	0.103	0.496	0.503	0.572	0.579	0.626	0.654	0.663	0.295	0.483	0.561	0.314	0.423
MA1515.1 KLF2	0.605	0.458	0.509	0.266	0.137	0.104	0.193	0.181	0.0	0.155	0.223	0.511	0.539	0.481	0.435	0.502	0.466	0.473	0.173	0.396	0.407	0.421	0.418	0.539	0.572	0.572	0.428	0.419	0.372	0.353	0.449
MA0039.4 KLF4	0.712	0.498	0.55	0.316	0.104	0.145	0.237	0.202	0.155	0.0	0.093	0.56	0.614	0.514	0.485	0.516	0.512	0.516	0.218	0.453	0.443	0.484	0.558	0.635	0.662	0.675	0.352	0.541	0.417	0.207	0.333
