baseMean	log2FoldChange	lfcSE	pvalue	padj
4933440M02Rik	62.0872407378471	-8.59714256189264	1.54933143670656	2.61776981285256e-09	9.48988639349932e-09
Slc36a2	59.3250704346408	-8.53009580578293	1.55436570789972	3.52904741859559e-09	1.26523443203864e-08
Amotl2	58.1854011865542	-8.49927946033007	1.55937538150553	4.23905781751935e-09	1.50958391112933e-08
Pyroxd2	74.8117122888519	-7.3989336291288	1.59986502625723	1.25908319472725e-07	3.93458618184844e-07
Elane	119879.847837742	-6.44666973594104	0.0415384280476054	0	0
Prtn3	38813.2967420157	-6.27729997523891	0.0556273480576964	0	0
Dmkn	499.72017006834	-6.23782948841366	0.362754932811243	1.16900062098209e-67	2.68976900873459e-66
Gm5960	293.04150048096	-6.15809203422374	0.470774246279247	1.45190218352293e-40	2.09631378302924e-39
Gpr141	822.953009563527	-6.033760507206	0.269968706639234	3.89461924342073e-112	1.61522521544009e-110
Gm14085	84.125905902061	-5.96998389758985	0.918448429611335	1.57556411491617e-12	7.42681718902019e-12
Tfec	850.266655880933	-5.92564349044305	0.25969899553381	8.54653113473108e-117	3.66518896918382e-115
Cldn15	1277.95240662805	-5.88534041166149	0.210325958632689	7.16188905188489e-174	5.55211675883815e-172
Hal	48.8875450176182	-5.85734292769075	1.38255085083447	2.9948956230419e-07	9.04481812676542e-07
Tns4	132.687725000105	-5.85121050465902	1.53495845434447	1.57780629398663e-06	4.46410214227884e-06
Mpo	390829.399026207	-5.80048722301416	0.0273768411518989	0	0
F13a1	17860.268409634	-5.70536291561206	0.0648225549442877	0	0
RP24-417N13.7	85.9216288085924	-5.7023697906681	0.838950475898236	1.70157469067833e-13	8.63033202448727e-13
Slc44a4	54.9847042079788	-5.62790299028512	1.09570312522406	3.86195767090177e-09	1.37968129767274e-08
Trem3	1236.16564727214	-5.62140069844326	0.204909787446081	2.02729084040886e-167	1.45935979211718e-165
Mtus1	1580.91312782187	-5.618036256138	0.17844643482648	2.75528399122803e-219	2.80482344076728e-217
Nrg1	352.547792478358	-5.53241566708505	0.379892725524367	7.63700170974349e-50	1.33158656108642e-48
Mrgpra2b	75.7845077154752	-5.49009585674421	0.857688726373174	2.0784472083403e-12	9.70198747830178e-12
Mogat2	299.532033621252	-5.46661781216381	0.398966793019053	1.44568662615626e-44	2.28364103736721e-43
Clec5a	988.741748881022	-5.46653519060274	0.219413058327219	7.9213572314135e-139	4.41057669492736e-137
Met	945.018979465419	-5.39843483534206	0.222302109631832	4.04721045032974e-132	2.0496375335891e-130
Ms4a3	9798.77279072408	-5.38105651514695	0.0839868207792313	0	0
Anxa3	4000.98190102738	-5.26456474037787	0.107581001319785	0	0
Gpx3	703.202010336744	-5.24868329495956	0.246162350595468	8.50633303182206e-103	3.18687079162464e-101
F10	639.313925330602	-5.22578443888156	0.256859983577989	6.04851173775629e-94	2.02514622236239e-92
Mefv	516.646043442001	-5.20502072855392	0.787928623148222	4.58038323301024e-13	2.25485722153042e-12
Hnmt	411.646253702559	-5.1715380773763	0.321202904464277	2.82326655234974e-60	5.94005852078928e-59
Il22ra2	164.723399720858	-5.1602861593841	0.524872444957077	9.12582824303305e-25	8.1389466401139e-24
Ctsg	22317.693292496	-5.11986380226125	0.0530071290912494	0	0
Tie1	131.347711660468	-5.10199972960596	0.642985367339256	2.29962445144801e-17	1.45575472498072e-16
Gpc1	4491.62454795138	-5.06147363588766	0.0972245130457069	0	0
Sgms2	1160.84573364539	-5.04454532872872	0.18821621712665	3.12809827450491e-160	2.11577009466178e-158
Hp	5772.31768592608	-5.03791964995163	0.0875278531919391	0	0
Prom1	747.608609818088	-5.02846101604911	0.229167758807581	1.03489064277423e-108	4.17185115915148e-107
Cracr2b	178.393904931465	-5.0114990492911	1.38330481487781	2.72531447041606e-06	7.56839879659769e-06
Hk3	7409.63927718857	-4.97803823978467	0.0774418010969443	0	0
Tshr	64.6103166878323	-4.9435883730262	0.849109299592622	6.44645444029716e-11	2.71375805552693e-10
Rnd1	47.7555157540875	-4.94227463205708	1.05935599517366	3.41361582061144e-08	1.12905875418845e-07
Olr1	282.442910746799	-4.92462046101722	0.394330150528709	8.4157934356789e-38	1.11892303752997e-36
I830127L07Rik	1342.41213633911	-4.9056563685232	0.169998914463721	3.89983013530681e-185	3.27520734196851e-183
Igsf6	2606.27984704907	-4.88714285334798	0.122727690253659	0	0
Lbp	2077.71358315007	-4.83066819804737	0.13643741760064	1.2736757715371e-276	1.68896110862511e-274
Gda	1078.33337595807	-4.82735873986333	0.18584493639264	8.66815735725885e-151	5.39244999052189e-149
Hsd17b1	92.4791018961302	-4.81616238043393	0.668476174157178	6.11633586395644e-15	3.41498242864006e-14
Dram1	647.798923928354	-4.81106252763654	0.238693157709086	2.20245835195002e-92	7.30143923386588e-91
Slc22a4	225.113260373908	-4.78360431573067	0.412351070407986	3.90412649136206e-33	4.61805009154306e-32
Abcd2	1078.35343085068	-4.76907534320443	0.190892528005136	8.48356581339396e-140	4.83036024109516e-138
Mmp28	143.26937140649	-4.75342070217948	0.517231511005776	3.90095885034072e-22	3.1425949875087e-21
Scnn1a	290.22992096049	-4.70728635892945	0.365734836537082	6.20512740475082e-40	8.80778506832096e-39
Chst13	859.518049634856	-4.639616085298	0.202971977911625	1.09660434905183e-117	4.76361147833807e-116
Gstm1	5956.44167042254	-4.59733230149877	0.0802215083406051	0	0
0610040J01Rik	244.459573531744	-4.56739766276601	0.378035931021467	1.28908480869776e-35	1.63413794994415e-34
Mmp19	112.343356849086	-4.53249110832497	0.577966057523671	4.84381514557695e-17	3.02828592041715e-16
Mgam	84.5114383276662	-4.51404113156571	0.673520148258695	2.36943955777604e-13	1.18920377805114e-12
Far2	753.936415435977	-4.50248976373478	0.216747019985064	7.22455205414327e-98	2.5106564000571e-96
Selp	50.1180047657787	-4.45030782415787	0.92888011843058	2.02094328034994e-08	6.82771249727344e-08
Fcgr3	3753.73757217694	-4.40130476420295	0.0956108855726688	0	0
Rhou	140.078800688516	-4.39634751707676	0.49667972453648	9.85936136216945e-21	7.36565187605216e-20
Clec7a	672.997479266479	-4.3426909225839	0.22141004933687	1.24438763013119e-87	3.84691366149146e-86
Alas1	14033.3983728034	-4.32997851114188	0.0535858411567899	0	0
B4galt6	587.116537617374	-4.30207061224957	0.241233471852853	4.26179842874502e-73	1.09567358583909e-71
Bmx	109.972983478183	-4.30104448674183	0.575622228739627	1.01008193962227e-15	5.91837545785655e-15
Ttc39c	323.979735194674	-4.29400571517221	0.355025806779712	1.30320446139324e-35	1.64996162838204e-34
Gatm	4651.30623254736	-4.28652605685423	0.0850655758151743	0	0
Itga1	304.981294022682	-4.23782740567165	0.336433837246712	2.68888705817952e-38	3.64228545327059e-37
F630028O10Rik	239.239244658208	-4.20581173641907	0.375644978626641	5.44125759089295e-31	5.96054282619774e-30
Clec4a2	439.68226927686	-4.18015533332357	0.298261312266312	1.60599349759968e-46	2.64896930749748e-45
Cebpe	736.902290761581	-4.15553619247767	0.202809208298961	3.36397306302965e-95	1.13765505131587e-93
Fgl2	2069.9802421583	-4.133962917147	0.123411663198652	6.73871719804451e-248	7.98974022610501e-246
Ptpru	118.148470789212	-4.11352421452235	0.516965072387777	2.64883451373595e-17	1.67366484197059e-16
