gene_symbol	baseMean	log2FoldChange	lfcSE	pvalue	padj
Gnai3	7421.04993207112	0.028719529819452	0.053325052473326	0.505097620847361	0.816096993501624
Cdc45	2625.35995680838	-0.058302210813771	0.075630607440451	0.202044804812351	0.605653164656206
Scml2	182.551570479162	0.066589248963613	0.125606139700071	0.060021103411973	0.381056955152338
Narf	1592.40862276811	0.03362025465974	0.078240342586261	0.441747991368884	0.782567797591115
Cav2	354.237220396957	-0.012659391799048	0.098948007557364	0.66052828927826	0.891743169092193
Klf6	5416.29499951489	0.004025912665615	0.111534350240297	0.777438671852932	0.935396454265781
Scmh1	1073.22630718453	0.02754217063129	0.077156889744992	0.529636383864686	0.828801407495246
Cox5a	7465.41958252584	-0.132226636394094	0.068391136243546	0.005883210476109	0.135696483335674
Fer	289.991387030336	0.045126513532175	0.109304045753505	0.167100466536788	0.564219029203476
Xpo6	2736.99752242574	-0.059219706950777	0.099704522149193	0.138195699316172	0.531711282419063
Tfe3	870.452214733825	0.112436530902162	0.100079015346637	0.023119703020789	0.253564675732729
Brat1	1886.26963039869	0.075854384417623	0.094468292161861	0.087175846454587	0.446738824327678
Gna12	562.619096451252	-0.194171300796576	0.165016943682537	0.002556373369504	0.096689217684705
Slc22a18	338.363583142482	0.023782922445407	0.092051991166122	0.504783012122718	0.816044984350033
Dlat	3733.38677897175	0.118269555201611	0.07555866679317	0.015498694225042	0.209834652901732
Sdhd	11218.149661676	-0.026830508304044	0.050909059202275	0.523559655074069	0.82637352987529
Ccnd2	22059.8563100152	-0.131684096724368	0.085691674874749	0.009452418024827	0.162134433440662
Gpr107	894.909290969696	0.076040180041783	0.098051048050352	0.082615344366078	0.439437953849491
Tspan32	12956.0757245865	0.095891113933073	0.052237149990842	0.024678873110539	0.26107649974833
Gmpr	2328.18941695664	0.05021283433258	0.061928770225205	0.270740930485272	0.665328841631524
Trim25	2468.72860495391	0.01980589399713	0.075565310654655	0.653639823208169	0.888975404847615
Dgke	569.882421960826	0.015305325019867	0.088557834055964	0.678410456755918	0.90154126146664
Scpep1	1789.52441910886	-0.054987854596511	0.078164454730809	0.222112840409398	0.624555954636911
Mnt	427.233973392129	0.281735511604267	0.207386161851322	0.000561449090317	0.044977671697561
Itgb2	1688.93404314996	0.028097554098463	0.084270840881046	0.489692375334198	0.810382337555869
Hddc2	2442.10646756944	-0.025375038235609	0.07204562680913	0.574576713108743	0.850164674438451
Pemt	286.995365088833	-0.017112460599386	0.090015044310077	0.635402401397984	0.879050416864556
Clec10a	522.852024579577	0.016646852412	0.094752688356848	0.610584954022792	0.867595750537424
Arvcf	415.875386639926	0.006685467320999	0.092064610084021	0.84252104427818	0.956679738643618
Comt	4912.35393768177	0.033141877594836	0.066476840581288	0.469756392825397	0.799006316974948
Rtca	1768.12582217682	-0.061099024971387	0.064564985953337	0.184785622732405	0.58399630795727
Dbt	787.092273669486	-0.122979896932936	0.109188733863937	0.015903894258714	0.209883210596055
Dazap2	30031.1565494135	0.004941743778097	0.062617548200419	0.913495688925518	0.976424400722878
Mcts1	2175.87656938723	-0.047153298213711	0.072685225421029	0.301738773731073	0.691010881471774
Rnf17	89.8568177870543	-0.047211326022594	0.133425494646867	0.04500334550999	NA
Trappc10	417.536240391977	-0.027043068991641	0.095842761906724	0.425697829598386	0.775534198151726
Ccm2	4317.72124313785	-0.071184905269383	0.07109206720241	0.126769777738727	0.516366998022281
Tbrg4	3287.30454670252	0.044395711868258	0.070050687388018	0.333235645492148	0.715448786400515
Mx1	119.459320462669	-0.043264148881342	0.116370354677757	0.133829750374691	NA
Ndufa9	7853.65695006346	-0.080834549117195	0.058870833085608	0.073050625816678	0.413834764789116
Lck	3315.23417065594	-0.068129931377827	0.076013119231943	0.140336795897397	0.534086463656074
Galnt1	2389.72743176217	-0.057924706099321	0.092648445930048	0.163876756888776	0.560300903827768
Mkrn2	1857.76571824785	0.027556329383079	0.065053872531002	0.547078016691168	0.837320168466259
Raf1	2607.34295082131	0.078390337297247	0.075953483538576	0.093987467814156	0.457400880634711
Sept1	10169.2099024	-0.019710940414241	0.069301846347478	0.665295403821593	0.895375825172412
Grasp	376.936091119613	-0.004394749817878	0.10213667963191	0.859803352231696	0.962925643056363
Acvr1b	1648.71111734379	0.021144214135239	0.085738020868674	0.59001806958248	0.85686697495745
Tom1l2	549.095625705408	0.063046994439892	0.111114442806681	0.096909597370612	0.464632620053961
Zfp385a	1032.87766535994	0.03925793551987	0.08320941797304	0.352315215493145	0.727602970230065
Itga5	1048.22631724406	0.174683221860095	0.123466726833825	0.002915510486686	0.099911198710949
Wdr77	3291.52871647979	-0.053578897497258	0.06853725428231	0.24567987620974	0.644194113745048
Atp5f1	12972.6540260959	-0.074470482546839	0.048897371700511	0.070041201943821	0.406705912620452
Hnrnpd	1391.95627363634	-0.052611058031982	0.095866741392873	0.184057134228027	0.583478033961399
Dynlt1c	246.281806090771	0.001405815889904	0.08810898285357	0.96931330119316	0.992172745020559
C1d	4853.46870275952	0.008984938940885	0.066734175165593	0.844076779534421	0.957173060009051
Gm2a	20421.742473231	-0.054708564007814	0.064627038008162	0.234288327170688	0.633454268963035
Krit1	2845.68760832371	0.044325594861835	0.078288581828656	0.317112728488968	0.702846113948905
Clcn4	3223.75398348308	0.002944256149905	0.065026752648302	0.948595990510218	0.985167457552941
Hk2	1220.83717113108	-0.035962337365974	0.086527484527826	0.373482881239977	0.740713790847381
Myo18a	1951.22456303993	0.015752825189739	0.079620490232605	0.709828909719403	0.912464346963157
Haao	1988.13558333014	-0.03194479005557	0.069909304127309	0.484080281847708	0.807341168959988
Cd52	4969.43675636346	0.014856428269082	0.082006648502251	0.717360775037236	0.916260156149039
Abhd15	1482.57026502866	0.062716018536525	0.078939994665691	0.167554103895428	0.564927578682261
Loxl3	135.869908415266	-0.035560033315793	0.108320548429398	0.228883777258477	NA
Kat2b	340.489422572983	-0.067392340008238	0.114985074040433	0.078926953953686	0.431456340336779
Rab5b	2447.86092165883	0.151568276506982	0.079341553127717	0.002853753396377	0.099692931510252
Aire	126.381509685212	0.039513930205134	0.121158066997191	0.109025959162755	NA
Icosl	336.712296251479	0.072234424540487	0.116737372482933	0.06708401868164	0.400522875783389
Spg7	1276.02593621212	-0.027225296794061	0.105647316174666	0.330541823359728	0.712612762860149
Rpl13	73468.1183114165	-0.048659494052033	0.056460276220236	0.271400546310705	0.665886974187674
Chmp1a	5517.5679980137	0.059679960299115	0.065320402750049	0.1957567291938	0.598610103432883
Rpa1	13869.8860792456	0.027076032764567	0.047199764402527	0.500798021520651	0.814938264310195
Serpinf1	6640.13189204505	-0.129901329873442	0.106779865159716	0.012366175961802	0.187351979474634
Tubgcp3	2505.68425703331	0.136587612761838	0.092341286423578	0.008324096127905	0.15262609315557
Polr3d	1246.98838825726	0.019858048747644	0.075246465148838	0.653579058344616	0.888975404847615
Tcf7	231.466385226337	-0.008242228131834	0.112669498524123	0.555636329934075	0.84105878645488
Ddx3x	3454.65435411372	-0.041738738366793	0.081195712718251	0.333836639115605	0.715448786400515
Il12rb1	616.689503343473	0.035401484956726	0.097725910693677	0.310038333892902	0.697352641845379
Usp32	294.851693919906	0.002459014174306	0.089776494561006	0.944439951257261	0.984381557453891
Txnrd3	957.651289424471	0.075352835056778	0.097356636759051	0.085321094067074	0.443228665600922
Zfp512b	1980.62979633434	-0.006791377456111	0.076488451713267	0.876146866474951	0.966638240626652
Dnajc5	3662.42316208606	0.007112923803072	0.055487872626205	0.871182928834236	0.965394823173816
Tpd52l2	5910.94153934253	0.034374776338317	0.057353630774052	0.439611188952988	0.781758004622078
Fmr1	1338.12154934602	-0.040366570449612	0.091581804411415	0.298069650748887	0.688022452026543
Bcl11a	5538.1770660274	0.090191936976956	0.067239348001819	0.054552640020998	0.364983429305327
Pxmp4	1545.2491521883	0.032281996191741	0.070645040441982	0.478663471755237	0.804004256238709
Gnb1l	785.567983959623	0.035745684001433	0.08172993284737	0.400303692495259	0.758448683686352
Mmp11	264.359704144081	0.0551962999312	0.122361040188178	0.082239919777079	0.438454155417023
Smarcb1	7550.84979707638	-0.051788189102036	0.058968337000556	0.249509405543639	0.646824548912316
Hip1r	1786.56041282085	0.247955504538007	0.159477922649469	0.000600947308537	0.046184568153146
Nsun5	2048.23671524393	-0.045317803001144	0.07288799955744	0.319969980980089	0.70495915708345
Top1mt	1242.64105099104	-0.076882360612576	0.076254102743579	0.099724122345551	0.467826089208125
