gene_symbol	baseMean	log2FoldChange	lfcSE	pvalue	padj
Gzmb	69.471917685144	8.3227018547007	1.51167812968458	2.34E-13	1.45E-11
Cma1	51.8410820095588	7.82142769717315	1.60524175099562	1.26E-11	6.53E-10
Slc45a3	62.3972518385068	6.22848249286811	1.23842600429289	1.99E-10	8.79E-09
Fgf3	506.831033388117	5.67889610842038	0.258626575321197	9.34E-109	5.52E-105
Mefv	84.2163521332186	5.44596749459136	0.887788643473384	8.56E-12	4.47E-10
Cpa3	3756.26984253811	5.23442781801328	0.413339904714704	3.32E-38	1.26E-35
Tcrg-C4	46.1663979789441	5.0913966297497	0.932862593949874	9.98E-10	4.01E-08
Ms4a3	1804.74081592793	4.5768801234915	0.506419130422693	1.51E-20	1.92E-18
Cldn15	213.260668565809	4.46803122522602	0.837633534249937	5.53E-09	1.94E-07
Elane	20532.6456404748	4.36189109809734	0.509102743628969	1.24E-18	1.32E-16
Trbc1	147.895129989902	4.1535010500608	0.468586384494652	1.12E-19	1.30E-17
Slc7a8	814.327536387917	4.06526784442498	0.261630494033919	3.45E-55	2.26E-52
Sox6	656.117254059063	3.98229305507688	0.541042196072423	2.57E-14	1.80E-12
Trem3	362.871157110197	3.97667226312542	0.439636694885435	2.46E-20	3.02E-18
Zbtb16	294.768994048945	3.91697496524718	0.43451797415158	3.34E-20	4.03E-18
Chst13	85.2070566404068	3.86163986017476	0.677180392552733	1.16E-09	4.58E-08
Mrgpra2b	44.9703308924289	3.8258538583457	0.673447577534171	1.31E-09	5.10E-08
Mfsd2b	150.468512465868	3.80654163116128	1.0727281011913	4.70E-06	9.38E-05
Prg2	349.331855119392	3.74902142174734	1.01436687897395	3.49E-06	7.19E-05
Tcrg-C2	68.926573102893	3.71525581221381	0.823133011185574	3.06E-07	7.95E-06
Alox5	157.989535667787	3.69362932249884	1.33763859490316	2.03E-05	0.000354041186863
Cd200r4	66.2343700023723	3.64224425083923	0.942031079719655	2.38E-06	5.10E-05
Dmkn	79.9091788563827	3.60430743926381	0.589744105919697	1.09E-10	4.97E-09
Phldb2	186.251487334522	3.59973733857648	0.416746721613673	9.84E-19	1.07E-16
Apoe	7657.20304125128	3.55505113556467	0.176441992386567	6.45E-91	1.27E-87
Gda	120.320531551578	3.49326349141936	0.654544310185079	7.53E-09	2.57E-07
Cebpe	360.215135369904	3.47949290198399	0.366498254049563	3.96E-22	5.99E-20
F10	67.1374373220018	3.46932767945568	0.89825307582349	2.49E-06	5.30E-05
