ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0007159	leukocyte cell-cell adhesion	11/110	352/21351	2.08163034807164e-06	0.00247245216092956	0.00203158176371355	ENSMUSG00000028076/ENSMUSG00000026012/ENSMUSG00000020125/ENSMUSG00000027009/ENSMUSG00000020717/ENSMUSG00000036006/ENSMUSG00000056054/ENSMUSG00000056071/ENSMUSG00000025880/ENSMUSG00000021457/ENSMUSG00000040152	11
GO:0051897	positive regulation of protein kinase B signaling	7/110	117/21351	2.47316277711502e-06	0.00247245216092956	0.00203158176371355	ENSMUSG00000022309/ENSMUSG00000026012/ENSMUSG00000021360/ENSMUSG00000005533/ENSMUSG00000020189/ENSMUSG00000022114/ENSMUSG00000040152	7
GO:0051896	regulation of protein kinase B signaling	8/110	175/21351	3.49216406910954e-06	0.00247245216092956	0.00203158176371355	ENSMUSG00000022309/ENSMUSG00000026012/ENSMUSG00000021360/ENSMUSG00000005533/ENSMUSG00000020189/ENSMUSG00000038332/ENSMUSG00000022114/ENSMUSG00000040152	8
GO:0001818	negative regulation of cytokine production	9/110	270/21351	1.10399983361998e-05	0.00509068502971707	0.00418294963785851	ENSMUSG00000022309/ENSMUSG00000029994/ENSMUSG00000020125/ENSMUSG00000004698/ENSMUSG00000026288/ENSMUSG00000020275/ENSMUSG00000044734/ENSMUSG00000025880/ENSMUSG00000040152	9
GO:0043491	protein kinase B signaling	8/110	207/21351	1.19837218213679e-05	0.00509068502971707	0.00418294963785851	ENSMUSG00000022309/ENSMUSG00000026012/ENSMUSG00000021360/ENSMUSG00000005533/ENSMUSG00000020189/ENSMUSG00000038332/ENSMUSG00000022114/ENSMUSG00000040152	8
GO:0045785	positive regulation of cell adhesion	11/110	442/21351	1.79060098880261e-05	0.00633872750036123	0.00520844989374513	ENSMUSG00000022309/ENSMUSG00000028076/ENSMUSG00000026012/ENSMUSG00000020125/ENSMUSG00000021360/ENSMUSG00000027009/ENSMUSG00000025880/ENSMUSG00000018209/ENSMUSG00000041488/ENSMUSG00000021457/ENSMUSG00000040152	11
GO:0002443	leukocyte mediated immunity	11/110	456/21351	2.38587094162403e-05	0.00723941411429921	0.00594853236272579	ENSMUSG00000014453/ENSMUSG00000028076/ENSMUSG00000026012/ENSMUSG00000020125/ENSMUSG00000076609/ENSMUSG00000026288/ENSMUSG00000030165/ENSMUSG00000008496/ENSMUSG00000025880/ENSMUSG00000029254/ENSMUSG00000021457	11
GO:0002691	regulation of cellular extravasation	4/110	38/21351	4.30102280004398e-05	0.0114192155341168	0.00938302079272752	ENSMUSG00000020125/ENSMUSG00000027009/ENSMUSG00000020717/ENSMUSG00000036006	4
GO:0018119	peptidyl-cysteine S-nitrosylation	3/110	15/21351	5.78703592625313e-05	0.0129641372783036	0.0106524628840457	ENSMUSG00000038473/ENSMUSG00000056054/ENSMUSG00000056071	3
GO:0002683	negative regulation of immune system process	10/110	418/21351	6.10364278639528e-05	0.0129641372783036	0.0106524628840457	ENSMUSG00000022309/ENSMUSG00000014453/ENSMUSG00000041538/ENSMUSG00000026288/ENSMUSG00000030165/ENSMUSG00000036006/ENSMUSG00000022876/ENSMUSG00000025880/ENSMUSG00000029254/ENSMUSG00000040152	10
