ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0022613	ribonucleoprotein complex biogenesis	26/191	407/21351	4.15271239939075e-15	1.16608164174892e-11	9.34578853673414e-12	ENSMUSG00000022557/ENSMUSG00000027613/ENSMUSG00000061286/ENSMUSG00000046865/ENSMUSG00000020706/ENSMUSG00000037275/ENSMUSG00000016503/ENSMUSG00000057421/ENSMUSG00000007050/ENSMUSG00000067367/ENSMUSG00000046756/ENSMUSG00000026234/ENSMUSG00000001056/ENSMUSG00000026377/ENSMUSG00000027405/ENSMUSG00000057113/ENSMUSG00000056209/ENSMUSG00000025364/ENSMUSG00000004100/ENSMUSG00000008373/ENSMUSG00000029430/ENSMUSG00000049950/ENSMUSG00000002477/ENSMUSG00000004865/ENSMUSG00000035754/ENSMUSG00000041057	26
GO:0042254	ribosome biogenesis	21/191	292/21351	2.16371406436738e-13	3.0378545463718e-10	2.4347477208513e-10	ENSMUSG00000022557/ENSMUSG00000027613/ENSMUSG00000061286/ENSMUSG00000046865/ENSMUSG00000020706/ENSMUSG00000016503/ENSMUSG00000057421/ENSMUSG00000067367/ENSMUSG00000046756/ENSMUSG00000026234/ENSMUSG00000001056/ENSMUSG00000026377/ENSMUSG00000027405/ENSMUSG00000057113/ENSMUSG00000056209/ENSMUSG00000025364/ENSMUSG00000004100/ENSMUSG00000029430/ENSMUSG00000049950/ENSMUSG00000035754/ENSMUSG00000041057	21
GO:0006364	rRNA processing	16/191	207/21351	6.0328930813607e-11	4.64874074287721e-08	3.72582385225352e-08	ENSMUSG00000022557/ENSMUSG00000027613/ENSMUSG00000061286/ENSMUSG00000046865/ENSMUSG00000020706/ENSMUSG00000057421/ENSMUSG00000067367/ENSMUSG00000026234/ENSMUSG00000001056/ENSMUSG00000026377/ENSMUSG00000057113/ENSMUSG00000056209/ENSMUSG00000025364/ENSMUSG00000049950/ENSMUSG00000035754/ENSMUSG00000041057	16
GO:0009117	nucleotide metabolic process	22/191	437/21351	6.6221378103664e-11	4.64874074287721e-08	3.72582385225352e-08	ENSMUSG00000022407/ENSMUSG00000006589/ENSMUSG00000003072/ENSMUSG00000031562/ENSMUSG00000042462/ENSMUSG00000031730/ENSMUSG00000040658/ENSMUSG00000027203/ENSMUSG00000027613/ENSMUSG00000063524/ENSMUSG00000020766/ENSMUSG00000057666/ENSMUSG00000029777/ENSMUSG00000022962/ENSMUSG00000000628/ENSMUSG00000031948/ENSMUSG00000037601/ENSMUSG00000028964/ENSMUSG00000032294/ENSMUSG00000115338/ENSMUSG00000029430/ENSMUSG00000026558	22
GO:0006753	nucleoside phosphate metabolic process	22/191	445/21351	9.37228964320879e-11	5.26347786362605e-08	4.2185168962485e-08	ENSMUSG00000022407/ENSMUSG00000006589/ENSMUSG00000003072/ENSMUSG00000031562/ENSMUSG00000042462/ENSMUSG00000031730/ENSMUSG00000040658/ENSMUSG00000027203/ENSMUSG00000027613/ENSMUSG00000063524/ENSMUSG00000020766/ENSMUSG00000057666/ENSMUSG00000029777/ENSMUSG00000022962/ENSMUSG00000000628/ENSMUSG00000031948/ENSMUSG00000037601/ENSMUSG00000028964/ENSMUSG00000032294/ENSMUSG00000115338/ENSMUSG00000029430/ENSMUSG00000026558	22
GO:0016072	rRNA metabolic process	16/191	216/21351	1.14002370722354e-10	5.33531094980618e-08	4.2760889228841e-08	ENSMUSG00000022557/ENSMUSG00000027613/ENSMUSG00000061286/ENSMUSG00000046865/ENSMUSG00000020706/ENSMUSG00000057421/ENSMUSG00000067367/ENSMUSG00000026234/ENSMUSG00000001056/ENSMUSG00000026377/ENSMUSG00000057113/ENSMUSG00000056209/ENSMUSG00000025364/ENSMUSG00000049950/ENSMUSG00000035754/ENSMUSG00000041057	16
GO:0034470	ncRNA processing	19/191	355/21351	5.15194552244349e-10	2.06666614671733e-07	1.65636985368183e-07	ENSMUSG00000022557/ENSMUSG00000037149/ENSMUSG00000027613/ENSMUSG00000061286/ENSMUSG00000046865/ENSMUSG00000020706/ENSMUSG00000057421/ENSMUSG00000067367/ENSMUSG00000026234/ENSMUSG00000001056/ENSMUSG00000026377/ENSMUSG00000057113/ENSMUSG00000056209/ENSMUSG00000006289/ENSMUSG00000025364/ENSMUSG00000038628/ENSMUSG00000049950/ENSMUSG00000035754/ENSMUSG00000041057	19
GO:0034660	ncRNA metabolic process	21/191	445/21351	5.98767535109017e-10	2.10167404823265e-07	1.68442761850405e-07	ENSMUSG00000022557/ENSMUSG00000037149/ENSMUSG00000027613/ENSMUSG00000061286/ENSMUSG00000046865/ENSMUSG00000020706/ENSMUSG00000029777/ENSMUSG00000031948/ENSMUSG00000057421/ENSMUSG00000067367/ENSMUSG00000026234/ENSMUSG00000001056/ENSMUSG00000026377/ENSMUSG00000057113/ENSMUSG00000056209/ENSMUSG00000006289/ENSMUSG00000025364/ENSMUSG00000038628/ENSMUSG00000049950/ENSMUSG00000035754/ENSMUSG00000041057	21
GO:0055086	nucleobase-containing small molecule metabolic process	22/191	496/21351	7.27433832433065e-10	2.26959355719116e-07	1.81900998098467e-07	ENSMUSG00000022407/ENSMUSG00000006589/ENSMUSG00000003072/ENSMUSG00000031562/ENSMUSG00000042462/ENSMUSG00000031730/ENSMUSG00000040658/ENSMUSG00000027203/ENSMUSG00000027613/ENSMUSG00000063524/ENSMUSG00000020766/ENSMUSG00000057666/ENSMUSG00000029777/ENSMUSG00000022962/ENSMUSG00000000628/ENSMUSG00000031948/ENSMUSG00000037601/ENSMUSG00000028964/ENSMUSG00000032294/ENSMUSG00000115338/ENSMUSG00000029430/ENSMUSG00000026558	22
GO:0006091	generation of precursor metabolites and energy	19/191	405/21351	4.54628515647204e-09	1.27659687193735e-06	1.02315343837234e-06	ENSMUSG00000022407/ENSMUSG00000003072/ENSMUSG00000003873/ENSMUSG00000070493/ENSMUSG00000009876/ENSMUSG00000022551/ENSMUSG00000063694/ENSMUSG00000027613/ENSMUSG00000063524/ENSMUSG00000020766/ENSMUSG00000057666/ENSMUSG00000000628/ENSMUSG00000032279/ENSMUSG00000063229/ENSMUSG00000025204/ENSMUSG00000059734/ENSMUSG00000028964/ENSMUSG00000004264/ENSMUSG00000032294	19
GO:0000470	maturation of LSU-rRNA	7/191	30/21351	7.02429557098148e-09	1.79311108757418e-06	1.43712382112521e-06	ENSMUSG00000022557/ENSMUSG00000027613/ENSMUSG00000020706/ENSMUSG00000057421/ENSMUSG00000001056/ENSMUSG00000026377/ENSMUSG00000057113	7
GO:0046034	ATP metabolic process	15/191	255/21351	1.04798264660179e-08	2.45227939304819e-06	1.96542710389002e-06	ENSMUSG00000003072/ENSMUSG00000070493/ENSMUSG00000009876/ENSMUSG00000022551/ENSMUSG00000063694/ENSMUSG00000027613/ENSMUSG00000063524/ENSMUSG00000020766/ENSMUSG00000057666/ENSMUSG00000000628/ENSMUSG00000063229/ENSMUSG00000025204/ENSMUSG00000059734/ENSMUSG00000028964/ENSMUSG00000032294	15
GO:0042273	ribosomal large subunit biogenesis	9/191	71/21351	1.40267561260423e-08	3.02977932322513e-06	2.42827567590918e-06	ENSMUSG00000022557/ENSMUSG00000027613/ENSMUSG00000020706/ENSMUSG00000016503/ENSMUSG00000057421/ENSMUSG00000001056/ENSMUSG00000026377/ENSMUSG00000057113/ENSMUSG00000004100	9
GO:0034248	regulation of cellular amide metabolic process	18/191	407/21351	2.92221570649366e-08	5.861129788453e-06	4.69751667705522e-06	ENSMUSG00000003814/ENSMUSG00000006728/ENSMUSG00000022037/ENSMUSG00000056076/ENSMUSG00000026254/ENSMUSG00000078812/ENSMUSG00000027613/ENSMUSG00000057666/ENSMUSG00000037275/ENSMUSG00000037331/ENSMUSG00000028609/ENSMUSG00000026234/ENSMUSG00000057113/ENSMUSG00000025364/ENSMUSG00000032294/ENSMUSG00000079037/ENSMUSG00000031167/ENSMUSG00000040521	18
GO:0009165	nucleotide biosynthetic process	13/191	202/21351	3.60502514782049e-08	6.74860707671995e-06	5.40880264283523e-06	ENSMUSG00000022407/ENSMUSG00000006589/ENSMUSG00000003072/ENSMUSG00000031562/ENSMUSG00000031730/ENSMUSG00000027203/ENSMUSG00000029777/ENSMUSG00000022962/ENSMUSG00000031948/ENSMUSG00000037601/ENSMUSG00000032294/ENSMUSG00000115338/ENSMUSG00000026558	13
GO:1901293	nucleoside phosphate biosynthetic process	13/191	206/21351	4.54467848551792e-08	7.64881940198895e-06	6.13029535217138e-06	ENSMUSG00000022407/ENSMUSG00000006589/ENSMUSG00000003072/ENSMUSG00000031562/ENSMUSG00000031730/ENSMUSG00000027203/ENSMUSG00000029777/ENSMUSG00000022962/ENSMUSG00000031948/ENSMUSG00000037601/ENSMUSG00000032294/ENSMUSG00000115338/ENSMUSG00000026558	13
GO:0009123	nucleoside monophosphate metabolic process	8/191	58/21351	4.63069550690214e-08	7.64881940198895e-06	6.13029535217138e-06	ENSMUSG00000022407/ENSMUSG00000006589/ENSMUSG00000031562/ENSMUSG00000040658/ENSMUSG00000027203/ENSMUSG00000022962/ENSMUSG00000115338/ENSMUSG00000026558	8
