	24h_1	24h_2	72h_1	72h_2	proB_1	proB_2
ENSMUSG00000000001.4	7180	7065	7643	7013	8022	6699
ENSMUSG00000000003.15	0	0	0	0	0	0
ENSMUSG00000000028.14	3315	3203	3960	3413	3375	2939
ENSMUSG00000000031.15	42620	45771	20921	23566	19950	23045
ENSMUSG00000000037.16	1	1	0	0	0	0
ENSMUSG00000000049.11	0	1	0	0	0	0
ENSMUSG00000000056.7	2042	2398	1942	1816	2670	2035
ENSMUSG00000000058.6	14	13	47	21	157	125
ENSMUSG00000000078.6	822	792	1408	906	1940	1650
ENSMUSG00000000085.16	727	713	684	623	1305	1057
ENSMUSG00000000088.6	7230	6566	8664	7281	8035	7138
ENSMUSG00000000093.6	5	8	5	11	3	4
ENSMUSG00000000094.12	0	1	2	0	0	0
ENSMUSG00000000103.12	0	0	0	0	0	0
ENSMUSG00000000120.6	32	28	146	64	34	14
ENSMUSG00000000125.5	0	0	0	0	0	0
ENSMUSG00000000126.11	48	58	36	72	7	12
ENSMUSG00000000127.14	159	151	181	122	105	75
ENSMUSG00000000131.15	5889	5878	6452	6277	6143	5341
ENSMUSG00000000134.17	1206	1202	1274	1193	1146	935
ENSMUSG00000000142.15	16	14	5	19	18	12
ENSMUSG00000000148.17	1056	1110	962	1052	806	708
ENSMUSG00000000149.10	2832	2980	3228	3150	1768	1611
ENSMUSG00000000154.16	6	9	11	13	4	2
ENSMUSG00000000157.15	0	0	1	0	1	0
ENSMUSG00000000159.15	122	84	56	32	98	57
ENSMUSG00000000167.14	56	72	75	70	25	34
ENSMUSG00000000168.9	2913	2791	3420	3139	2354	2095
ENSMUSG00000000171.4	8469	7752	9292	8246	5332	4706
ENSMUSG00000000182.9	0	0	0	0	1	0
ENSMUSG00000000183.6	0	0	0	0	0	0
ENSMUSG00000000184.12	23499	20655	24629	18167	15719	12001
ENSMUSG00000000194.13	1212	1357	1014	1164	1194	993
ENSMUSG00000000197.7	0	0	0	0	0	0
ENSMUSG00000000202.9	16	27	1	2	0	1
ENSMUSG00000000204.15	0	1	8	3	0	0
ENSMUSG00000000214.11	0	0	0	0	0	1
ENSMUSG00000000215.10	0	0	0	0	0	0
ENSMUSG00000000216.8	0	0	0	0	0	0
ENSMUSG00000000223.13	61	44	73	56	82	71
ENSMUSG00000000244.17	1548	1658	1464	1388	1457	1266
ENSMUSG00000000247.11	3	5	5	7	61	54
ENSMUSG00000000248.16	0	1	3	0	0	0
ENSMUSG00000000253.12	520	438	559	424	1037	694
ENSMUSG00000000263.15	0	0	0	0	0	0
ENSMUSG00000000266.11	0	0	5	0	11	0
ENSMUSG00000000275.16	7734	7384	6307	7047	4916	4408
ENSMUSG00000000276.11	1119	1294	1379	1592	1786	1382
ENSMUSG00000000278.10	2717	2648	3279	2585	2442	2199
ENSMUSG00000000282.12	2382	2661	2203	2130	1599	1397
ENSMUSG00000000290.13	2677	2546	2702	2345	1532	1297
ENSMUSG00000000295.12	1099	996	1199	1098	1177	1034
ENSMUSG00000000296.7	0	0	3	0	0	0
ENSMUSG00000000301.16	157	126	190	167	146	121
ENSMUSG00000000303.12	578	674	136	300	3	21
ENSMUSG00000000305.12	0	0	0	0	0	0
ENSMUSG00000000308.14	0	2	11	15	18	43
ENSMUSG00000000317.11	2	0	0	0	5	6
ENSMUSG00000000318.16	3	3	9	17	0	0
ENSMUSG00000000320.10	0	0	0	0	0	1
ENSMUSG00000000325.15	2542	2960	1320	1564	1442	966
ENSMUSG00000000326.12	1740	1676	1676	1542	1057	986
ENSMUSG00000000339.14	1962	1823	2407	1952	1656	1428
ENSMUSG00000000340.10	1291	1110	1299	1087	861	749
ENSMUSG00000000346.8	11359	11197	12231	11174	11118	9036
ENSMUSG00000000355.13	2508	2368	2545	2122	1877	1459
ENSMUSG00000000359.3	0	0	1	0	1	0
ENSMUSG00000000365.8	14	0	18	0	56	0
ENSMUSG00000000374.7	2315	2184	2536	2346	3001	2612
ENSMUSG00000000378.15	1833	1610	2126	1914	3599	2903
ENSMUSG00000000381.10	0	0	0	0	0	0
ENSMUSG00000000384.15	4587	4483	5218	4811	3791	3501
ENSMUSG00000000385.7	8	24	7	20	0	1
ENSMUSG00000000386.14	203	284	116	372	1	2
ENSMUSG00000000392.17	2	0	2	2	8	3
ENSMUSG00000000394.15	0	0	1	0	0	1
ENSMUSG00000000399.10	4136	3830	5074	4279	3844	3398
ENSMUSG00000000402.2	6	1	3	4	123	77
ENSMUSG00000000409.14	4512	5362	2845	4991	2054	2304
ENSMUSG00000000411.7	0	0	0	0	0	0
ENSMUSG00000000416.16	0	0	0	0	0	0
ENSMUSG00000000420.15	4977	4725	5309	5178	3879	3335
ENSMUSG00000000435.1	0	0	0	0	0	0
ENSMUSG00000000439.9	1561	1363	1395	1226	772	684
ENSMUSG00000000440.12	65	45	264	159	12	10
ENSMUSG00000000441.17	4862	4602	5227	4363	5912	4719
