	HSCa	HSCb	HSCc	HSCd	MPP1a	MPP1b	MPP1c	MPP1d	MPP2a	MPP2b	MPP2c	MPP2d	MPP3a	MPP3b	MPP3c	MPP3d	MPP4a	MPP4b	MPP4c	MPP4d
ENSMUSG00000000001.4	1902	2381	3055	1403	2754	1285	2536	1850	1624	1588	1330	1051	2266	3154	1323	1265	1446	1434	1085	1006
ENSMUSG00000000003.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000028.14	114	271	138	209	550	333	384	459	868	408	1139	927	927	868	249	354	462	199	415	593
ENSMUSG00000000031.15	149	532	199	285	34	0	17	12	0	0	27	0	0	0	10	0	0	0	7	6
ENSMUSG00000000037.16	98	89	44	108	143	37	46	65	141	131	131	285	168	168	86	75	147	26	55	36
ENSMUSG00000000049.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000056.7	77	434	398	187	309	110	179	369	330	370	1055	622	178	216	105	298	256	193	236	236
ENSMUSG00000000058.6	79	64	94	79	35	4	16	66	58	18	60	0	36	0	10	31	6	0	0	46
ENSMUSG00000000078.6	1879	2302	1474	1183	1054	1052	1105	709	923	625	729	458	899	550	508	445	782	448	489	738
ENSMUSG00000000085.16	284	537	489	368	871	380	296	181	177	192	522	468	575	370	249	317	421	131	257	321
ENSMUSG00000000088.6	1269	2017	3691	1812	4036	2177	2831	3020	4051	3278	7599	5017	3729	5582	3525	4095	2858	2416	3397	3083
ENSMUSG00000000093.6	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000094.12	14	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000103.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000120.6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000125.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000126.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000127.14	8	188	32	74	311	60	4	150	88	42	64	33	14	37	11	2	79	0	71	16
ENSMUSG00000000131.15	589	1185	1081	809	1069	485	630	893	618	535	1118	832	1225	1031	562	562	631	705	475	747
ENSMUSG00000000134.17	172	178	183	68	145	48	24	216	45	90	233	69	168	162	88	90	107	67	60	170
ENSMUSG00000000142.15	0	0	26	23	31	0	0	13	0	38	0	0	0	1	21	0	0	52	0	2
ENSMUSG00000000148.17	185	281	360	149	220	173	157	223	326	234	139	54	330	99	159	170	289	150	100	217
ENSMUSG00000000149.10	237	250	326	235	404	141	376	249	251	274	224	235	63	497	178	167	102	124	121	121
ENSMUSG00000000154.16	143	115	239	201	119	64	127	171	39	122	49	202	122	54	53	38	103	45	98	39
ENSMUSG00000000157.15	0	0	0	0	0	0	2	0	0	0	6	0	0	0	0	0	0	0	0	0
ENSMUSG00000000159.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000167.14	2	0	0	2	50	15	0	70	0	15	0	0	0	0	26	0	13	8	10	6
ENSMUSG00000000168.9	373	756	601	598	577	164	488	559	492	504	778	543	314	911	405	427	550	340	389	462
ENSMUSG00000000171.4	640	747	541	285	594	419	867	371	696	500	83	39	334	1018	564	173	397	434	90	413
ENSMUSG00000000182.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000183.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000184.12	18444	29035	24067	18217	17791	9025	10419	14909	10573	6519	14458	11438	12288	10635	6000	8144	7276	6447	8344	7067
ENSMUSG00000000194.13	315	516	513	197	267	123	113	150	67	130	280	414	340	391	160	184	69	111	162	173
ENSMUSG00000000197.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000202.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000204.15	0	0	6	0	0	5	0	9	0	11	0	0	0	0	4	0	0	0	0	15
ENSMUSG00000000214.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
