	MPP4_Ebf1_KO1	MPP4_Ebf1_KO2	MPP4_Ebf1_KO3	MPP4_Ebf1_KO4	MPP4_Ebf1_WT1	MPP4_Ebf1_WT2	MPP4_Ebf1_WT3	MPP4_Ebf1_WT4
ENSMUSG00000000001.4	6453	7066	4999	7002	7932	5956	9256	8602
ENSMUSG00000000003.15	0	0	0	0	0	0	0	0
ENSMUSG00000000028.14	2521	2807	2127	3413	3396	2059	3130	3239
ENSMUSG00000000031.15	0	0	0	0	0	0	1	0
ENSMUSG00000000037.16	147	111	146	153	143	261	378	231
ENSMUSG00000000049.11	0	1	0	0	0	0	0	0
ENSMUSG00000000056.7	1586	1321	1028	1506	2014	1154	2374	1636
ENSMUSG00000000058.6	368	321	201	252	281	137	512	369
ENSMUSG00000000078.6	2648	1954	9247	2681	2203	2228	16941	7357
ENSMUSG00000000085.16	1265	896	818	953	1321	1028	1342	1332
ENSMUSG00000000088.6	7698	9622	5449	7928	8442	5810	8832	8379
ENSMUSG00000000093.6	0	0	0	0	0	0	10	3
ENSMUSG00000000094.12	0	0	0	0	0	0	0	0
ENSMUSG00000000103.12	0	0	0	0	0	0	0	0
ENSMUSG00000000120.6	0	0	0	0	0	0	14	0
ENSMUSG00000000125.5	0	0	0	0	0	0	0	0
ENSMUSG00000000126.11	0	0	0	0	0	0	0	0
ENSMUSG00000000127.14	119	126	167	276	389	123	439	228
ENSMUSG00000000131.15	3051	3281	2849	2736	1905	1767	4327	4066
ENSMUSG00000000134.17	824	744	605	905	1110	940	1476	1109
ENSMUSG00000000142.15	0	0	5	45	0	0	21	18
ENSMUSG00000000148.17	1845	1925	1338	1660	3218	1702	2225	2787
ENSMUSG00000000149.10	683	903	452	528	552	378	668	558
ENSMUSG00000000154.16	237	265	235	255	507	241	286	306
ENSMUSG00000000157.15	0	0	0	0	0	0	0	0
ENSMUSG00000000159.15	0	0	0	0	0	1	0	0
ENSMUSG00000000167.14	67	70	79	119	94	69	125	108
ENSMUSG00000000168.9	2922	3322	2802	3482	4797	3748	5015	4179
ENSMUSG00000000171.4	10273	12186	8303	11283	12676	9108	13581	13964
ENSMUSG00000000182.9	0	0	0	0	0	0	0	0
ENSMUSG00000000183.6	0	0	0	0	0	4	0	0
ENSMUSG00000000184.12	27523	31147	19964	27675	23538	21940	29119	29872
ENSMUSG00000000194.13	634	955	692	807	1162	927	1400	1120
ENSMUSG00000000197.7	0	0	0	0	0	0	0	0
ENSMUSG00000000202.9	0	0	0	0	0	0	0	0
ENSMUSG00000000204.15	6	0	0	0	11	1	0	0
ENSMUSG00000000214.11	0	0	0	0	0	0	0	0
ENSMUSG00000000215.10	0	0	0	0	0	0	0	0
ENSMUSG00000000216.8	0	0	0	0	0	0	0	0
ENSMUSG00000000223.13	4	0	1	0	10	0	18	11
ENSMUSG00000000244.17	10180	11881	8552	11930	15367	10733	16530	13909
ENSMUSG00000000247.11	0	0	0	0	0	0	0	0
ENSMUSG00000000248.16	0	0	0	0	0	0	0	0
ENSMUSG00000000253.12	1647	1850	1315	1844	2165	1638	2566	2188
ENSMUSG00000000263.15	0	0	0	0	0	0	0	0
ENSMUSG00000000266.11	0	3	2	8	2	0	0	29
ENSMUSG00000000275.16	2581	2651	2220	2364	3514	2465	3222	3148
ENSMUSG00000000276.11	855	637	492	460	870	550	953	802
ENSMUSG00000000278.10	2404	2677	1872	2489	2600	1921	2993	2710
ENSMUSG00000000282.12	334	349	325	370	696	444	813	675
ENSMUSG00000000290.13	1650	2169	877	1810	1916	1380	2944	2245
ENSMUSG00000000295.12	2637	2608	1881	2362	2675	1826	3293	3288
ENSMUSG00000000296.7	13	36	0	2	10	8	0	32
ENSMUSG00000000301.16	252	408	195	278	301	174	408	405
ENSMUSG00000000303.12	15	42	17	39	23	0	27	0
ENSMUSG00000000305.12	0	0	0	0	0	0	0	0
ENSMUSG00000000308.14	0	0	0	0	0	0	1	0
ENSMUSG00000000317.11	34	84	34	37	146	8	66	77
ENSMUSG00000000318.16	294	488	278	500	720	424	579	310
ENSMUSG00000000320.10	1	10	1	24	10	4	29	29
ENSMUSG00000000325.15	325	419	348	467	556	358	617	439
ENSMUSG00000000326.12	3991	5568	3724	5459	6111	4417	6827	6338
ENSMUSG00000000339.14	1736	1947	1332	1794	2105	1369	2161	1957
ENSMUSG00000000340.10	617	925	562	944	805	488	864	720
ENSMUSG00000000346.8	26885	29131	21434	30445	30772	22025	42546	37442
ENSMUSG00000000355.13	2451	2427	1512	2238	2515	1685	3051	2382
ENSMUSG00000000359.3	0	8	3	0	7	4	0	0
ENSMUSG00000000365.8	101	50	100	191	18	40	68	125
ENSMUSG00000000374.7	387	594	292	517	512	236	478	662
ENSMUSG00000000378.15	4011	4897	3383	5160	4073	3383	6013	5511
ENSMUSG00000000381.10	0	0	0	0	0	0	0	0
ENSMUSG00000000384.15	3196	3667	2471	2797	3673	2977	4979	4150
ENSMUSG00000000385.7	0	0	0	0	0	0	0	0
ENSMUSG00000000386.14	208	180	210	179	169	178	119	146
ENSMUSG00000000392.17	17	0	0	4	19	0	0	0
ENSMUSG00000000394.15	0	0	0	0	0	0	0	0
ENSMUSG00000000399.10	8057	8775	5676	8071	8739	5913	10052	9030
ENSMUSG00000000402.2	0	0	0	0	0	0	0	0
ENSMUSG00000000409.14	5370	6557	3730	4856	6263	3843	5995	5820
ENSMUSG00000000411.7	0	0	0	0	0	0	0	0
ENSMUSG00000000416.16	0	0	0	0	4	2	0	0
ENSMUSG00000000420.15	2395	2863	2109	2182	1880	1478	3375	3226
ENSMUSG00000000435.1	0	0	0	0	0	0	0	0
ENSMUSG00000000439.9	1920	2004	1363	2006	2323	1537	3051	2333
ENSMUSG00000000440.12	37	11	35	27	14	7	0	6
ENSMUSG00000000441.17	1990	2792	1983	2279	3405	2499	3497	3018
ENSMUSG00000000486.13	11427	14754	9123	11157	13529	9007	17297	15112
ENSMUSG00000000489.6	0	39	3	8	49	12	38	0
ENSMUSG00000000530.16	61	98	21	17	19	40	53	45
ENSMUSG00000000531.4	300	472	472	329	123	257	880	676
ENSMUSG00000000532.10	603	1012	657	1172	1139	825	1382	1095
ENSMUSG00000000538.18	672	361	488	413	674	579	1103	861
ENSMUSG00000000544.14	0	0	4	0	0	0	0	0
ENSMUSG00000000552.9	569	955	551	664	900	678	1113	969
ENSMUSG00000000555.6	761	748	574	720	957	776	1527	1245
ENSMUSG00000000560.9	0	0	0	0	0	0	0	0
ENSMUSG00000000561.14	3601	3472	2046	3376	3522	2668	3901	3665
ENSMUSG00000000562.5	11	8	3	15	8	1	0	0
ENSMUSG00000000563.17	13020	13721	10334	12969	15204	10051	16600	14789
ENSMUSG00000000567.5	0	0	0	0	0	0	0	0
ENSMUSG00000000568.15	1916	1940	784	1168	1614	903	1697	1575
ENSMUSG00000000579.14	240	220	177	272	326	217	332	227
ENSMUSG00000000581.8	4570	4496	3604	4223	5707	3661	6091	5439
ENSMUSG00000000594.7	19568	23223	13802	20660	22270	14380	26800	23614
ENSMUSG00000000600.15	2454	2211	1796	2925	3253	2518	3833	2767
ENSMUSG00000000605.8	2762	3320	2594	3297	3950	2610	4134	3931
ENSMUSG00000000606.15	0	0	0	0	0	0	0	0
ENSMUSG00000000617.14	0	0	0	0	2	0	0	0
ENSMUSG00000000627.15	12	0	13	0	0	0	74	0
ENSMUSG00000000628.10	889	1151	781	1275	1203	1003	1225	904
ENSMUSG00000000631.20	2208	2187	1649	2165	2920	1870	2986	2570
ENSMUSG00000000632.13	0	0	0	0	0	0	0	0
ENSMUSG00000000673.8	2382	2903	1985	2391	3018	1783	3143	3267
ENSMUSG00000000682.7	5622	6172	5074	5607	7013	4064	10743	7553
ENSMUSG00000000686.11	1256	1405	1185	1681	1865	1397	2334	2004
ENSMUSG00000000690.5	34	55	2	11	9	21	14	14
ENSMUSG00000000693.10	183	126	85	96	90	114	156	72
ENSMUSG00000000701.7	0	0	0	0	0	0	0	0
ENSMUSG00000000706.15	0	0	0	0	0	3	0	0
ENSMUSG00000000708.14	457	352	352	309	408	208	447	283
ENSMUSG00000000711.2	2245	2169	1549	2053	3101	1905	3597	3207
ENSMUSG00000000724.10	0	0	0	3	0	0	0	0
ENSMUSG00000000730.13	42	11	17	14	5	8	24	25
ENSMUSG00000000731.15	128	66	130	127	335	197	304	127
ENSMUSG00000000732.8	292	372	370	232	618	279	777	548
ENSMUSG00000000738.17	1660	2010	1317	1026	786	707	2449	2006
ENSMUSG00000000739.13	0	0	0	0	8	0	0	4
ENSMUSG00000000740.11	68476	91777	60180	76203	87403	59967	99782	93620
ENSMUSG00000000743.8	4702	6411	4075	5272	6790	4494	8195	7537
ENSMUSG00000000751.13	13419	14555	10370	15119	18050	11745	19051	17572
ENSMUSG00000000753.15	7909	8978	6218	6406	6222	4861	9402	7978
ENSMUSG00000000759.14	2258	2076	1821	2201	3123	2455	3329	3517
ENSMUSG00000000766.18	0	1	1	7	0	0	3	1
ENSMUSG00000000776.12	1131	1364	888	1230	1486	1033	1780	1515
ENSMUSG00000000782.15	67	53	17	34	0	67	52	5
ENSMUSG00000000787.12	4155	3539	2204	3356	4035	2450	4225	3805
ENSMUSG00000000791.8	624	824	477	383	858	499	970	1060
ENSMUSG00000000792.2	0	0	0	0	23	0	16	0
ENSMUSG00000000794.9	0	0	0	0	0	0	0	0
ENSMUSG00000000804.14	348	302	186	376	387	271	376	425
ENSMUSG00000000805.18	0	0	0	0	0	0	0	0
ENSMUSG00000000811.13	813	790	603	792	858	901	1223	1446
ENSMUSG00000000817.10	28	14	8	0	12	1	23	10
ENSMUSG00000000823.16	2307	2409	1374	2102	2072	1594	3354	2803
ENSMUSG00000000826.16	3703	3716	2714	3793	4464	2878	5304	4469
ENSMUSG00000000827.18	5228	5618	4652	6138	6913	4828	7910	7783
ENSMUSG00000000838.17	1608	1486	1183	959	1148	919	1921	1629
ENSMUSG00000000861.15	6416	6018	4785	6834	9822	5589	9620	8005
ENSMUSG00000000869.12	10	35	8	7	14	3	5	16
ENSMUSG00000000876.11	1288	1754	1257	1487	1667	1344	2395	2037
ENSMUSG00000000881.12	13	30	18	37	53	19	24	41
ENSMUSG00000000884.16	622	864	671	704	1076	729	1045	946
ENSMUSG00000000889.8	0	0	0	0	0	0	0	0
