baseMean	log2FoldChange	lfcSE	pvalue	padj
4933440M02Rik	62.0872407378471	-8.59820045011719	1.54811310331461	2.55194632108499e-09	9.19174947244264e-09
Slc36a2	59.3250704346408	-8.53170035493103	1.55250638927309	3.39685789612595e-09	1.2113777026595e-08
Amotl2	58.1854011865542	-8.50077124489701	1.55765782530248	4.09503021518323e-09	1.44653748715796e-08
Pyroxd2	74.8117122888519	-7.40125104858936	1.59732272268585	1.21486070549884e-07	3.77765078371408e-07
Elane	119879.847837742	-6.44665842652911	0.0422763505272704	0	0
Prtn3	38813.2967420157	-6.27727939066943	0.0564152344282363	0	0
Dmkn	499.72017006834	-6.23806577907034	0.361685097088839	4.81467955513307e-68	1.10781599444363e-66
Gm5960	293.04150048096	-6.15844235616836	0.469549828016538	9.20335766185114e-41	1.32313036399623e-39
Gpr141	822.953009563527	-6.03388241976248	0.269284670930331	1.08221970296277e-112	4.46992219936834e-111
Gm14085	84.125905902061	-5.97031450720507	0.918036471211924	1.54361430852386e-12	7.22216573876669e-12
Tfec	850.266655880933	-5.92574735913839	0.25906782567267	2.37823363048072e-117	1.01130120371243e-115
Cldn15	1277.95240662805	-5.88541760912839	0.20980899901574	1.02700118188233e-174	7.78204354211284e-173
Tns4	132.687725000105	-5.85128630213022	1.5350371811816	1.57780629398663e-06	4.4379379935242e-06
Hal	48.8875450176182	-5.8497300403678	1.39096202677279	3.39622190964084e-07	1.01413701941809e-06
Mpo	390829.399026207	-5.80049298728487	0.0270156305260645	0	0
F13a1	17860.268409634	-5.70533922553628	0.0654033282564953	0	0
RP24-417N13.7	85.9216288085924	-5.70406395624939	0.836147436730405	1.43632520079208e-13	7.2594209496402e-13
Slc44a4	54.9847042079788	-5.63146714514633	1.0913059372509	3.41101184788449e-09	1.21599495588893e-08
Trem3	1236.16564727214	-5.62142042070587	0.20480654598416	1.38492305585271e-167	9.82905250484761e-166
Mtus1	1580.91312782187	-5.618116880005	0.177849884807241	9.70408370688232e-221	9.97936281611837e-219
Nrg1	352.547792478358	-5.53250188957918	0.379651580664014	6.65576661859191e-50	1.14661223901144e-48
Mrgpra2b	75.7845077154752	-5.49284243550262	0.853487710230219	1.65861815926372e-12	7.74226670174146e-12
Mogat2	299.532033621252	-5.46718272154011	0.397113748282079	5.87470935202921e-45	9.26530842719098e-44
Clec5a	988.741748881022	-5.46664203979	0.2187893488492	1.32812949630146e-139	7.19617691598178e-138
Met	945.018979465419	-5.39853452285814	0.221753863270231	9.28544050905554e-133	4.67893347251308e-131
Ms4a3	9798.77279072408	-5.38096025684812	0.0854177979921199	0	0
Anxa3	4000.98190102738	-5.26458668830446	0.107330093843278	0	0
Gpx3	703.202010336744	-5.24898094657467	0.24468543476361	5.25691233236405e-104	1.96948559425892e-102
F10	639.313925330602	-5.22612494438335	0.255247497820128	4.24730983454534e-95	1.43158490008522e-93
Mefv	516.646043442001	-5.20507625140062	0.787948043467372	4.58038323301024e-13	2.23324152018758e-12
Hnmt	411.646253702559	-5.17194927488093	0.319690593141745	8.05279603490795e-61	1.68025007121744e-59
Il22ra2	164.723399720858	-5.16104275754635	0.523220037538923	6.60499336626039e-25	5.83392840886698e-24
Ctsg	22317.693292496	-5.11985435117068	0.0532650832252369	0	0
Tie1	131.347711660468	-5.09834406610546	0.649970886789104	4.75968321406059e-17	2.94675543886647e-16
Gpc1	4491.62454795138	-5.06151698773331	0.0967369258933601	0	0
Sgms2	1160.84573364539	-5.04465173674999	0.187556994803653	2.44634200763956e-161	1.65464662771755e-159
Hp	5772.31768592608	-5.03793746896422	0.0873011626267392	0	0
Prom1	747.608609818088	-5.02877594497031	0.227612995816447	3.67545446910258e-110	1.49359798950064e-108
