24h_1	24h_2	72h_1	72h_2	proB_1	proB_2
Gnai3	6666.2	6620.4	7093.5	6867.3	8316	8160.3
Cdc45	3077.8	3001.4	3675.3	3342.1	3498.7	3580.1
H19	39570.3	42890.6	19416.9	23076.3	20681	28072
Narf	1895.9	2247.1	1802.4	1778.3	2767.8	2478.9
Cav2	13	12.2	43.6	20.6	162.8	152.3
Klf6	763.2	742.2	1306.8	887.2	2011.1	2009.9
Scmh1	675	668.1	634.8	610.1	1352.8	1287.6
Cox5a	6712.6	6152.8	8041.1	7129.7	8329.4	8695.1
Ngfr	29.7	26.2	135.5	62.7	35.2	17.1
Fer	147.6	141.5	168	119.5	108.8	91.4
Xpo6	5467.6	5508.1	5988.1	6146.6	6368.1	6506.1
Tfe3	1119.7	1126.4	1182.4	1168.2	1188	1139
Brat1	980.4	1040.1	892.8	1030.1	835.5	862.4
Gna12	2629.4	2792.5	2995.9	3084.5	1832.8	1962.4
Igsf5	113.3	78.7	52	31.3	101.6	69.4
Dlat	2704.6	2615.4	3174.1	3073.8	2440.3	2552
Sdhd	7863	7264.2	8623.9	8074.7	5527.4	5732.6
Ccnd2	21817.5	19355.2	22858.3	17789.5	16295	14618.9
Gpr107	1125.3	1271.6	941.1	1139.8	1237.8	1209.6
Tspan32	1437.2	1553.7	1358.7	1359.2	1510.4	1542.2
Gmpr	482.8	410.4	518.8	415.2	1075	845.4
Trim25	7180.6	6919.3	5853.6	6900.6	5096.1	5369.6
Dgke	1038.9	1212.6	1279.9	1558.9	1851.4	1683.5
Scpep1	2522.6	2481.4	3043.3	2531.3	2531.5	2678.7
Mnt	2211.6	2493.5	2044.6	2085.7	1657.6	1701.7
Itgb2	2485.4	2385.8	2507.7	2296.3	1588.1	1579.9
Hddc2	1020.4	933.3	1112.8	1075.2	1220.1	1259.6
Pemt	145.8	118.1	176.3	163.5	151.4	147.4
Cdh1	536.6	631.6	126.2	293.8	3.1	25.6
Arvcf	2360.1	2773.7	1225.1	1531.5	1494.8	1176.7
Comt	1615.5	1570.5	1555.5	1510	1095.7	1201.1
Rtca	1821.6	1708.3	2233.9	1911.4	1716.7	1739.5
Dbt	1198.6	1040.1	1205.6	1064.4	892.6	912.4
Dazap2	10546.2	10492.4	11351.6	10941.8	11525.4	11007.1
Mcts1	2328.5	2219	2362	2077.9	1945.8	1777.3
Trappc10	2149.3	2046.6	2353.7	2297.3	3111	3181.8
Ccm2	1701.8	1508.7	1973.2	1874.2	3730.9	3536.3
Tbrg4	4258.8	4200.9	4842.9	4711	3929.9	4264.7
Mx1	188.5	266.1	107.7	364.3	1	2.4
Ndufa9	3840	3589	4709.2	4190.1	3984.9	4139.2
Lck	4189.1	5024.6	2640.5	4887.3	2129.3	2806.6
Galnt1	4620.9	4427.7	4927.3	5070.4	4021.1	4062.5
Mkrn2	1449.3	1277.2	1294.7	1200.5	800.3	833.2
Pparg	60.3	42.2	245	155.7	12.4	12.2
Raf1	4514.1	4312.4	4851.2	4272.3	6128.6	5748.4
Sept1	4396.2	4546.7	3434	4549.5	6458.3	6895.9
Grasp	994.4	1150.7	398.2	589.5	222.9	221.7
Acvr1b	911.7	953.9	789.8	827.4	594	516.5
Tom1l2	861.6	1035.5	693.3	825.5	689.4	680.9
Zfp385a	1135.5	938.9	1649.2	1443.4	1058.4	975.7
Itga5	785.5	716.9	900.3	642.4	1571.6	1286.4
Wdr77	3529.9	3467.2	3386.7	3320.5	2401.9	2433.8
Atp5f1	9918.6	9252.6	11360.9	10555	9651.2	9580.7
Hnrnpd	14441	13947.3	17137.5	15516.7	18986.1	18538.9
Dynlt1c	129.1	140.6	89.1	92	77.7	96.2
C1d	1996.2	1803.9	2208	1995.7	1827.6	1918.6
Gm2a	3967.2	3683.6	5106.4	4548.5	2487.9	2675
Krit1	2517	2531	2335.1	2496	3042.5	3116
Clcn4	2060.2	2185.2	2075.2	2152.3	2078.5	1981.9
Hk2	2617.3	2654.7	2340.7	2590	1412.9	1404.5
Myo18a	5734.1	6344	3668.8	4693.4	2213.2	2288.9
Haao	593.3	594.1	565.2	697.2	278.9	354.5
Cd52	512.5	368.3	1238.1	886.2	2449.6	2420.4
Abhd15	758.5	686.9	520.7	783.4	221.8	296
Kat2b	1156.8	1113.2	1110.9	1052.7	1630.6	1533.6
Rab5b	2260.8	2070	1954.6	1845.8	2350.1	2095.2
Icosl	74.3	119.9	152.2	145.9	41.5	65.8
Spg7	2768.6	2770.9	2510.5	2674.3	2427.8	2419.2
Rpl13	29953.4	28379.1	30760.2	28763.7	33116.6	31535.2
Chmp1a	2896.7	2975.2	3098	3070.8	2222.6	2238.9
Rpa1	8124.8	7708.3	9581.8	8788.5	9324.6	9915.7
Serpinf1	187.5	121.8	422.3	229.1	887.4	690.7
Tubgcp3	2898.6	2943.3	2944.9	3122.7	3354.6	3313.3
Polr3d	906.2	929.6	1007	933.2	741.2	795.4
Tcf7	858.8	1208.8	349	979.2	293.4	331.3
Ddx3x	21493.5	21639.7	25856.1	24455.1	20569.1	23437
Il12rb1	80.8	113.4	71.5	104.8	45.6	26.8
Usp32	1536.6	1687.7	1459	1512.9	1763.3	1701.7
Txnrd3	1419.6	1462.8	3097.1	2292.4	8034	7649.9
Zfp512b	3459.4	3639.6	2811.2	2918.1	1680.4	1720
Dnajc5	5932.8	5772.3	5396	5456.2	5849.8	5643.6
Tpd52l2	3417.6	3439	3096.2	2905.4	2506.6	2636.1
Fmr1	3486.3	3681.7	4412.2	4216.5	6295.5	6436.7
Bcl11a	4113.9	3112.9	6270.3	4082.4	10896.2	11710
Pxmp4	796.6	685	663.6	615	557.7	473.9
Gnb1l	317.5	334.5	366.6	361.3	296.5	310.6
Mmp11	312	400.1	599.6	615	3069.5	2805.4
Smarcb1	4441.7	4527.9	5392.3	5305.4	6183.6	6570.6
Vpreb3	207	59	98.4	67.6	5913	4704.5
Hip1r	2796.5	2805.6	1937.9	1857.6	3008.3	3486.3
Nsun5	1005.5	1022.3	1185.2	1139.8	1047	1080.5
Hoxa10	1315.6	1475.9	781.5	957.7	31.1	43.9
Mmp14	372.3	157.4	567.1	97.9	279.9	71.9
Oxa1l	3452.9	3604.9	3261.4	3427.3	2776.1	3001.5
Heatr6	1796.5	1854.5	1948.1	1970.2	2312.8	2226.8
Ccl3	461.4	306.4	846.4	757.9	33.2	39
Ilf2	5800.9	5554.9	6479.1	6473.6	6987	7127.3
Chtop	7544.5	7416	8107	7778	8882	8724.3
Snapin	1563.5	1553.7	1413.5	1436.5	1283.4	1176.7
S100a4	1399.2	1386.9	1214.9	1199.5	527.7	747.9
S100a6	1103	906.1	1834.9	775.5	2118.9	2645.8
Scn4a	36.2	33.7	55.7	62.7	363.9	450.7
Icam2	824.5	921.1	823.2	916.6	980.7	1014.7
Mapk7	788.2	808.7	862.2	791.2	1196.3	1126.8
B9d1	77.1	52.5	72.4	57.8	169	125.5
Sec24b	3945	4220.6	4193.2	4225.3	3891.6	4040.6
N4bp3	1133.6	1181.6	906.8	1181.9	1822.4	1713.9
Rmnd5b	1432.6	1471.2	1317	1472.7	2132.4	1980.7
