baseMean	log2FoldChange	lfcSE	pvalue	padj
Lifr	89.579347886394	-9.14080304081073	1.28676479757919	1.63895098100196e-17	1.5601755951409e-15
Gm19331	136.440980142758	-6.17373696610516	0.674116825854972	5.0381231549483e-23	8.14657612616571e-21
Ighv1-83	104.912625421697	-6.10423018831268	0.637527435721748	1.45226445971235e-24	2.63731225883763e-22
Ighv1-76	76.2923944884523	-5.48414646367692	0.644420566160056	2.49281961439706e-19	2.82935026234066e-17
Ighv1-75	52.8040123439203	-5.35062939724299	0.925774290080971	8.86587101327432e-11	4.12018667089331e-09
Ighv1-77	242.399860634562	-5.19169903056432	0.410198877419406	3.97840062292105e-38	1.46753252978e-35
Klhl30	115.804422678844	-4.88053879026944	1.54566414131355	2.93342417136573e-06	6.10690280754869e-05
Mrvi1	172.091662771283	-4.81476202918119	0.979177995930422	2.36860267537824e-08	7.55648269734183e-07
Ighd	227.938909226192	-4.80232198369617	0.515128240913498	7.88775275602566e-22	1.17857004471047e-19
Dntt	26784.999450268	-4.73366951881132	0.229993740273095	3.62007891413188e-95	1.06828528756032e-91
Wfdc18	228.300562034034	-4.70794762540526	0.333363460995697	2.47646731009695e-46	1.46161100641922e-43
Ighv1-82	146.20964671998	-4.6794766679011	0.435927099941987	6.15240801687559e-28	1.32041862238544e-25
St8sia1	62.9134145654427	-4.35953022506043	0.769910296889396	1.10566896352629e-09	4.37963639109542e-08
Slc18a1	443.246742242783	-4.29688282019576	0.352335446240915	4.65873610906653e-35	1.4100441290108e-32
Gm43643	168.554129209333	-4.28157647288851	0.498238500147199	1.07860243697481e-18	1.15743846964097e-16
Ighv1-74	188.933759171622	-4.21712333740716	0.488386042630012	7.98030073288922e-19	8.72586673985443e-17
Cmah	1051.6446686273	-4.17311745804694	0.246204992026845	3.21233528998498e-65	2.70845755449876e-62
Ddx4	698.489047204642	-4.08286839574826	0.296907130699127	8.73576697526705e-44	4.48334753808923e-41
Ddit4l	70.1854781946935	-4.05998074430162	0.633878613320258	1.71253589256156e-11	8.63879216914385e-10
Ctnnd2	97.874562108089	-4.0574735099077	0.578309424568075	2.92778157813453e-13	1.78141926537629e-11
Cox6a2	550.832779794263	-4.04355276112101	0.318785507253715	1.28236881842474e-37	4.58699440384412e-35
Gm8891	63.4307270563115	-4.00343528454464	0.54141643528555	1.98155775651811e-14	1.41759440957211e-12
RP23-92D22.3	835.911595606786	-4.00026472047741	0.438090255258384	1.10662736779942e-20	1.43545378565982e-18
Rasal1	281.029076723411	-3.99973436325305	1.70348579824922	2.48279381906748e-05	0.000423645942291408
Ccr9	227.095329138148	-3.98117104352471	0.436912387278628	1.33249393484888e-20	1.70964765293002e-18
Mycl	57.5970091513522	-3.96892647313522	1.09348927016209	3.56251616543354e-06	7.33890764690707e-05
Ighd4-1	72.4071469291445	-3.76971566829916	0.51091846400932	2.38210126768874e-14	1.68373193795197e-12
Igf2r	458.463243249573	-3.71645450872719	0.51658322071487	9.05830315429369e-14	5.94023391296015e-12
Ighv1-79	117.430753371112	-3.70551037193562	0.57744841398804	1.70300470080068e-11	8.63879216914385e-10
Emp1	1062.20961289454	-3.68896129933941	0.198946921677689	2.12236680274404e-77	2.78360197106563e-74
Ighj1	345.936201274604	-3.6452097402732	0.257226688602049	3.00918336919804e-46	1.6914476423816e-43
Sdc1	1696.27536349774	-3.59938029498333	0.373179056327266	9.59162957401835e-23	1.50959460655617e-20
Sdc4	547.169042048131	-3.55502503094019	0.288246356084507	1.25305891241808e-35	3.99759659518461e-33
Ighj4	50.6567059192298	-3.48886007631077	0.544729309908558	1.71012905620668e-11	8.63879216914385e-10
AA467197	109.622128096004	-3.45154512245773	0.483183114500982	1.19062807556428e-13	7.76473690826562e-12
Kcng1	873.963338527213	-3.35238496824829	0.296623972700306	2.36662610061602e-30	6.07296836775468e-28
Cd33	762.513007889691	-3.31280600174083	0.242310429149389	2.91498139830605e-43	1.37633761702419e-40
Evl	1013.55095839842	-3.29570846712162	0.185692539245271	3.68452465224276e-71	4.34921289950736e-68
Rag1	65.5298447355513	-3.25465151522141	0.743012002538553	4.60388298946899e-07	1.15380540992977e-05
Wfdc17	3652.23733004991	-3.22299056896354	0.295682707051451	1.82677366192751e-28	4.14677621257545e-26
Rag2	481.27467865064	-3.21291392196164	0.318208515655693	8.48622839189281e-25	1.56517874902973e-22
Arpp21	858.63721117028	-3.21080040256028	0.248692189166537	6.71132480001698e-39	2.73174061860002e-36
Ccr7	434.786448690418	-3.20070708528705	0.532711964702356	1.50043216216308e-10	6.75675944182615e-09
Tmem108	310.553956535547	-3.13428831791092	0.290412142301121	5.21716283347847e-28	1.16195075634679e-25
Sema3d	329.598948935545	-3.1027055404524	0.468714482130931	2.94410411076546e-12	1.59310510305852e-10
Rem2	61.2161351270377	-3.09680034916547	0.576829292397821	4.68308126848939e-09	1.68021554082823e-07
Bank1	147.805803100555	-3.06671530867399	0.399615388951203	1.54468304058068e-15	1.26621101465377e-13
5830405F06Rik	59.7065663861148	-3.03642803388866	0.765245937039646	1.73315042764532e-06	3.8239453547524e-05
Slc35d3	695.602599132169	-2.96293144744564	0.320063208984588	1.92030053066529e-21	2.6357241237178e-19
Ighv1-23	285.9884264246	-2.93507134504537	0.316646635235453	1.6229777886773e-21	2.30814817078878e-19
Cd6	263.917544993494	-2.92979986332013	0.346001125958051	1.99212457761078e-18	2.07780782895132e-16
Tlr7	503.139374051631	-2.89956471575614	0.296219486243434	1.05115781825904e-23	1.77255241238996e-21
Ar	87.3192146377811	-2.89669938310327	0.929408795218288	1.53257037322284e-05	0.000275349477709625
Fcrl1	319.824624782596	-2.89079741244619	0.392267155557132	1.11233768094855e-14	8.3101480923523e-13
Crispld2	134.532473092168	-2.74522729480768	1.24269729509242	8.54229315093808e-05	0.00126656981315011
Fgf13	160.068556632752	-2.71045110989815	0.342212008692885	1.11787009531291e-16	1.00673460814114e-14
Mn1	3562.01235513094	-2.64262674377137	0.140669640193476	5.15697412715076e-80	7.60911532461094e-77
Il7r	432.497728971647	-2.62505585695979	0.345311750116268	1.12679013608208e-15	9.43307146547009e-14
Krt83	75.9059352505532	-2.59513496840164	1.07177834910518	6.31315441831341e-05	0.000967798373425604
Postn	82.2504665487744	-2.57830444830755	1.95159183701161	0.000282502714443659	0.00360504004464103
Pydc4	137.718969674188	-2.56030816142833	0.589933996671264	3.4543642484303e-07	8.88356358691754e-06
Rasgrp3	97.7357428642039	-2.55095225978025	0.774060343620409	1.02289984435472e-05	0.00019074738961711
Mpeg1	1643.68057773055	-2.49681731306985	0.243206330777669	3.15534522594443e-26	6.10585164705706e-24
Blnk	465.990947328659	-2.47625410656883	0.227435928264108	3.99873471345846e-29	9.44021291153274e-27
Cnn3	3636.19551160956	-2.37038356030256	0.181255268311347	1.07573882905779e-40	4.70297079192526e-38
Ptger2	777.339785526745	-2.36248133260309	0.241843577742238	3.72906082782998e-24	6.66936878965229e-22
Card6	240.213111185209	-2.36189193269308	0.460528085729521	7.33278625110629e-09	2.51616886360635e-07
Gbp6	146.570141483058	-2.27623566344684	0.68084283622536	9.05414055149442e-06	0.000170454665183158
Gm13919	90.3850643598537	-2.26339338025742	0.451528595197792	1.2868767075786e-08	4.29104312323668e-07
Lpar1	255.438963941151	-2.26233762980849	0.941666971639044	7.2674053720479e-05	0.0010969878901746
Spint1	272.449071137414	-2.25618564646206	0.403334676904336	5.37187993677897e-10	2.20939619420693e-08
Il12a	5719.10942401525	-2.20265223232059	0.138237746453333	7.12350279793963e-59	5.25536418917996e-56
Ankrd6	288.726752414398	-2.16727778071009	0.310363194521787	6.60246542172378e-14	4.4031356970637e-12
Clu	101.048913163633	-2.11982259338285	0.449996895239828	5.77018139028232e-08	1.72871119621555e-06
Noxred1	53.2234248898726	-2.11945707521001	0.495292611884134	3.94241840123155e-07	1.00510381875026e-05
Flt3	24703.9625232036	-2.11401409723299	0.101250915007114	1.55484045035071e-98	6.11777889197994e-95
Pacsin1	69.7219637514071	-2.0912275570594	0.818621965504462	5.71564565871377e-05	0.000885400017788155
Adora2b	116.20223590079	-2.05911522672153	0.403915418298981	8.55086789648583e-09	2.90041507615284e-07
Rgl1	803.54674592444	-2.04800668269357	0.303267908389454	3.55585197720237e-13	2.1414937111682e-11
Notch1	1695.1887241871	-2.00983574033743	0.18997353673269	8.46785265883733e-28	1.75358829447221e-25
Slc27a2	225.218748101062	-2.00148528665923	0.380155940283096	3.67024889060096e-09	1.32488128148788e-07
Ulk4	45.9311766340963	-1.99351212594423	0.858626832422103	9.38813715906089e-05	0.00136811816080932
Kynu	93.5524998578572	-1.97940372173783	0.515768376477102	2.18143957325555e-06	4.71606460122867e-05
Tbxa2r	1597.71182932595	-1.97640894263645	0.1866099316047	7.89291340180092e-28	1.66371338919389e-25
Zap70	95.646893373289	-1.97500618621765	0.541733840147855	4.07152665227401e-06	8.25778360883891e-05
Sorcs2	133.618911632846	-1.970428444301	0.599582488478434	1.13316275520755e-05	0.000210312156642609
Chl1	32.7231369515288	-1.96273900670979	1.66747625431622	0.000658538078778231	0.00748880874942027
Sstr2	1319.39331144858	-1.96087155485019	0.170662827130638	3.62619088036622e-32	1.04398919882544e-29
Atp4a	55.3355859515908	-1.94840456733435	0.725672032606383	4.63048805695805e-05	0.000734654314843183
Zfp658	190.396190851753	-1.94379614501043	0.567029433582759	7.8241759646373e-06	0.000149686504192186
Gm38399	82.2492987313288	-1.94340136483016	0.413948462301507	6.88743927395926e-08	2.03142215316937e-06
Dse	52.9894197487861	-1.92972157006375	1.05977630196813	0.000245346246505878	0.0031824913118191
Gm42983	79.4587668295799	-1.92594311884967	0.524421140786677	3.83784853846253e-06	7.83771006020964e-05
Ppp1r16b	297.301756990077	-1.90070339619321	0.263426663917626	1.60425026815572e-14	1.1689240842784e-12
Btla	548.197146073876	-1.87111896647049	0.380802247509525	2.58573874003338e-08	8.16043363731284e-07
Actn2	64.6635956821949	-1.87033695118793	0.64915557695629	3.14824246893876e-05	0.000518927699472665
8430408G22Rik	557.259878960461	-1.84070741620349	0.272583948080218	4.87350139655398e-13	2.90539446893552e-11
Phf11c	122.474867075926	-1.83903672639501	0.43241370816584	5.16466863848682e-07	1.27007809601455e-05
Camk1d	1295.11982533377	-1.82235151227854	0.186627232949187	5.5057165102896e-24	9.69992204290424e-22
Cd247	173.014797168229	-1.80669015634962	0.31018342972541	1.99825184523859e-10	8.80125551537177e-09
Ephb2	182.186272967185	-1.8049704753038	0.587278165449183	2.09754262688914e-05	0.00036304095553958
Ncf1	2707.00750971563	-1.7973430186232	0.125186407281849	3.46804775599452e-48	2.15457030061891e-45
Atp1b1	235.313272908465	-1.79654718555206	0.302865491206728	1.07166869029122e-10	4.9221701245905e-09
Rgs8	100.311531986942	-1.78337810562502	0.689352330104692	6.17375205774866e-05	0.000947658898435179
Nfil3	642.294227805908	-1.78117585165225	0.256167192121988	1.36591837768818e-13	8.79597189004551e-12
Tpm4	3090.42279952626	-1.77179060786983	0.141838636015465	3.26339333864772e-37	1.13297338145287e-34
Kmo	358.443852112405	-1.75523901832223	0.279333047013256	1.30689674386882e-11	6.73651055223913e-10
Ctss	2060.57703440777	-1.74841575442622	0.142552309644961	5.89417163221064e-36	1.98785148418898e-33
Scn1b	101.591786233341	-1.74787355402721	0.522360090392332	1.09656725771457e-05	0.000203840628504925
Lrp1	170.129750595327	-1.74346693409284	0.563750157071267	2.08196353838777e-05	0.000361477603196233
Lgmn	678.565618121502	-1.74277476286842	0.313361918064047	1.02016721931343e-09	4.08205215483924e-08
Pirb	170.155042134621	-1.74035667600142	0.380080899580706	1.44982052909223e-07	4.0172961327241e-06
Wdr35	314.392917915932	-1.73684027925898	0.329159495140765	4.87286823544585e-09	1.73251014009647e-07
Hs3st1	64.4534017066522	-1.73102261599106	0.70201079045583	8.13124394614504e-05	0.00121341597396076
Phlda3	679.36262651479	-1.72932481006638	0.257940049516084	8.62259101527084e-13	5.01384553419985e-11
Colq	54.7595161441089	-1.71563829465285	0.857286683945118	0.000199308981635594	0.00267954808567944
Shisa8	1362.36558753361	-1.71350724736958	0.591567927330578	3.33704036682083e-05	0.000544819149238632
Grap	131.459518730684	-1.70780765357838	0.474109394293158	5.50311382420871e-06	0.000108264592634933
Il20ra	76.6373775708706	-1.69362129124227	0.616306094751435	4.67049337875194e-05	0.000739014796820213
Nsg2	133.92061388967	-1.69339749204266	0.396761497401517	5.61031690907586e-07	1.36544702669549e-05
Drc7	1058.608017745	-1.69040036699724	0.214538646370692	1.60144672744514e-16	1.41070725154943e-14
Amdhd1	82.6486251844052	-1.68845395586148	0.614429032980107	4.6867346731503e-05	0.000740591915419895
Card11	160.25862223319	-1.68771616985843	0.349976961863276	5.09337063809178e-08	1.52982562371591e-06
Pygm	331.168062829692	-1.67954163812604	0.355549283085572	8.14014239015071e-08	2.36665617668323e-06
Ifi27l2a	505.662599344331	-1.65998127898837	0.332503547098299	2.33353698043886e-08	7.46478875802176e-07
Gas6	490.608751873908	-1.64944946654016	0.274839452868163	9.32010351432966e-11	4.31429419149597e-09
A430105I19Rik	66.4743155943105	-1.6466819681344	0.551279838511774	2.84742101925841e-05	0.000477428376581339
Snn	1570.51299322614	-1.63742999341377	0.177533575498458	1.65938644567862e-21	2.33183304818934e-19
Gm4955	416.901659126101	-1.62099472494278	0.343740132615309	9.08084524424777e-08	2.61439749422197e-06
Mx1	119.459320462669	-1.61023672696582	0.436590803621486	4.5869541919466e-06	9.20823253090777e-05
Cd300lb	943.811579598421	-1.60550465520622	0.240009938329612	1.24966570690381e-12	7.07949170986061e-11
Cd5	104.766143172514	-1.56453958462724	0.437438463888305	6.62997785665248e-06	0.000128929585864787
Sh2d2a	82.643224844799	-1.55704174133027	0.543948742456842	4.01804951770091e-05	0.000644416528626923
Lck	3315.23417065594	-1.55265737532931	0.118115009829353	1.37948351277303e-40	5.81550835170459e-38
Gm3739	54.5569281114853	-1.55175819214615	0.618495526881908	8.44712735952435e-05	0.00125421246983428
Bfsp2	155.485930873158	-1.54265236030322	0.328044764781331	1.0515350829417e-07	2.96945457393392e-06
Abtb2	112.169457633973	-1.52399984526886	0.387784925752188	2.25325805725853e-06	4.83590147415994e-05
Spag1	288.748808170235	-1.50346811957785	0.347399184962754	5.30761171630355e-07	1.29981428836612e-05
Dyrk4	71.8449093153082	-1.49860796002645	0.747593274238524	0.000231139412686748	0.00305186759211899
Spef2	101.104294752911	-1.4925839820436	0.584466840845097	8.07646024204589e-05	0.00120676628730519
Clec2i	886.762785120808	-1.48253593548552	0.494797388328067	3.14380657084018e-05	0.000518927699472665
Ahnak	182.938091420837	-1.46869671759683	0.300178777867796	4.68398805679194e-08	1.41045395465235e-06
P2rx7	316.769953991451	-1.45917512855205	0.309196874925202	1.04729095598313e-07	2.96456173727216e-06
H2-Eb1	482.086554823751	-1.45204121955885	0.265288081823201	2.5205102324517e-09	9.32667798867079e-08
H2-Aa	900.282569435869	-1.45078925669247	0.219892410453391	2.96097999912938e-12	1.59310510305852e-10
Rara	649.218892896655	-1.44235681066761	0.199039659334488	3.309934091795e-14	2.28482234032446e-12
Azin2	162.840494837186	-1.43640630184219	0.428105513050175	1.33965863913156e-05	0.000243656865582573
Sgsm1	536.326191454896	-1.43232528196876	0.213084057564875	1.31892478928672e-12	7.41361343463832e-11
Tnfsf8	194.972162472107	-1.42764328226846	0.583905775088052	0.000105682478371039	0.00152503175390188
Cd74	2794.54122144343	-1.42359241359411	0.19799608828153	5.08824991392517e-14	3.45182195310188e-12
Irf8	8376.58719848362	-1.41518994208807	0.239555356379038	2.25174982777672e-10	9.70060400258264e-09
Rftn2	334.713325061452	-1.39825960838538	0.253525995822239	2.07778076922289e-09	7.93725702262361e-08
Mmp11	264.359704144081	-1.39631535594813	0.392090009018611	7.75417495438898e-06	0.000148829725466028
Tnni2	181.456630326805	-1.39520676936625	0.292933578149595	8.88443216890789e-08	2.57011915748809e-06
Icos	231.180905749542	-1.38832102548928	0.220000894906428	1.97793215976632e-11	9.8098786612948e-10
Satb1	4658.13219176828	-1.37828632743156	0.126416381051059	1.14194309458276e-28	2.64303848793232e-26
Rasa4	1882.94050668041	-1.37515964116197	0.119796375849761	1.74728988968531e-31	4.79651392042916e-29
Gm37248	193.484227543826	-1.36355341097475	0.513985139318884	7.28322164226714e-05	0.00109797124221356
Cdk19	3470.21716532385	-1.36056634933648	0.140590737656973	3.72077764969857e-23	6.10000824681139e-21
Fxyd1	72.2783954491945	-1.35721316597938	0.492945343831374	5.91320494165203e-05	0.000913605643079326
Ets1	2033.65900098361	-1.35653618117756	0.192225865606284	1.37111049455132e-13	8.79597189004551e-12
Bcam	144.33701496235	-1.34297074623642	0.563653400788326	0.000128113402085102	0.00179602208813841
Dtx4	659.137303244823	-1.34179031568068	0.294501962914797	2.23071092213839e-07	5.98438902839126e-06
St3gal6	354.577906835374	-1.33979483658474	0.321616600010382	1.06824825635427e-06	2.46763256712442e-05
Sv2a	194.188831751433	-1.32399644644489	0.391288003694177	1.32131001807473e-05	0.000240690485391267
Hdac9	348.995511410053	-1.31744540034811	0.352146807287713	4.6415927111725e-06	9.28633226486106e-05
Nucb2	507.112664701096	-1.30779284958535	0.300076382280123	5.06668741813169e-07	1.25381925122907e-05
Atp1a3	1035.48564883957	-1.30533182217304	0.239914189587257	3.10822102291814e-09	1.14297323845874e-07
Trib3	265.290075302148	-1.30135285633288	0.402917346748289	2.00390881822817e-05	0.000350951627453491
Il1r1	2705.92334725285	-1.30133327792863	0.187001713514067	2.7153583345474e-13	1.66937967609362e-11
Them7	281.408501925997	-1.29761477064796	0.218207164056425	1.80854522870202e-10	8.08638934833281e-09
Gcsam	352.120076956912	-1.29524076124553	0.194257542732538	1.96457455941513e-12	1.0836372943615e-10
Rbm47	672.378105133483	-1.29149363133418	0.337783512268042	3.57754040032222e-06	7.35701862115044e-05
Lax1	1408.16093166969	-1.28569428800897	0.137921973721205	1.12188319563704e-21	1.63490237546909e-19
Gprin3	159.254530541263	-1.26748602501661	0.384909828689095	1.7249613771919e-05	0.000308040001457991
Myof	530.164484286938	-1.2629242323471	0.307421954699905	1.32259948560952e-06	3.00230083233362e-05
Gm26597	836.137883842711	-1.25993851823641	0.572760607769715	0.000196440115111075	0.00264398987317118
C230085N15Rik	1387.79961945763	-1.25345533915511	0.59071663376185	0.000229427711862637	0.00303946656658425
Jakmip1	2077.98367951866	-1.25205275811802	0.141709976539904	9.27952249252051e-20	1.08450973764071e-17
Cass4	196.19411433211	-1.25076278400833	0.454570545825876	6.39316733978754e-05	0.000976536709763925
Gem	967.168400287444	-1.21228245491635	0.241285799334054	2.45198169529018e-08	7.78042793849605e-07
5830444F18Rik	370.925147894505	-1.21127347317855	0.540756699548393	0.000189588021511086	0.00256052289006505
Slc9a9	1246.35305173398	-1.20911332469947	0.134260234978765	1.91087093310248e-20	2.37430742045701e-18
Dennd2a	57.9333242667942	-1.20290466007315	0.803622463253573	0.000768398405336614	0.00850860673226397
Fads3	104.816461852478	-1.19608135662168	0.552391103561027	0.000222298697783509	0.00296666177874336
Itgb5	345.071550994858	-1.19015678768149	0.477405587253821	0.000115782889191994	0.00164861426299432
Gpr18	333.975979731276	-1.18938180025947	0.237146124446382	2.49872667122929e-08	7.90749855956851e-07
Pou2f2	1686.81004128994	-1.18489454085482	0.138130818422107	7.98368017540053e-19	8.72586673985443e-17
Hlx	631.873208835957	-1.17712140622503	0.218160466662911	3.51526830057704e-09	1.2728290496936e-07
Fgd2	4223.60148370496	-1.17252441104242	0.112438362470913	1.66954550404623e-26	3.34022290334944e-24
Egfl7	9478.77455881113	-1.17114985204247	0.139268706047582	3.2725473098882e-18	3.30163661930943e-16
Cacna2d4	247.150446132096	-1.16871313546353	0.339159915895331	1.15417082436471e-05	0.00021307557184878
Kcnh2	217.101558017622	-1.16641888999768	0.374343466887914	2.82500549671638e-05	0.000475679190803727
Cd276	122.512272094992	-1.16508427279192	0.771619341890324	0.000781655515905971	0.00861499692787496
Ptafr	805.239746672662	-1.16193738726411	0.197790909251211	2.36359082707336e-10	1.01453913173723e-08
Gapt	490.746189346425	-1.14833888165788	0.228091956005556	2.15739302988256e-08	6.957887247195e-07
Mgst2	736.14700101313	-1.14474386593438	0.228069599695526	2.31462615950193e-08	7.4244149964024e-07
Tnfrsf13c	877.651902218232	-1.13896631550466	0.204733494042433	1.33181828095842e-09	5.15435507817483e-08
Dusp22	209.78149926908	-1.13856775360429	0.286799777521753	2.09194407271052e-06	4.5392109989476e-05
2410004P03Rik	261.544511135186	-1.13050947865245	0.271429990741466	1.00096535869051e-06	2.3212956962638e-05
Smad7	283.027835142844	-1.12097989046689	0.299731899425586	4.60463935468347e-06	9.22804124663561e-05
N4bp3	933.126545635788	-1.11625295862686	0.237438667237459	1.01216844566343e-07	2.87202796456997e-06
Uchl1	233.025566951397	-1.10814487170309	0.251458874486966	3.67306886611983e-07	9.4254141077562e-06
Fzd9	111.254432898132	-1.10251866628088	0.860303291394252	0.00127133304003124	0.0131408189181512
Ighm	26043.8145933807	-1.08664797599896	0.446630270552776	0.00014160010347297	0.00197804452236087
Caskin2	292.739431716479	-1.08472886324047	0.363065393606566	4.00028277022416e-05	0.000642439970336408
Scpep1	1789.52441910886	-1.08138216248463	0.131793583883863	1.40660872164741e-17	1.34988693905089e-15
Tmem119	452.772913640919	-1.07959992229788	0.259744336388252	9.93048796747411e-07	2.3074700781115e-05
Stk10	2568.30235893339	-1.07767881532364	0.129217943921866	4.52772907833449e-18	4.49120286055969e-16
Sapcd1	142.73904801234	-1.07633153730619	0.391813963779068	7.13952171229027e-05	0.00108044761912659
1700001O22Rik	166.17109700625	-1.07604139945871	0.466085810689494	0.00018494389852308	0.00250640387849189
Gjb3	250.962268094275	-1.07405334775895	0.36070443966935	4.11558699586205e-05	0.000657380093357993
Camsap2	129.628156351872	-1.07303215056832	0.877536302596395	0.00146503840994232	0.0147806097358625
H2-DMb2	300.05278911714	-1.07290277665941	0.217141404311232	3.04168969539102e-08	9.49523558871196e-07
Frmd6	2047.95322990086	-1.07072620887472	0.128683678771269	5.20436150967976e-18	5.11935693835499e-16
Arhgef10	793.106540525356	-1.07054481396192	0.248405679981053	5.30266097449152e-07	1.29981428836612e-05
Sec31b	171.952653102934	-1.07045586801318	0.772402341657587	0.00109333161769364	0.0114717212580051
Serpinh1	138.979060580162	-1.06850497486785	0.684686236270145	0.000795242270281511	0.00874671832837871
Gm11342	57.4113386834537	-1.06701959063232	1.17929181925	0.0025799175740088	0.0234076456906993
Cd7	175.792138220702	-1.06522288063201	0.47923514872256	0.000222424235359867	0.00296666177874336
Myl4	252.106821673076	-1.06026950249002	0.243283582696781	4.2820576311579e-07	1.08234278968282e-05
Il10ra	732.407197746433	-1.0563264410438	0.21568920277694	3.66248216517675e-08	1.12583175723298e-06
Dhrs3	8463.39671579647	-1.05323718967202	0.147646488709284	4.97958718781211e-14	3.39866676847366e-12
Mef2c	14001.3740456752	-1.05295636703889	0.113411121174609	9.64566560858902e-22	1.42321796054731e-19
9030617O03Rik	1225.83627989549	-1.04088069591681	0.233914739459199	2.82675476849467e-07	7.41489184162468e-06
Whrn	95.0897293706259	-1.03977852712955	0.533322029752582	0.000392169181196997	0.00475762077579584
Sh3bp5	1474.4470229767	-1.03676380621984	0.155580837712329	1.23530669045455e-12	7.04423196817658e-11
Ralgds	712.46234890711	-1.03200125288663	0.224795856658949	1.49339765368843e-07	4.11870698694818e-06
Clcf1	756.55858361006	-1.02349139611437	0.16917757388003	6.08093359775007e-11	2.87117360751367e-09
Mctp2	489.172209030061	-1.0208899444951	0.313201239901094	1.97027676570805e-05	0.000346506105521851
Sulf2	116.487146445549	-1.01995613680866	0.581248750261283	0.000583770974578732	0.00674249763593675
Trp53i11	2452.61235641758	-1.01620444649843	0.182754620856977	1.04832776983702e-09	4.18056114701223e-08
Tmem121	1164.25005739143	-1.01607520003312	0.195486544545045	7.48695539844068e-09	2.56162381226649e-07
Baiap2	975.402715120701	-1.01120257153751	0.151176239859319	9.68061361742927e-13	5.60146878137917e-11
5031439G07Rik	703.980318597133	-1.01002079674832	0.213519199283778	7.59084908656823e-08	2.21788075786761e-06
Ppfia4	281.207495101601	-1.00812764007885	0.252691632848577	1.7839436463088e-06	3.92135396667207e-05
