MPP3_KO1	MPP3_KO2	MPP3_KO3	MPP3_KO4	MPP3_WT1	MPP3_WT2	MPP3_WT3	MPP3_WT4	MPP4_KO1	MPP4_KO2	MPP4_KO3	MPP4_KO4	MPP4_WT1	MPP4_WT2	MPP4_WT3	MPP4_WT4
Gnai3	8200.5	7700.7	8125.2	8174.8	7098	7845.7	8575	8176.7	6684.8	6784.3	6630.4	6901.3	6634	7182	6803.5	7220.1
Cdc45	2082	2709.3	2598.6	2742.1	2781.1	2360.6	2188.8	2709.3	2611.5	2695.1	2821.1	3363.9	2840.3	2482.8	2300.7	2718.7
Scml2	196.9	190.4	175.2	174.1	215	172.7	104.9	182.2	152.3	106.6	193.6	150.8	119.6	314.7	277.8	193.9
Narf	1378.6	1364.7	1747.3	1861.4	1534.8	1897.2	1995.5	1745.8	1643	1268.3	1363.5	1484.3	1684.4	1391.5	1745	1373.2
Cav2	644.3	467.6	337.1	210.2	290.6	290.7	595.5	541.1	381.2	308.2	266.6	248.4	235	165.2	376.3	309.7
Klf6	2892.3	2051.3	13096.7	1961.6	1557.1	2231.4	13133.9	7053.7	2743.1	1876.1	12264.7	2642.4	1842.5	2686.6	12452.3	6175.1
Scmh1	1177	1066.1	1003.6	1026.8	1028.1	995.6	1056.7	1173.8	1310.4	860.3	1084.9	939.3	1104.8	1239.6	986.4	1118
Cox5a	7482.1	8321.7	7819.5	7520.6	7030.9	6428.8	7524.4	7473.4	7974.5	9238.4	7227.2	7813.9	7060.6	7005.9	6491.9	7032.9
Fer	422	428.3	298	316.7	427.9	282.3	408.3	330.8	123.3	121	221.5	272	325.3	148.3	322.7	191.4
Xpo6	2903.6	2608.1	3144.2	2710.5	1451.7	2182.2	2712.4	2975.8	3160.6	3150.2	3778.7	2696.6	1593.3	2130.7	3180.5	3412.8
Tfe3	672.4	649.7	718.9	875.2	973.9	1019.5	935.3	742.4	853.6	714.3	802.4	892	928.4	1133.5	1084.9	930.8
Brat1	1524.9	1686	1631.1	1582.6	2573.5	2213.1	1604.6	1475.6	1911.3	1848.3	1774.6	1636.1	2691.4	2052.3	1635.5	2339.3
Gna12	513.9	540.2	598	687.5	434.2	492.9	556.5	607.3	707.5	867	599.5	520.4	461.7	455.8	491	468.4
Slc22a18	424.8	465.2	352.3	332.9	464	404.4	432.6	292.8	245.5	254.4	311.7	251.3	424	290.6	210.2	256.8
Dlat	3643.5	3493.4	3753.6	3952.9	4073.2	4009.2	3514.3	4203.9	3027	3189.6	3716.4	3431.9	4012	4519.5	3686.2	3507.6
Sdhd	11293.5	12170.9	11549.3	11783.9	11205.2	10832.5	11653.3	11238.6	10642	11700.2	11012.6	11120.7	10601.7	10982.8	9982.6	11720.7
Ccnd2	17708.3	21934.7	18200.5	18265.1	15217.7	17257.1	19023.4	20559.2	28511.6	29905.2	26479.1	27276.8	19686.2	26456.2	21403.6	25073
Gpr107	688.4	604.4	916	853.6	965.3	1299	852.1	794	656.8	916.9	917.8	795.4	971.9	1117.8	1029.1	940.1
Tspan32	13515.3	13779.5	14679.3	14000.8	14890.9	14181.7	14396.9	13179.2	10545.6	11407.3	11342.9	11758.4	12852.3	12942.3	12150.2	11674.5
Gmpr	2549.1	2678.3	2781.4	3017.3	2980.1	2585.3	3066.1	3041	1706.2	1776.2	1744.1	1817.5	1810.7	1975.2	1886.1	1836.5
Trim25	2002.3	2277.4	2117.7	2302.6	2905.6	2409.7	1807.4	2261.5	2673.7	2545.3	2944.5	2330	2939	2972.4	2368.3	2642.3
Dgke	461.4	468.8	466.6	354.6	449.1	344	650.1	555.6	885.7	611.6	652.6	453.4	727.6	663.2	700.5	673.2
Scpep1	1422.7	1665.8	1237.9	1194.6	1187.8	769.5	1150.3	1041.5	2490.3	2570.3	2482.9	2453.2	2174.5	2316.4	2200	2274.6
Mnt	277.6	378.4	355.2	255.3	579	436.7	354.5	440.5	346	335.1	431.1	364.7	582.1	535.4	597.6	566.6
Itgb2	1643.1	2254.7	1518.8	1974.2	1113.3	1454.8	1469.3	1540.9	1709.3	2082.5	1163.2	1784	1602.5	1664.1	2164	1884.3
Hddc2	2746.9	2665.2	2337.7	2095.1	2234	2086.7	2623.1	2606.8	2731.7	2504	2494.8	2328	2237.3	2201.9	2420.5	2759.8
Pemt	217.6	278.4	293.3	304.1	326.7	359.5	282.6	242.9	261.1	391.7	258.6	274	251.7	209.8	299.9	339.9
Clec10a	778.4	817.4	452.3	511.6	824.8	564.5	534	448.7	304.6	468.5	368.7	492.8	602.2	511.3	425.6	260.2
Arvcf	364.8	416.4	269.5	257.2	648.2	665.6	333.7	319.1	336.7	402.3	461.6	460.3	465	431.7	453.5	368.5
Comt	4313.1	4790.3	5331.4	4996	5171.5	4281.6	4450.5	4688	4134.3	5346	4939.3	5380.5	5111	5326.2	5018.1	5319.8
Rtca	1760.3	1984.7	1812.1	1779.3	1638	1725.8	2036.3	1708.6	1798.4	1869.4	1766.7	1768.2	1760.5	1650.8	1588.4	1642.6
Dbt	845	899.5	1063.6	817.5	773.8	754.1	973.5	762.3	639.2	888.1	745.4	930.4	673.3	588.5	635.1	604.3
Dazap2	32675.4	31968.6	32614.1	30786.1	28633.5	26992.9	34288	33288.9	27850.6	27969.6	28428.8	30007	25736.5	26558.7	31272.9	31426.9
Mcts1	2657.8	1965.6	2129.1	2062.6	1890.2	2067.1	2383.9	2199.9	2539	2330.2	2005.4	2205.8	2103.4	2031.8	2242.6	1999.3
Rnf17	125.7	50	51.4	152.5	75.6	47.7	114.4	128.7	104.6	48	132.6	188.3	15.1	48.2	50	104.9
Trappc10	261.7	506.9	402.8	350.1	497	261.2	449.9	463.2	400.9	570.3	387.3	509.6	428.2	284.6	351.3	555.6
Ccm2	4587.9	4940.2	4457.3	4277.8	3883.7	3531.7	4354.3	4089.7	4155.1	4701.8	4487	5085.8	3406.5	4079.4	4419.8	4625.7
Tbrg4	2736.6	3696.8	3376.5	3353.8	3107.8	3276.2	2957.7	3420.8	3310.8	3520.8	3277.4	2756.8	3072	3589.8	3659.8	3483.3
Mx1	51.6	99.9	142.8	48.7	35.1	46.3	28.6	48.9	215.5	172.8	278.5	176.4	141.3	214.6	87.5	122.5
Ndufa9	8480	7455.5	8040.5	8403	7533.3	7128.1	8699	8257.4	8346.4	8425.2	7528.3	7954.9	7309	7130.1	7388.6	7579.3
Lck	1456.5	1712.2	1226.4	1449.1	1528.4	1513.8	1886.3	1515.5	5562.9	6295.6	4947.2	4786.1	5238.1	4634	4406.6	4885
Galnt1	3092.1	2942.5	2392.9	2129.4	1581.6	2259.5	2379.5	2737.4	2481	2748.9	2797.3	2150.6	1572.4	1782.2	2480.8	2707.7
Mkrn2	1959.2	1697.9	1771.1	1577.2	1773.2	1658.4	1765.8	1826.4	1989	1924.1	1807.8	1977.1	1942.9	1853.4	2242.6	1958.2
Raf1	2237.7	2270.2	2549.1	3007.3	2782.1	2722.9	2693.4	2871.5	2061.5	2680.7	2630.1	2246.2	2847.8	3013.4	2570.4	2533.2
Sept1	8855.1	9562.8	8100.4	6769.9	7757.8	7788.1	8944.3	8254.7	11837.4	14165.8	12100.2	10996.5	11315.1	10861	12714	12684.2
Grasp	317	493.8	393.3	258.1	141.6	279.4	319.9	486.7	310.8	453.2	626	324.3	102.9	309.9	646.8	567.4
Acvr1b	2180.5	2240.5	1855.9	1821.7	3517.6	3113.3	2210.5	1934.3	624.7	971.7	871.4	1155.1	952.6	994.8	1015.8	919.1
Tom1l2	429.5	428.3	418	246.3	835.5	560.3	500.2	475	696.1	346.6	647.3	407.1	563.7	698.2	810.7	722.7
Zfp385a	1209.8	1243.4	1180.7	1053.9	1752.9	1586.8	1103.5	1301.6	589.4	916.9	730.8	654.4	752.7	817.6	818.1	813.3
Itga5	1198.6	1214.8	1017.9	1380.5	1153.7	1370.6	1365.3	1189.2	788.3	718.2	761.3	709.6	800.4	935.7	1122.4	1045
Wdr77	3812.3	3332.7	3148	3621.8	3085.5	3562.6	3429.3	3460.7	3730.3	3333.6	2713.7	3327.4	2945.7	3217.2	2867.4	3076.2
Atp5f1	14088.3	14086.5	13055.7	12888.3	12717.6	11826.8	12925.8	13372.3	13487.6	13174	13706.4	12782.4	12716	12119.9	12201.6	12413.1
Hnrnpd	1776.3	1569.4	1107.4	1092.7	1186.7	1300.4	1660.9	1530.9	1984.8	1862.7	1039.9	1151.2	1349.9	1088.9	1247.4	1322
Dynlt1c	270.1	227.3	268.5	267.1	250.1	328.6	213.2	184	248.6	211.2	234.8	268.1	272.7	261.7	244	190.5
C1d	5906.5	5083	5090.5	4544.8	4645.8	5365.7	6010	4785.9	4734.1	4316.8	4780.1	4162.2	4773.1	4414.6	4477.1	4565.2
Gm2a	23518.3	25237.7	21605.6	20724.7	18689.5	17438.2	21097.8	21714	20270.8	22297.1	18306.1	20362.7	18625.7	17340	19699	19820.4
Krit1	2966.4	2228.6	2567.2	3061.5	3276	3937.6	3828.1	2838.9	2542.1	2122.9	2382.1	2882.9	2720.7	3036.3	2817.4	2322.5
Clcn4	2842.6	3191.2	3421.3	3814.9	3196.2	3307.1	3252.5	3026.5	2861.2	3187.6	3440.5	3249.6	3303.6	3147.2	3038.6	3299.5
Hk2	1076.6	1180.3	1595	1919.2	1476.2	1411.3	1285.6	1395.9	920.9	1105.1	1035.9	1256.7	1006.1	1209.5	900.4	758.8
Myo18a	1808.2	1390.9	1280.7	1584.4	2439.4	1926.7	1327.2	1705	2287.3	2099.8	2187.1	2133.9	2442.2	2254.9	2194.8	2157.1
Haao	1482.7	1739.5	1535.9	1408.5	1288.9	1343.9	1472.8	1567.2	2467.6	2787.3	2632.8	2356.6	2524.1	2150	2310.2	2742.2
Cd52	3480.3	3551.7	4109.7	3922.3	3177	2961.6	5572.2	3728.1	5823.9	5925.9	6729.8	5526.3	5865.4	4900.5	7896.5	6339.6
Abhd15	1606.5	1580.1	1151.2	1422.9	1270.8	1202.1	1585.5	1381.4	1301.1	1349	1571.7	1656.8	1559.8	1684.6	1715.6	1682.1
Loxl3	136.9	217.7	161.9	140.8	135.2	176.9	206.3	92.5	189.6	121	112.7	94.6	75.3	137.5	114.7	60.4
Kat2b	376.1	245.1	392.3	310.4	269.3	233.1	406.6	474.1	473.4	338	466.9	304.6	341.2	250.8	328.6	237.5
Rab5b	2370.9	2447.5	2502.4	2509.3	2545.9	3073.9	2503.5	2499.9	2325.6	2082.5	2054.5	2023.5	2593.6	2297.1	2643.9	2691.8
Aire	87.2	30.9	118.1	55	151.1	61.8	143	33.5	132.6	63.4	172.4	125.2	280.2	237.6	223.5	106.6
Icosl	338.6	241.5	264.7	319.4	309.7	242.9	216.7	190.3	302.5	357.2	490.7	228.7	516.9	336.4	571.1	460
Spg7	1352.4	1459.9	1265.5	886	492.8	1043.4	1135.6	1379.6	1719.6	1929.9	1746.8	1011.2	657.4	852.5	1800.1	1683.7
Rpl13	69411.6	79543.3	76220.5	73815.5	67237.5	62742.8	65568	69636.9	70935.5	88118	79819.1	75106.6	73100.4	72310.7	73343.6	78579.9
Chmp1a	4577.6	5479.2	5819.9	5414.6	5688.8	5406.4	5492.5	5327	4870.9	6155.4	5404.8	5196.1	5678.9	5419.1	6023.6	6326.2
Rpa1	12895.3	13078.7	13505.2	13767.1	13833	12683.4	13511	14102	13901	13974.7	13754.1	14901.5	15096.3	14162.6	14003.2	14749
Serpinf1	7652.8	8207.5	7568.2	5439.9	4418	5009	6325.5	5574.4	8193.1	8620.1	8247.2	6313.8	5203.8	5861.6	6910.8	6696.3
Tubgcp3	2403.7	2248.8	2205.3	2537.2	2954.6	2899.8	2129.9	2823.5	2339.1	1993.2	2415.3	2169.3	2612	2960.3	2446.9	2952
Polr3d	1166.7	1244.6	1358.8	1107.1	1338.9	1616.3	1059.3	1120.3	1171.6	1309.6	1177.8	1212.3	1242.8	1245.6	1308.4	1271.6
Tcf7	610.5	396.2	421.8	665.9	190.5	484.5	299.1	335.4	69.4	50.9	22.5	33.5	0	80.8	38.2	4.2
Ddx3x	4537.3	3495.8	2969	3468.4	2748.1	3370.3	4328.3	3796.1	4304.2	3397.9	2923.3	3307.7	3374.7	2954.3	3105.5	3193.7
Il12rb1	731.5	731.8	532.3	310.4	655.6	450.8	516.7	568.3	646.4	791.1	632.7	377.5	717.6	601.7	713	889.7
Usp32	228.8	207	295.2	364.5	205.4	241.5	293.9	329.9	360.5	290	246.7	370.6	323.7	326.8	276.4	356.7
Txnrd3	1140.4	1113.7	962.7	848.2	944.1	799	1150.3	1266.3	842.2	758.5	799.8	780.6	717.6	1086.5	899	1213.7
Zfp512b	1908.5	1855	1631.1	1668.3	1576.3	1877.5	2205.3	1898	2389.9	2313	1822.4	2071.8	1732.9	1922.1	2465.3	2352.7
Dnajc5	3413.7	3487.4	3280.4	3508.1	3968.9	4117.3	3524.7	3702.7	3836	3567.8	3599.7	3738.4	3733.5	3470.4	3898.6	3751.1
Tpd52l2	5880.3	6027.7	5944.6	6373.8	5918.7	5591.8	6288.2	5569.9	5415.8	5394	6170.1	6049.7	5781.8	5821.8	5814.2	6532.7
