baseMean	log2FoldChange	lfcSE	pvalue	padj
Igkv14-126	506.343591108064	-22.2719794589148	3.31847035998959	7.07705178729831e-12	3.69846726404209e-08
Ighv11-2	301.315132758895	-20.2036985001159	4.94957510456024	1.72246565300889e-07	0.000257188728646413
Iglc1	76.3776064570535	-19.6427315721218	2.57996944192953	NA	NA
Igkv1-135	113.114854056383	-10.6751598237076	9.13483293180349	NA	NA
Ighv1-5	70.6017052905409	-5.95503483584116	8.35044094927785	NA	NA
Igkv8-19	258.869226647178	-2.87149269239853	6.32604338452366	NA	NA
Ighv5-6	22.9081362140815	-0.794624439135575	3.41743740052799	NA	NA
Ighv7-1	79.7916598576196	-0.732676419551998	3.27691785178746	NA	NA
Samd14	65.4587051716585	-0.707450280895455	0.900070882266515	1.41572736880967e-05	NA
Ighv9-3	43.9947785687664	-0.675803417726567	3.14332923613165	NA	NA
Igkv8-34	48.1883834049212	-0.67038351185031	3.13016369601557	NA	NA
Cd79a	64.0505641516034	-0.611352165028957	1.32013565636347	3.19252829155563e-05	NA
4931406P16Rik	358.472374255769	-0.550271015972236	0.253611073792098	1.54591571587815e-05	0.00557169346977878
Arhgap27	1309.40262043507	-0.53885986082167	0.160594923359165	1.69033389333027e-06	0.00126195498950629
Def8	6697.70244490894	-0.472897724844496	0.141630657637177	1.85814408961884e-06	0.00128276232344623
Relb	261.383797782649	-0.454291014790818	0.242244905450571	5.20004231735468e-05	0.0126397307676724
Car2	36747.6366398406	-0.436004859343095	0.127082245471721	1.25483815052174e-06	0.00100888987301948
Dnajc6	1239.6560573092	-0.432177895764349	0.121218919532012	8.00029023608528e-07	0.000696825279563028
Mast3	1714.34440075411	-0.414997229256103	0.205028101719158	5.48153939459722e-05	0.0127317888338511
Akna	2518.16213321825	-0.411692406993437	0.194660502489733	4.61866908923258e-05	0.0117742266635753
Slc22a3	6853.32754949962	-0.407586297805522	0.129655843694731	2.70219679569252e-06	0.00166137417109284
Rfx1	662.818494692084	-0.401245076120496	0.272720515906038	0.000124528989006457	0.0189450223217002
Bcorl1	266.819440176851	-0.393957052586744	0.29048621646646	0.000133977173538365	0.019449019691986
Espl1	957.808184750794	-0.377246756046651	0.218683826144561	0.000125067598564611	0.0189450223217002
Kit	21481.078801898	-0.366894820065932	0.0823362250689562	1.04966633256887e-08	2.74277812700245e-05
S1pr1	518.213922503371	-0.363852079096397	0.243473477840605	0.000190154147433726	0.0248436393622162
Ddx58	1866.85196204371	-0.361399292558172	0.162690548815167	4.33218173094282e-05	0.0117742266635753
Trim26	1674.936740355	-0.351317292014107	0.133944534426087	1.26909827490068e-05	0.00491282043305997
Il1rl2	493.95551890192	-0.343838902241879	0.19208049897471	0.000142903387067846	0.0201841378599071
2610035D17Rik	2190.91815679547	-0.338308518524843	0.226037496763211	0.0002505379346653	0.0290958054791302
Serinc5	737.807511988708	-0.336218103598644	0.218153904552222	0.000241763289947824	0.0284718320661988
Ankrd6	288.726752414398	-0.328171311331471	0.312105526941461	0.000228633590540541	0.028417840307798
Ptgs1	1023.77344523409	-0.323627663844535	0.199463143875875	0.000237817290829707	0.0284718320661988
Rnf216	2576.45188099431	-0.322255431847309	0.125232214257061	1.52687588814603e-05	0.00557169346977878
Mib2	1114.70512724936	-0.319687865733491	0.20513413537867	0.000276940527800051	0.0311245418985605
Fnip1	1148.44301309879	-0.315057819382199	0.134613359898448	3.46240703648637e-05	0.0103397366701016
Igkv8-27	59.9907559215439	-0.314406042681049	2.09232034990472	NA	NA
Wdr41	1677.18553546082	-0.313974902178214	0.138489186046225	4.4272975401185e-05	0.0117742266635753
Mroh1	457.978007183936	-0.313747503075404	0.261390807644549	0.00037363770361491	0.0370408740546127
Eya2	1863.54044367498	-0.309783867252084	0.15958123385918	0.0001224046085014	0.0189450223217002
Rgag4	381.00969919495	-0.307105017579842	0.243100659282397	0.000424143619204103	0.0399361485362921
Maged1	2616.44385458646	-0.305253559868139	0.152316338877307	0.000105193854035679	0.0186353586844222
Hlf	3840.95702850404	-0.304763942216025	0.189188895027061	0.000288920746627078	0.0321255281249597
Dgkd	2223.80780826893	-0.304209919186627	0.109802867742775	7.71492214252953e-06	0.00335984859307161
Vasp	4626.55953370477	-0.30207316970798	0.189216241944842	0.000305195136253273	0.0332281204595751
Afap1	363.339221115189	-0.29981340053645	0.29760370702847	0.000327053996402849	0.0348813099020671
Slc26a11	806.224031697704	-0.297337158813589	0.210305829496788	0.000435742366932017	0.0399506949050302
Myct1	3227.32094399525	-0.294502822291494	0.15094354482191	0.000132543825017905	0.019449019691986
Hnf4a	1125.92416977614	-0.290365764223104	0.209350556189822	0.000488846052935177	0.0415399914250282
Tceal1	253.755461701956	-0.286475935167886	0.243414520124899	0.000559577444272688	0.0449776716975612
Mnt	427.233973392129	-0.281735511604267	0.207386161851322	0.000561449090317215	0.0449776716975612
Msi2	2989.42585951755	-0.2797650130617	0.187730476196622	0.000471335033000828	0.0411520205421147
Atp2a3	5459.52711277522	-0.276832084626502	0.203495174125272	0.000595602317962302	0.046112855017348
Slc6a15	121.517926712581	-0.273563080682736	0.408410607128274	0.000164136282903082	NA
Il27ra	928.864245381606	-0.271452707507758	0.21491992795177	0.000698207142404634	0.0508502116394348
Prkd2	1875.45015212213	-0.266907583784856	0.166730775029442	0.000431762799904421	0.0399361485362921
Peg13	3112.95055448201	-0.266531973890698	0.175416009646303	0.000517019038390451	0.0425502597579291
Prrg4	421.322252732622	-0.263249699651337	0.22142322227047	0.000804883822928202	0.0542751336596488
Gem	967.168400287444	-0.262914614512982	0.237556817356525	0.000776980040385433	0.0532963118597807
Chpf2	594.229499516366	-0.261271144582947	0.240588226529898	0.000780278949411688	0.0532963118597807
Nkx2-3	1116.25114727504	-0.258875662006525	0.205723140676598	0.00083636733219322	0.0550849238021744
Dcaf7	5185.44262421195	-0.258761586312814	0.100189751494232	2.32652199455818e-05	0.00784413157649099
Sipa1	4307.26209258944	-0.254952315121329	0.174464946155133	0.00066601042783876	0.0500801510199332
Smg6	1818.88150152557	-0.253415778405823	0.151308492243842	0.00042335045019943	0.0399361485362921
Rgs12	1221.8504015743	-0.252466797742019	0.126581205405687	0.000177774425850634	0.0235202316327952
Gorab	816.40381118282	-0.251659674251991	0.190594416501584	0.000869612648125832	0.0561061197420444
Hip1r	1786.56041282085	-0.247955504538007	0.159477922649469	0.000600947308536916	0.0461845681531459
Ccdc97	2515.82533386474	-0.246010193906767	0.130509888698723	0.000266758968879683	0.0303061385079396
Fnbp1l	1006.10354909697	-0.245152915189637	0.192432044903759	0.00100464802325114	0.061683781269464
Hgf	1027.3294737503	-0.24507332737201	0.162929406289261	0.000695062229487844	0.0508502116394348
Cd200	409.130376370815	-0.242930139849311	0.195909887214228	0.00107059789681134	0.063602113876078
Ercc2	1013.42951240523	-0.241071332350087	0.206553205524028	0.00114304397100979	0.0649298673097518
Gm43568	339.932146015986	-0.240766666677518	0.190313464848785	0.00108095615082725	0.063602113876078
Mpl	6757.66179254405	-0.239476033074511	0.148569873006302	0.000591782376045063	0.046112855017348
Cap1	3047.09699076864	-0.23815785913492	0.146547301417804	0.000584528193945991	0.046112855017348
Smarca2	3495.22267687093	-0.236898684666469	0.102321131622584	8.49975317280423e-05	0.0168339417962754
Ppp1r10	2265.52121442832	-0.236313673224949	0.106970155874813	0.000119807510406678	0.0189450223217002
Wdfy3	823.751015805274	-0.235902796958327	0.196998352900012	0.0012276019831699	0.0675310312004834
