motif_DB	motif_ID	seq_ID	FASTA_score	PWM_score	class
../../LFS/genomeData/JASPAR_motifs.meme	MA1100.2	10_45103208_45103525	105	54.2753	tp
../../LFS/genomeData/JASPAR_motifs.meme	MA1100.2	2_160742176_160742498	241	47.4417	tp
../../LFS/genomeData/JASPAR_motifs.meme	MA1100.2	4_119987356_119987621	187	37.7538	tp
../../LFS/genomeData/JASPAR_motifs.meme	MA1100.2	9_102632130_102632463	223	34.9352	tp
../../LFS/genomeData/JASPAR_motifs.meme	MA1100.2	5_146688022_146688346	185	30.893	tp
../../LFS/genomeData/JASPAR_motifs.meme	MA1100.2	5_136641294_136641602	133	29.6459	tp
../../LFS/genomeData/JASPAR_motifs.meme	MA1100.2	6_71934224_71934576	306	29.3588	tp
../../LFS/genomeData/JASPAR_motifs.meme	MA1100.2	1_36796782_36797036	137	28.4558	tp
../../LFS/genomeData/JASPAR_motifs.meme	MA1100.2	12_100348423_100348784	88	28.4008	tp
../../LFS/genomeData/JASPAR_motifs.meme	MA1100.2	17_4498087_4498677	171	26.9494	tp
../../LFS/genomeData/JASPAR_motifs.meme	MA1100.2	12_84691353_84691779	33	26.3818	tp
../../LFS/genomeData/JASPAR_motifs.meme	MA1100.2	5_101935895_101936286	101	25.2764	tp
../../LFS/genomeData/JASPAR_motifs.meme	MA1100.2	10_116931079_116931434	65	25.052	tp
../../LFS/genomeData/JASPAR_motifs.meme	MA1100.2	13_54322417_54322904	21	24.5044	tp
../../LFS/genomeData/JASPAR_motifs.meme	MA1100.2	11_98493079_98493350	326	24.4316	tp
../../LFS/genomeData/JASPAR_motifs.meme	MA1100.2	2_130716604_130717164	155	23.7951	tp
../../LFS/genomeData/JASPAR_motifs.meme	MA1100.2	13_51926814_51927268	212	23.4233	tp
../../LFS/genomeData/JASPAR_motifs.meme	MA1100.2	1_180875143_180875446	297	22.8826	tp
../../LFS/genomeData/JASPAR_motifs.meme	MA1100.2	16_95428312_95428547	23	22.6736	tp
../../LFS/genomeData/JASPAR_motifs.meme	MA1100.2	15_76446621_76447316	110	22.5134	tp
../../LFS/genomeData/JASPAR_motifs.meme	MA1100.2	12_80004728_80004915	298	22.467	tp
../../LFS/genomeData/JASPAR_motifs.meme	MA1100.2	5_113830183_113830659	336	22.4449	tp
../../LFS/genomeData/JASPAR_motifs.meme	MA1100.2	11_68126005_68126398	275	22.411	tp
../../LFS/genomeData/JASPAR_motifs.meme	MA1100.2	16_11091162_11091496	394	22.2689	tp
../../LFS/genomeData/JASPAR_motifs.meme	MA1100.2	6_145020511_145020984	111	22.0598	tp
../../LFS/genomeData/JASPAR_motifs.meme	MA1100.2	11_43653143_43653521	296	21.9091	tp
../../LFS/genomeData/JASPAR_motifs.meme	MA1100.2	8_117348484_117348700	186	21.8682	tp
../../LFS/genomeData/JASPAR_motifs.meme	MA1100.2	14_32950997_32951383	35	21.6229	tp
../../LFS/genomeData/JASPAR_motifs.meme	MA1100.2	2_167356858_167357281	321	21.1415	tp
../../LFS/genomeData/JASPAR_motifs.meme	MA1100.2	5_148940025_148940436	132	20.8317	tp
../../LFS/genomeData/JASPAR_motifs.meme	MA1100.2	8_94377913_94378194	368	20.7924	tp
../../LFS/genomeData/JASPAR_motifs.meme	MA1100.2	15_59811577_59811983	272	20.514	tp
../../LFS/genomeData/JASPAR_motifs.meme	MA1100.2	15_74906222_74906564	109	20.3287	tp
../../LFS/genomeData/JASPAR_motifs.meme	MA1100.2	2_37767265_37767493	218	20.0561	tp
../../LFS/genomeData/JASPAR_motifs.meme	MA1100.2	2_153924683_153925043	153	19.6796	tp
../../LFS/genomeData/JASPAR_motifs.meme	MA1100.2	11_46127610_46128291	94	19.0846	tp
../../LFS/genomeData/JASPAR_motifs.meme	MA1100.2	15_99890872_99891257	202	19.0535	tp
../../LFS/genomeData/JASPAR_motifs.meme	MA1100.2	17_73813280_73813621	348	19.0508	tp
../../LFS/genomeData/JASPAR_motifs.meme	MA1100.2	11_98000454_98000725	350	18.7643	tp
