motif_DB	motif_ID	seq_ID	FASTA_score	PWM_score	class
../../data/ATAC/motifCluster/MPP3_KO_clus/MPP3_KO_clus_consensus_motifs.meme	MA0602.1	9_3020126_3020630_shuf_19	943	33.1208	fp
../../data/ATAC/motifCluster/MPP3_KO_clus/MPP3_KO_clus_consensus_motifs.meme	MA0602.1	6_49236375_49236685_shuf_6	333	32.0031	fp
../../data/ATAC/motifCluster/MPP3_KO_clus/MPP3_KO_clus_consensus_motifs.meme	MA0602.1	9_3029719_3029872_shuf_9	481	31.6212	fp
../../data/ATAC/motifCluster/MPP3_KO_clus/MPP3_KO_clus_consensus_motifs.meme	MA0602.1	9_3023509_3023670_shuf_19	940	22.6832	fp
../../data/ATAC/motifCluster/MPP3_KO_clus/MPP3_KO_clus_consensus_motifs.meme	MA0602.1	9_3031172_3031396_shuf_13	664	19.0484	fp
../../data/ATAC/motifCluster/MPP3_KO_clus/MPP3_KO_clus_consensus_motifs.meme	MA0602.1	4_94744936_94745184_shuf_18	887	17.44	fp
../../data/ATAC/motifCluster/MPP3_KO_clus/MPP3_KO_clus_consensus_motifs.meme	MA0602.1	17_70963590_70963928_shuf_11	568	15.6643	fp
../../data/ATAC/motifCluster/MPP3_KO_clus/MPP3_KO_clus_consensus_motifs.meme	MA0602.1	9_3023509_3023670_shuf_1	58	14.9274	fp
../../data/ATAC/motifCluster/MPP3_KO_clus/MPP3_KO_clus_consensus_motifs.meme	MA0602.1	8_3754325_3754587_shuf_11	583	14.6503	fp
../../data/ATAC/motifCluster/MPP3_KO_clus/MPP3_KO_clus_consensus_motifs.meme	MA0602.1	6_49236375_49236685_shuf_5	284	13.8749	fp
../../data/ATAC/motifCluster/MPP3_KO_clus/MPP3_KO_clus_consensus_motifs.meme	MA0602.1	9_3006641_3006949_shuf_3	164	13.3382	fp
../../data/ATAC/motifCluster/MPP3_KO_clus/MPP3_KO_clus_consensus_motifs.meme	MA0602.1	9_3001975_3002311_shuf_3	158	13.1394	fp
../../data/ATAC/motifCluster/MPP3_KO_clus/MPP3_KO_clus_consensus_motifs.meme	MA0602.1	2_122681616_122682341_shuf_20	1006	12.8204	fp
../../data/ATAC/motifCluster/MPP3_KO_clus/MPP3_KO_clus_consensus_motifs.meme	MA0602.1	9_3024919_3025198_shuf_9	455	11.5608	fp
../../data/ATAC/motifCluster/MPP3_KO_clus/MPP3_KO_clus_consensus_motifs.meme	MA0602.1	2_122681616_122682341_shuf_13	663	10.5141	fp
../../data/ATAC/motifCluster/MPP3_KO_clus/MPP3_KO_clus_consensus_motifs.meme	MA0602.1	9_3023867_3024269_shuf_8	402	10.3613	fp
../../data/ATAC/motifCluster/MPP3_KO_clus/MPP3_KO_clus_consensus_motifs.meme	MA0602.1	9_3014033_3014426_shuf_15	742	10.2981	fp
../../data/ATAC/motifCluster/MPP3_KO_clus/MPP3_KO_clus_consensus_motifs.meme	MA0602.1	6_49236375_49236685_shuf_4	235	9.92745	fp
../../data/ATAC/motifCluster/MPP3_KO_clus/MPP3_KO_clus_consensus_motifs.meme	MA0602.1	9_3029719_3029872_shuf_20	1020	9.69842	fp
../../data/ATAC/motifCluster/MPP3_KO_clus/MPP3_KO_clus_consensus_motifs.meme	MA0602.1	12_78350794_78351148_shuf_20	996	9.69369	fp
../../data/ATAC/motifCluster/MPP3_KO_clus/MPP3_KO_clus_consensus_motifs.meme	MA0602.1	9_3029484_3029634_shuf_5	286	9.67018	fp
../../data/ATAC/motifCluster/MPP3_KO_clus/MPP3_KO_clus_consensus_motifs.meme	MA0602.1	9_3024919_3025198_shuf_10	504	9.30171	fp
../../data/ATAC/motifCluster/MPP3_KO_clus/MPP3_KO_clus_consensus_motifs.meme	MA0602.1	9_3006641_3006949_shuf_20	997	9.07048	fp
../../data/ATAC/motifCluster/MPP3_KO_clus/MPP3_KO_clus_consensus_motifs.meme	MA0602.1	1_102628115_102628397_shuf_20	1005	8.92681	fp
../../data/ATAC/motifCluster/MPP3_KO_clus/MPP3_KO_clus_consensus_motifs.meme	MA0602.1	9_3020826_3021097_shuf_12	596	8.67655	fp
../../data/ATAC/motifCluster/MPP3_KO_clus/MPP3_KO_clus_consensus_motifs.meme	MA0602.1	13_44869488_44870098_shuf_17	863	7.96801	fp
../../data/ATAC/motifCluster/MPP3_KO_clus/MPP3_KO_clus_consensus_motifs.meme	MA0602.1	9_3020126_3020630_shuf_13	649	7.57198	fp
