Motif	GC content	Motif length
MA1100.2 ASCL1	0.6311	10
MA1631.1 ASCL1(var.2)	0.6539	13
MA0816.1 Ascl2	0.5846	10
MA1467.1 ATOH1(var.2)	0.5266	10
MA1468.1 ATOH7	0.4515	10
MA0607.1 Bhlha15	0.455	8
MA1472.1 BHLHA15(var.2)	0.5493	10
MA1635.1 BHLHE22(var.2)	0.6452	10
MA0154.4 EBF1	0.6379	15
MA1604.1 Ebf2	0.6275	13
MA1637.1 EBF3	0.6377	13
MA0473.3 ELF1	0.5202	14
MA0640.2 ELF3	0.5031	14
MA0136.2 ELF5	0.5107	11
MA0761.2 ETV1	0.498	14
MA0764.2 ETV4	0.5325	10
MA0765.2 ETV5	0.5891	11
MA0820.1 FIGLA	0.5457	10
MA0062.3 GABPA	0.5047	14
MA1638.1 HAND2	0.5219	10
MA0739.1 Hic1	0.5962	9
MA0599.1 KLF5	0.7921	10
MA1108.2 MXI1	0.5165	10
MA1641.1 MYF5	0.5547	12
MA0499.2 MYOD1	0.5878	13
MA0500.2 MYOG	0.5914	12
MA1109.1 NEUROD1	0.5413	13
MA1642.1 NEUROG2(var.2)	0.5244	13
MA0048.2 NHLH1	0.6832	10
MA0503.1 Nkx2-5(var.2)	0.534	11
MA1114.1 PBX3	0.5323	17
MA0782.2 PKNOX1	0.4902	15
MA1618.1 Ptf1a	0.4653	13
MA1619.1 Ptf1a(var.2)	0.5628	12
MA1620.1 Ptf1a(var.3)	0.5512	12
MA1621.1 Rbpjl	0.557	14
MA0513.1 SMAD2::SMAD3::SMAD4	0.5562	13
MA1558.1 SNAI1	0.5952	10
MA0745.2 SNAI2	0.5642	13
MA1559.1 SNAI3	0.5661	10
MA0091.1 TAL1::TCF3	0.4526	12
MA1566.1 TBX3	0.5704	10
MA0807.1 TBX5	0.5245	8
MA0521.1 Tcf12	0.5971	11
MA1648.1 TCF12(var.2)	0.661	11
MA0522.3 TCF3	0.6637	11
MA0830.2 TCF4	0.656	13
MA0691.1 TFAP4	0.4672	10
MA1570.1 TFAP4(var.2)	0.4356	10
MA1123.2 TWIST1	0.4879	13
MA0698.1 ZBTB18	0.4591	13
MA1581.1 ZBTB6	0.6063	13
MA0103.3 ZEB1	0.6506	11
MA1629.1 Zic2	0.628	14
MA1652.1 ZKSCAN5	0.5478	14
MA1593.1 ZNF317	0.4611	12
MA1655.1 ZNF341	0.5704	12
