Motif	GC content	Motif length
MA0006.1 Ahr::Arnt	0.7152	6
MA0004.1 Arnt	0.6416	6
MA0259.1 ARNT::HIF1A	0.6574	8
MA1464.1 ARNT2	0.6034	10
MA0603.1 Arntl	0.5835	10
MA1635.1 BHLHE22(var.2)	0.6452	10
MA0464.2 BHLHE40	0.6061	10
MA0636.1 BHLHE41	0.5891	10
MA0102.4 CEBPA	0.3537	14
MA0466.2 CEBPB	0.4157	10
MA0836.2 CEBPD	0.3889	13
MA0837.1 CEBPE	0.4116	10
MA0838.1 CEBPG	0.4265	10
MA1636.1 CEBPG(var.2)	0.3568	15
MA0608.1 Creb3l2	0.6244	9
MA1474.1 CREB3L4	0.6023	12
MA1102.2 CTCFL	0.7815	12
MA1480.1 DPRX	0.3987	10
MA0024.3 E2F1	0.5813	12
MA0864.2 E2F2	0.5345	16
MA0470.2 E2F4	0.5273	14
MA0471.2 E2F6	0.6794	13
MA0758.1 E2F7	0.4485	14
MA0154.4 EBF1	0.6379	15
MA1604.1 Ebf2	0.6275	13
MA1637.1 EBF3	0.6377	13
MA0162.4 EGR1	0.7519	14
MA0472.2 EGR2	0.7421	11
MA0732.1 EGR3	0.6937	15
MA0733.1 EGR4	0.6382	16
MA1483.1 ELF2	0.5459	12
MA0028.2 ELK1	0.579	10
MA0759.1 ELK3	0.5545	10
MA0076.2 ELK4	0.6298	11
MA0760.1 ERF	0.5428	10
MA0474.2 ERG	0.5403	10
MA0098.3 ETS1	0.5463	10
MA1484.1 ETS2	0.5917	10
MA0763.1 ETV3	0.5441	10
MA0765.2 ETV5	0.5891	11
MA0156.2 FEV	0.5411	10
MA0475.2 FLI1	0.5451	10
MA0613.1 FOXG1	0.2252	8
MA0042.2 FOXI1	0.2682	7
MA0033.2 FOXL1	0.225	7
MA0157.2 FOXO3	0.264	8
MA0848.1 FOXO4	0.2686	7
MA0849.1 FOXO6	0.2789	7
MA0850.1 FOXP3	0.293	7
MA0035.4 GATA1	0.3103	11
MA0140.2 GATA1::TAL1	0.4443	18
MA0036.3 GATA2	0.3451	11
MA0037.3 GATA3	0.3257	8
MA0482.2 GATA4	0.374	12
MA0766.2 GATA5	0.3852	10
MA1104.2 GATA6	0.3129	13
MA0736.1 GLIS2	0.7516	14
MA1099.2 HES1	0.7368	10
MA0616.2 HES2	0.7234	10
MA0823.1 HEY1	0.6873	10
MA0649.1 HEY2	0.6728	10
MA0738.1 HIC2	0.6291	9
MA1106.1 HIF1A	0.6178	10
MA0131.2 HINFP	0.7248	12
MA0493.1 Klf1	0.665	11
