motif_DB	motif_ID	seq_ID	FASTA_score	PWM_score	class
../../data/ATAC/motifCluster/MPP4_WT_clus/MPP4_WT_clus_consensus_motifs.meme	Cluster_21	11_101645336_101645756_shuf_4	420	13.7123	fp
../../data/ATAC/motifCluster/MPP4_WT_clus/MPP4_WT_clus_consensus_motifs.meme	Cluster_21	5_20332570_20333027_shuf_8	861	9.65054	fp
../../data/ATAC/motifCluster/MPP4_WT_clus/MPP4_WT_clus_consensus_motifs.meme	Cluster_21	11_83271412_83272065_shuf_5	569	9.48172	fp
../../data/ATAC/motifCluster/MPP4_WT_clus/MPP4_WT_clus_consensus_motifs.meme	Cluster_21	3_93597173_93597711_shuf_2	261	8.99716	fp
../../data/ATAC/motifCluster/MPP4_WT_clus/MPP4_WT_clus_consensus_motifs.meme	Cluster_21	1_183803339_183803712_shuf_1	189	8.53825	fp
../../data/ATAC/motifCluster/MPP4_WT_clus/MPP4_WT_clus_consensus_motifs.meme	Cluster_21	5_141884220_141884652	34	8.521	tp
../../data/ATAC/motifCluster/MPP4_WT_clus/MPP4_WT_clus_consensus_motifs.meme	Cluster_21	9_65201320_65201921_shuf_10	1039	8.45489	fp
../../data/ATAC/motifCluster/MPP4_WT_clus/MPP4_WT_clus_consensus_motifs.meme	Cluster_21	11_87426621_87427471_shuf_10	1032	7.03823	fp
../../data/ATAC/motifCluster/MPP4_WT_clus/MPP4_WT_clus_consensus_motifs.meme	Cluster_21	10_40258412_40259005_shuf_4	427	6.3694	fp
../../data/ATAC/motifCluster/MPP4_WT_clus/MPP4_WT_clus_consensus_motifs.meme	Cluster_21	1_171037010_171037243_shuf_6	714	6.3307	fp
../../data/ATAC/motifCluster/MPP4_WT_clus/MPP4_WT_clus_consensus_motifs.meme	Cluster_21	11_87471534_87471783_shuf_4	499	6.3181	fp
../../data/ATAC/motifCluster/MPP4_WT_clus/MPP4_WT_clus_consensus_motifs.meme	Cluster_21	12_54696446_54697315_shuf_10	1051	6.29072	fp
../../data/ATAC/motifCluster/MPP4_WT_clus/MPP4_WT_clus_consensus_motifs.meme	Cluster_21	5_21412124_21412413_shuf_9	963	6.18334	fp
../../data/ATAC/motifCluster/MPP4_WT_clus/MPP4_WT_clus_consensus_motifs.meme	Cluster_21	1_171502394_171503236	14	6.14898	tp
../../data/ATAC/motifCluster/MPP4_WT_clus/MPP4_WT_clus_consensus_motifs.meme	Cluster_21	11_83271412_83272065_shuf_3	363	6.00691	fp
../../data/ATAC/motifCluster/MPP4_WT_clus/MPP4_WT_clus_consensus_motifs.meme	Cluster_21	11_87471534_87471783_shuf_10	1117	6.00311	fp
../../data/ATAC/motifCluster/MPP4_WT_clus/MPP4_WT_clus_consensus_motifs.meme	Cluster_21	11_83271412_83272065	54	5.86987	tp
../../data/ATAC/motifCluster/MPP4_WT_clus/MPP4_WT_clus_consensus_motifs.meme	Cluster_21	11_87462394_87462974_shuf_8	870	5.81434	fp
../../data/ATAC/motifCluster/MPP4_WT_clus/MPP4_WT_clus_consensus_motifs.meme	Cluster_21	12_54696446_54697315_shuf_5	536	5.74653	fp
../../data/ATAC/motifCluster/MPP4_WT_clus/MPP4_WT_clus_consensus_motifs.meme	Cluster_21	1_171502394_171503236_shuf_2	220	5.70984	fp
../../data/ATAC/motifCluster/MPP4_WT_clus/MPP4_WT_clus_consensus_motifs.meme	Cluster_21	5_21412124_21412413_shuf_5	551	5.23802	fp
../../data/ATAC/motifCluster/MPP4_WT_clus/MPP4_WT_clus_consensus_motifs.meme	Cluster_21	11_83271412_83272065_shuf_6	672	5.1652	fp
../../data/ATAC/motifCluster/MPP4_WT_clus/MPP4_WT_clus_consensus_motifs.meme	Cluster_21	1_171502394_171503236_shuf_9	941	5.12875	fp
