Motif	GC content	Motif length
MA0602.1 Arid5a	0.2764	14
MA0004.1 Arnt	0.6416	6
MA0259.1 ARNT::HIF1A	0.6574	8
MA0604.1 Atf1	0.4758	8
MA0833.2 ATF4	0.3608	14
MA0102.4 CEBPA	0.3537	14
MA0466.2 CEBPB	0.4157	10
MA0837.1 CEBPE	0.4116	10
MA1636.1 CEBPG(var.2)	0.3568	15
MA0840.1 Creb5	0.43	12
MA0879.1 Dlx1	0.2708	10
MA0024.3 E2F1	0.5813	12
MA1126.1 FOS::JUN(var.2)	0.449	16
MA1127.1 FOSB::JUN	0.4392	11
MA1129.1 FOSL1::JUN(var.2)	0.4261	10
MA1143.1 FOSL1::JUND(var.2)	0.4429	10
MA1145.1 FOSL2::JUND(var.2)	0.4707	15
MA0479.1 FOXH1	0.4011	11
MA0038.2 GFI1	0.4432	12
MA0483.1 Gfi1b	0.4149	11
MA0615.1 Gmeb1	0.5213	17
MA0891.1 GSC2	0.4009	10
MA0050.2 IRF1	0.357	21
MA0772.1 IRF7	0.3745	14
MA0488.1 JUN	0.3805	13
MA1133.1 JUN::JUNB(var.2)	0.4612	12
MA0668.1 NEUROD2	0.4781	10
MA0606.1 NFAT5	0.3328	10
MA0624.1 NFATC1	0.4114	10
MA0152.1 NFATC2	0.3461	7
MA0625.1 NFATC3	0.3805	10
MA1525.1 NFATC4	0.4034	10
MA0672.1 NKX2-3	0.4774	10
MA0673.1 NKX2-8	0.4772	9
MA0122.3 Nkx3-2	0.3356	13
MA1536.1 NR2C2(var.2)	0.541	8
MA0506.1 NRF1	0.8096	11
MA0678.1 OLIG2	0.374	10
MA0827.1 OLIG3	0.3831	10
MA0679.2 ONECUT1	0.2388	16
MA0712.2 OTX2	0.3882	12
MA0067.1 Pax2	0.5161	8
MA0714.1 PITX3	0.4004	9
MA0790.1 POU4F1	0.2148	14
MA1549.1 POU6F1(var.2)	0.3281	10
MA1616.1 Prdm15	0.4879	15
MA0600.2 RFX2	0.5077	16
MA1118.1 SIX1	0.4113	11
MA1119.1 SIX2	0.4265	16
MA0517.1 STAT1::STAT2	0.3726	15
MA1623.1 Stat2	0.3284	13
MA1568.1 TCF21(var.2)	0.493	12
MA0090.3 TEAD1	0.4633	13
MA1121.1 TEAD2	0.4713	13
MA0809.2 TEAD4	0.4411	12
MA0748.2 YY2	0.6691	11
